"","ID","Description","Count","GeneRatio","geneID"
"GO:0002376","GO:0002376","immune system process",57,"57/363","Ly96/Spta1/Dusp10/Ube2l6/Cd59a/Cd40/Tspan6/Alas2/Car2/Ifi44/Cnr1/Spon2/Tec/Sh2b2/Lep/Bpgm/Mturn/Snca/Hbb-b1/Adm/Vnn1/Cd24a/Smpdl3a/Cfd/Vegfc/Ednra/Ear2/Mmp3/Sema7a/Alas1/Hba-a1/Hba-a2/Dock2/Trpv1/Traf4/Vtn/Ccl7/Nr1d1/Slc4a1/Ripor2/Nedd9/Cd83/Thbs4/Pik3r1/Rsad2/Nampt/Angpt1/Tnfrsf11b/Mfng/Ezr/H2-DMb2/Trim10/Lox/Smad7/Dtx4/Dock8/Gpam"
"GO:0008152","GO:0008152","metabolic process",183,"183/363","Ly96/Gsta3/Npas2/Fhl2/Mogat1/Irs1/Per2/Inhbb/Prelp/Rgs2/Fmo1/Spta1/Dusp10/Itih5/Slc25a25/Ube2l6/Cd59a/Map1a/Duoxa1/Id1/Foxs1/Trp53inp2/Cd40/Eya2/Maob/Timp1/Srpx2/Prps1/Apex2/Alas2/Car1/Car2/Ciart/Tent5c/Synpo2/Prss12/Enpep/Sgms2/Ddah1/Ptgfr/Cnr1/Mycl/Mthfr/Per3/Nos3/Slc5a6/Spon2/Zfyve28/Htra3/Cytl1/Sod3/Tec/Stbd1/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Papolb/Tfpi2/Pon1/Lep/Hilpda/Klf14/Bpgm/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Aldh1l1/Clstn3/Gys2/Peg3/Apoc1/Cyp2f2/Bcat2/Dbp/Pak1/Hbb-bt/Hbb-b1/Ric3/Adm/Bmal1/Spon1/Acsm5/Dcun1d3/Tlcd3b/Cyp2e1/Fuca2/Map7/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Cfd/Pcsk4/Gadd45b/Lum/Tph2/Retn/Adam3/Zdhhc2/Cyp4v3/Vegfc/Ednra/Nkd1/Pdhb/Zfp503/Chdh/Tkt/Samd4/Slc25a37/Hr/Dct/Mmp3/Cryab/Sema7a/Lctl/Cilp/Me1/Alas1/Dclk3/Hba-a1/Hs3st3b1/Per1/Trpv1/Serpinf1/Traf4/Vtn/Acaca/Nr1d1/Slc4a1/Map2k6/Slc25a10/Pycr1/Fasn/Sfrp4/Gcnt2/Nedd9/Cd83/Rnf144b/Klhl3/Thbs4/Pik3r1/Hmgcs1/Rsad2/Nampt/Dgkb/Fbln5/Serpina3i/Crip1/Retreg1/Angpt1/Deptor/Tef/Nr4a1/Ppp1r1a/Abat/Prodh/Trp63/Vgll3/Gbe1/Ezr/Smoc2/Fkbp5/H2-DMb2/Nfkbie/Slc5a7/Ehd3/Lox/Mc5r/Mc2r/Smad7/Aldh3b2/Pcx/Tm7sf2/Dtx4/Lipf/Sfrp5/Gpam"
"GO:0009987","GO:0009987","cellular process",259,"259/363","Ly96/Gsta3/Npas2/Fhl2/Myo1b/Mogat1/Irs1/Per2/Cdh19/Inhbb/Tmem37/Prelp/Rgs2/Cacna1e/Fmo1/Spta1/Grem2/Dusp10/Ncs1/Hmcn2/Slc25a25/Pde11a/Slc43a1/Cd59a/Map1a/Duoxa1/Ralgapa2/Id1/Foxs1/Trp53inp2/Ccn5/Cd40/Eya2/Pmepa1/Syp/Maob/Timp1/Fgf13/Dusp9/Tspan6/Srpx2/Prps1/Chrdl1/Apex2/Alas2/Car1/Car2/Pex5l/Fhdc1/S100a6/Ciart/Tent5c/Kcna2/Synpo2/Prss12/Enpep/Sgms2/Ddah1/Ptgfr/Gabrr2/Cnr1/Mycl/Col16a1/Mthfr/Per3/Nos3/Cgref1/Slc5a6/Spon2/Zfyve28/Htra3/Cytl1/Sod3/Tec/Stbd1/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Papolb/Tfpi2/Peg10/Pon1/Lep/Hilpda/Ccdc136/Klf14/Bpgm/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Aldh1l1/Nup210/Srgap3/Iqsec3/Clstn3/Emp1/Grin2b/Mgp/Gys2/Peg3/Apoc1/Cyp2f2/Bcat2/Dbp/Siglech/Fam174b/Mfge8/Pak1/Hbb-bt/Hbb-b1/Ric3/Adm/Bmal1/Spon1/Acsm5/Dcun1d3/Tlcd3b/Or13a25/Cyp2e1/Map7/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Mypn/Cfd/Pcsk4/Gadd45b/Gna15/Lum/Tph2/Retn/Adam3/Zdhhc2/Cyp4v3/Cldn24/Vegfc/Palld/Ednra/Nkd1/Pdhb/Zfp503/Lrtm1/Chdh/Tkt/Anxa8/Grid1/Samd4/Or4m1/Slc25a37/Hr/Dct/Nalcn/Itgbl1/Mmp3/AW551984/Fxyd6/Cryab/Nrg4/Sema7a/Cilp/Col12a1/Me1/Esyt3/Alas1/Dclk3/Hba-a1/Hba-a2/Dock2/Sparc/Specc1/Hs3st3b1/Glp2r/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Doc2b/Traf4/Vtn/Ccl7/Acaca/Abcc3/Arl5c/Nr1d1/Cntnap1/Mpp2/Slc4a1/Map2k6/Slc25a10/Pycr1/Fasn/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Rnf144b/Klhl3/Thbs4/Iqgap2/Pik3r1/Hmgcs1/Rsad2/Nampt/Dgkb/Fbln5/Crip1/Retreg1/Angpt1/Sybu/Tnfrsf11b/Mal2/Deptor/Lynx1/Tst/Mfng/Tef/Rnd1/Nr4a1/Ppp1r1a/Abat/Myh11/Slc25a1/Prodh/Trp63/Gpr156/Vgll3/Gbe1/Ezr/Smoc2/Thbs2/Tcp11/Fkbp5/Dnah8/H2-DMb2/Trim10/Nfkbie/Slc5a7/Ehd3/Dpysl3/Lox/Mc5r/Mc2r/Smad7/Aldh3b2/Pcx/Dtx4/Dock8/Lipf/Sfrp5/Gpam"
"GO:0016032","GO:0016032","viral process",4,"4/363","Peg10/Rsad2/Trim10/Pcx"
"GO:0022414","GO:0022414","reproductive process",26,"26/363","Inhbb/Rgs2/Cacna1e/Timp1/Cnr1/Nos3/Lep/Ccdc136/Adcyap1r1/Mfge8/Adm/Bmal1/Map7/Pcsk4/Retn/Adam3/Ednra/Nkd1/Or4m1/Serpinf1/Map2k6/Lhfpl2/Angpt1/Abat/Trp63/Tcp11"
"GO:0032501","GO:0032501","multicellular organismal process",154,"154/363","Ly96/Gsta3/Npas2/Fhl2/Irs1/Per2/Inhbb/Rgs2/Cacna1e/Fmo1/Spta1/Grem2/Dusp10/Ncs1/Slc25a25/Cd59a/Map1a/Duoxa1/Id1/Foxs1/Trp53inp2/Cd40/Timp1/Fgf13/Srpx2/Prps1/Chrdl1/Alas2/Car2/Pex5l/Ciart/Tent5c/Kcna2/Enpep/Sgms2/Ddah1/Gabrr2/Cnr1/Mycl/Mthfr/Per3/Nos3/Slc5a6/Spon2/Cytl1/Sod3/Tec/Bmp3/Acacb/Aacs/Sh2b2/Fam20c/Tfpi2/Pon1/Lep/Hilpda/Bpgm/Mturn/Snca/Gadd45a/Klf15/Srgap3/Clstn3/Grin2b/Mgp/Apoc1/Mfge8/Pak1/Hbb-b1/Adm/Bmal1/Or13a25/Map7/Eya4/Vnn1/Cd24a/Mypn/Cfd/Lum/Retn/Adam3/Zdhhc2/Vegfc/Nxnl1/Ednra/Lrtm1/Anxa8/Grid1/Or4m1/Dct/AW551984/Cryab/Sema7a/Lctl/Col12a1/Alas1/Hba-a1/Hba-a2/Dock2/Sparc/Specc1/Hs3st3b1/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Traf4/Vtn/Acaca/Nr1d1/Cntnap1/Mpp2/Slc4a1/Myl4/Map2k6/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Klhl3/Thbs4/Lhfpl2/Pik3r1/Rsad2/Nampt/Fbln5/Unc79/Retreg1/Angpt1/Sybu/Tnfrsf11b/Mal2/Mfng/Rnd1/Nr4a1/Abat/Myh11/Trp63/Ezr/Smoc2/Thbs2/Tcp11/H2-DMb2/Trim10/Slc5a7/Ehd3/Dpysl3/Lox/Smad7/Dock8/Sfrp5/Gpam"
"GO:0032502","GO:0032502","developmental process",141,"141/363","Gsta3/Fhl2/Irs1/Per2/Cdh19/Inhbb/Rgs2/Spta1/Grem2/Dusp10/Ncs1/Slc25a25/Cd59a/Map1a/Duoxa1/Id1/Foxs1/Trp53inp2/Ccn5/Cd40/Eya2/Timp1/Fgf13/Srpx2/Prps1/Chrdl1/Alas2/Car2/Tent5c/Kcna2/Enpep/Sgms2/Ddah1/Cnr1/Mycl/Mthfr/Nos3/Cytl1/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Peg10/Lep/Ccdc136/Bpgm/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Srgap3/Clstn3/Grin2b/Mgp/Mfge8/Pak1/Hbb-b1/Adm/Bmal1/Tlcd3b/Map7/Eya4/Vnn1/Cd24a/Mypn/Cfd/Pcsk4/Gadd45b/Retn/Adam3/Zdhhc2/Vegfc/Palld/Ednra/Nkd1/Zfp503/Lrtm1/Dct/AW551984/Cryab/Sema7a/Lctl/Col12a1/Alas1/Hba-a1/Hba-a2/Dock2/Sparc/Specc1/Hs3st3b1/Per1/Trpv1/Rap1gap2/Serpinf1/Traf4/Vtn/Ccl7/Nr1d1/Cntnap1/Slc4a1/Map2k6/Fasn/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Klhl3/Thbs4/Lhfpl2/Pik3r1/Rsad2/Fbln5/Unc79/Retreg1/Angpt1/Sybu/Tnfrsf11b/Mal2/Tst/Mfng/Rnd1/Nr4a1/Abat/Myh11/Trp63/Ezr/Smoc2/Thbs2/Tcp11/Trim10/Slc5a7/Dpysl3/Lox/Mc2r/Smad7/Sfrp5/Gpam"
"GO:0040007","GO:0040007","growth",25,"25/363","Rgs2/Dusp10/Slc25a25/Foxs1/Ccn5/Fgf13/Cgref1/Acacb/Lep/Clstn3/Pak1/Adm/Dcun1d3/Map7/Ednra/Nkd1/Tkt/Cryab/Sema7a/Fbln5/Unc79/Ezr/Smad7/Sfrp5/Gpam"
"GO:0040011","GO:0040011","locomotion",35,"35/363","Irs1/Dusp10/Cd40/Timp1/Srpx2/Synpo2/Nos3/Snca/Gadd45a/Srgap3/Pak1/Retn/Vegfc/Ednra/Lrtm1/Ear2/Or4m1/Mmp3/Sema7a/Dock2/Sparc/Serpinf1/Vtn/Ccl7/Ripor2/Gcnt2/Nedd9/Thbs4/Pik3r1/Angpt1/Nr4a1/Smoc2/Dpysl3/Lox/Dock8"
"GO:0042592","GO:0042592","homeostatic process",52,"52/363","Per2/Cacna1e/Fmo1/Spta1/Ncs1/Slc25a25/Map1a/Id1/Trp53inp2/Cd40/Alas2/Car2/Cnr1/Nos3/Cytl1/Acacb/Aacs/Sh2b2/Lep/Bpgm/Snca/Klf15/Clstn3/Grin2b/Hbb-b1/Bmal1/Tlcd3b/Map7/Cd24a/Nxnl1/Ednra/Or4m1/Alas1/Hba-a1/Hba-a2/Trpv1/Serpinf1/Acaca/Nr1d1/Slc4a1/Map2k6/Sfrp4/Gcnt2/Klhl3/Pik3r1/Angpt1/Sybu/Tnfrsf11b/Abat/Trim10/Lox/Gpam"
