"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051953","GO:0051953","negative regulation of amine transport","6/297","29/18384",0.206896551724138,12.8066875653083,8.15366800809543,5.87174190525205e-06,0.00942707531381646,0.00827947532349589,"Rgs2/Slc43a1/Cnr1/Lep/Snca/Abat",6
"GO:0048511","GO:0048511","rhythmic process","18/297","330/18384",0.0545454545454545,3.3763085399449,5.58182515607777,7.61328058592181e-06,0.00942707531381646,0.00827947532349589,"Npas2/Per2/Id1/Ciart/Kcna2/Per3/Nos3/Lep/Grin2b/Dbp/Bmal1/Retn/Per1/Serpinf1/Nr1d1/Map2k6/Nampt/Tef",18
"GO:0032922","GO:0032922","circadian regulation of gene expression","8/297","66/18384",0.121212121212121,7.50290786654423,6.78177989267786,1.07611411705777e-05,0.00942707531381646,0.00827947532349589,"Npas2/Per2/Ciart/Per3/Bmal1/Per1/Nr1d1/Nampt",8
"GO:0051955","GO:0051955","regulation of amino acid transport","7/297","48/18384",0.145833333333333,9.02693602693603,7.13544838972147,1.11725643757739e-05,0.00942707531381646,0.00827947532349589,"Per2/Rgs2/Slc43a1/Lep/Snca/Grin2b/Abat",7
"GO:0006739","GO:0006739","NADP metabolic process","7/297","51/18384",0.137254901960784,8.49593979005744,6.86906391318654,1.68556666598408e-05,0.00942707531381646,0.00827947532349589,"Fmo1/Prps1/Acacb/Aldh1l1/Tkt/Me1/Pcx",7
"GO:0051952","GO:0051952","regulation of amine transport","9/297","92/18384",0.0978260869565217,6.05533596837945,6.22897359083318,1.78470070954465e-05,0.00942707531381646,0.00827947532349589,"Per2/Rgs2/Slc43a1/Kcna2/Cnr1/Lep/Snca/Grin2b/Abat",9
"GO:0048821","GO:0048821","erythrocyte development","7/297","52/18384",0.134615384615385,8.33255633255633,6.78508518742163,1.92109249480976e-05,0.00942707531381646,0.00827947532349589,"Alas2/Bpgm/Hbb-b1/Alas1/Hba-a1/Hba-a2/Slc4a1",7
"GO:0015837","GO:0015837","amine transport","9/297","104/18384",0.0865384615384615,5.35664335664336,5.70931141261228,4.76757693985956e-05,0.0186726787357215,0.016399570139149,"Per2/Rgs2/Slc43a1/Kcna2/Cnr1/Lep/Snca/Grin2b/Abat",9
"GO:0038066","GO:0038066","p38MAPK cascade","7/297","60/18384",0.116666666666667,7.22154882154882,6.18539082865103,4.9670533608047e-05,0.0186726787357215,0.016399570139149,"Dusp10/Lep/Gadd45a/Gadd45b/Per1/Map2k6/Ezr",7
"GO:1900744","GO:1900744","regulation of p38MAPK cascade","6/297","42/18384",0.142857142857143,8.84271284271284,6.520347822414,5.43600545435853e-05,0.0186726787357215,0.016399570139149,"Dusp10/Lep/Gadd45a/Gadd45b/Per1/Ezr",6
"GO:0008217","GO:0008217","regulation of blood pressure","12/297","190/18384",0.0631578947368421,3.90940988835726,5.16559989790855,6.36838840256972e-05,0.0198867401480245,0.0174658384323108,"Enpep/Ddah1/Cnr1/Nos3/Lep/Adm/Vegfc/Ednra/Trpv1/Pik3r1/Nampt/Abat",12
"GO:0051956","GO:0051956","negative regulation of amino acid transport","4/297","15/18384",0.266666666666667,16.5063973063973,7.69869170716268,7.91716266860368e-05,0.022662878138878,0.019904024744051,"Rgs2/Slc43a1/Lep/Abat",4
"GO:0006790","GO:0006790","sulfur compound metabolic process","16/297","330/18384",0.0484848484848485,3.00116314661769,4.70062814042884,9.9469579384624e-05,0.0242702866713367,0.0213157562552826,"Gsta3/Fmo1/Mthfr/Slc5a6/Acacb/Snca/Acsm5/Vnn1/Ednra/Pdhb/Hs3st3b1/Acaca/Fasn/Hmgcs1/Angpt1/Gpam",16
"GO:0015669","GO:0015669","gas transport","4/297","16/18384",0.25,15.4747474747475,7.42238026982119,0.000104223356141338,0.0242702866713367,0.0213157562552826,"Car2/Bpgm/Hbb-b1/Hba-a1",4
"GO:0032890","GO:0032890","regulation of organic acid transport","8/297","93/18384",0.0860215053763441,5.32464429238623,5.35767407311232,0.000130988162738467,0.0242702866713367,0.0213157562552826,"Per2/Rgs2/Slc43a1/Lep/Snca/Grin2b/Map2k6/Abat",8
"GO:0050796","GO:0050796","regulation of insulin secretion","12/297","206/18384",0.058252427184466,3.60576640188291,4.81946898416438,0.000137527119731538,0.0242702866713367,0.0213157562552826,"Irs1/Per2/Inhbb/Cacna1e/Cnr1/Aacs/Lep/Bmal1/Doc2b/Nr1d1/Sybu/Abat",12
"GO:0046942","GO:0046942","carboxylic acid transport","16/297","340/18384",0.0470588235294118,2.91289364230541,4.56212333453477,0.000140366986182335,0.0242702866713367,0.0213157562552826,"Per2/Rgs2/Slc43a1/Slc5a6/Acacb/Lep/Snca/Grin2b/Pak1/Trpv1/Abcc3/Map2k6/Slc25a10/Abat/Slc25a1/Nfkbie",16
"GO:0015849","GO:0015849","organic acid transport","16/297","342/18384",0.0467836257309941,2.89585917656093,4.53502763423625,0.000150112115987419,0.0242702866713367,0.0213157562552826,"Per2/Rgs2/Slc43a1/Slc5a6/Acacb/Lep/Snca/Grin2b/Pak1/Trpv1/Abcc3/Map2k6/Slc25a10/Abat/Slc25a1/Nfkbie",16
"GO:0043086","GO:0043086","negative regulation of catalytic activity","20/297","491/18384",0.0407331975560081,2.52134378407291,4.37854359827289,0.000153167471327153,0.0242702866713367,0.0213157562552826,"Rgs2/Dusp10/Itih5/Timp1/Nos3/Zfyve28/Tfpi2/Snca/Gadd45a/Apoc1/Gadd45b/Cryab/Serpinf1/Vtn/Slc4a1/Serpina3i/Deptor/Nr4a1/Smad7/Sfrp5",20
"GO:0045765","GO:0045765","regulation of angiogenesis","15/297","308/18384",0.0487012987012987,3.01456119637938,4.56885952524589,0.000155760094710224,0.0242702866713367,0.0213157562552826,"Cd59a/Id1/Cd40/Ddah1/Nos3/Lep/Gadd45a/Adm/Vegfc/Sparc/Serpinf1/Thbs4/Fbln5/Smoc2/Thbs2",15
"GO:0090276","GO:0090276","regulation of peptide hormone secretion","13/297","242/18384",0.0537190082644628,3.32515234994574,4.66573066388775,0.000164108927484038,0.0242702866713367,0.0213157562552826,"Irs1/Per2/Inhbb/Cacna1e/Pex5l/Cnr1/Aacs/Lep/Bmal1/Doc2b/Nr1d1/Sybu/Abat",13
"GO:0015711","GO:0015711","organic anion transport","18/297","420/18384",0.0428571428571429,2.65281385281385,4.3908663193098,0.000175940197022989,0.0242702866713367,0.0213157562552826,"Per2/Rgs2/Slc25a25/Slc43a1/Slc5a6/Acacb/Lep/Snca/Grin2b/Pak1/Trpv1/Abcc3/Slc4a1/Map2k6/Slc25a10/Abat/Slc25a1/Nfkbie",18
"GO:1901342","GO:1901342","regulation of vasculature development","15/297","315/18384",0.0476190476190476,2.94757094757095,4.46770669922498,0.00019883782771827,0.0242702866713367,0.0213157562552826,"Cd59a/Id1/Cd40/Ddah1/Nos3/Lep/Gadd45a/Adm/Vegfc/Sparc/Serpinf1/Thbs4/Fbln5/Smoc2/Thbs2",15
"GO:0002791","GO:0002791","regulation of peptide secretion","13/297","247/18384",0.0526315789473684,3.25784157363105,4.57785849873013,0.000200654524886246,0.0242702866713367,0.0213157562552826,"Irs1/Per2/Inhbb/Cacna1e/Pex5l/Cnr1/Aacs/Lep/Bmal1/Doc2b/Nr1d1/Sybu/Abat",13
"GO:0090087","GO:0090087","regulation of peptide transport","13/297","247/18384",0.0526315789473684,3.25784157363105,4.57785849873013,0.000200654524886246,0.0242702866713367,0.0213157562552826,"Irs1/Per2/Inhbb/Cacna1e/Pex5l/Cnr1/Aacs/Lep/Bmal1/Doc2b/Nr1d1/Sybu/Abat",13
"GO:0006637","GO:0006637","acyl-CoA metabolic process","8/297","99/18384",0.0808080808080808,5.00193857769615,5.11615487269252,0.000202586524144436,0.0242702866713367,0.0213157562552826,"Acacb/Snca/Acsm5/Pdhb/Acaca/Fasn/Hmgcs1/Gpam",8
"GO:0035383","GO:0035383","thioester metabolic process","8/297","99/18384",0.0808080808080808,5.00193857769615,5.11615487269252,0.000202586524144436,0.0242702866713367,0.0213157562552826,"Acacb/Snca/Acsm5/Pdhb/Acaca/Fasn/Hmgcs1/Gpam",8
"GO:0061515","GO:0061515","myeloid cell development","8/297","99/18384",0.0808080808080808,5.00193857769615,5.11615487269252,0.000202586524144436,0.0242702866713367,0.0213157562552826,"Alas2/Fam20c/Bpgm/Hbb-b1/Alas1/Hba-a1/Hba-a2/Slc4a1",8
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","12/297","215/18384",0.0558139534883721,3.45482734319944,4.639570928769,0.00020490198354258,0.0242702866713367,0.0213157562552826,"Rgs2/Ptgfr/Cnr1/Adcyap1r1/Adm/Gna15/Ednra/Or4m1/Glp2r/Tcp11/Mc5r/Mc2r",12
"GO:0008016","GO:0008016","regulation of heart contraction","11/297","187/18384",0.0588235294117647,3.64111705288176,4.65170006236551,0.000238812044547921,0.027343979100737,0.0240152743745383,"Rgs2/Cacna1e/Fgf13/Nos3/Adm/Ednra/Trpv1/Myl4/Pik3r1/Ehd3/Smad7",11
"GO:0045776","GO:0045776","negative regulation of blood pressure","6/297","55/18384",0.109090909090909,6.75261707988981,5.47495525893688,0.000251998452809428,0.0279230543677544,0.0245238562224727,"Cnr1/Nos3/Vegfc/Trpv1/Pik3r1/Abat",6
"GO:1903522","GO:1903522","regulation of blood circulation","13/297","254/18384",0.0511811023622047,3.16805853813728,4.45853427175074,0.000263418472008082,0.0282763266046175,0.0248341230518146,"Per2/Rgs2/Cacna1e/Fgf13/Nos3/Lep/Adm/Ednra/Trpv1/Myl4/Pik3r1/Ehd3/Smad7",13
"GO:0042886","GO:0042886","amide transport","16/297","362/18384",0.0441988950276243,2.73586695686143,4.27437260531586,0.000284956282146785,0.0296613584598245,0.0260505487921112,"Irs1/Per2/Inhbb/Cacna1e/Car2/Pex5l/Cnr1/Slc5a6/Aacs/Lep/Bmal1/Trpv1/Doc2b/Nr1d1/Sybu/Abat",16
