"","ID","Description","Count","GeneRatio","geneID"
"GO:0002376","GO:0002376","immune system process",125,"125/1255","Neurl3/Slc40a1/Fzd5/Cd247/Slamf9/Slamf8/Spta1/Dusp10/Lyplal1/Batf3/Il2ra/Bmyc/Ypel4/Mapk8ip1/Rasgrp1/Epb42/Slpi/G6pdx/Alas2/Skil/Gpr171/P2ry14/Cd5l/Dcst1/Rorc/H2bc21/Orm1/Orm3/Orm2/Pde4b/Ptafr/Trim63/Pla2g2d/Padi4/Tnfrsf18/Slit2/Jchain/Cxcl13/Gbp4/Serpine1/Lep/Hoxa3/Tril/Mturn/Snca/Igkc/Cyp26b1/Irak2/Ret/Clec4b1/Gapdh/Cd27/Usp29/Lgals4/Nfkbid/Gpi1/Klhl25/Lrrc32/Adm/Mylpf/Trim72/Itgad/Ptpre/Arg1/Prdm1/Prtn3/Cfd/Irs2/Slc7a2/Vegfc/Gapdhrt2/Inpp4b/Cx3cl1/Adgrg3/Ear10/Ear2/Gpr18/Mmp3/St3gal4/Jaml/Pou2af1/Dapk2/Trf/Ccrl2/Hba-a1/Hba-a2/Dock2/Tgtp1/Tgtp2/Bcl6b/Alox15/Ccl2/Wfdc21/Slc4a1/Irf4/Nedd9/Cd83/Gadd45g/Thbs4/Ndufs4/Rsad2/Sox11/Nampt/Pgf/Bdkrb2/Il7r/Dcstamp/Tbx1/Masp1/Bcl6/Tfrc/Dll1/Msrb1/Pim1/H2-Q10/Trim10/Trem1/C3/Gapdh-ps15/Smad7/Dtx4/Dock8/Hhex/Blnk/Gpam"
"GO:0008152","GO:0008152","metabolic process",426,"426/1255","Gsta3/Atp6-ps/Neurl3/Cox5b/Npas2/Slc40a1/Zdbf2/Fzd5/Mogat1/Ugt1a6a/Rnf152/Serpinb2/Pm20d1/Prelp/Glul/Fmo4/Mpc2/Adcy10/Cd247/Slamf9/Slamf8/Spta1/Sccpdh/Coq8a/Dusp10/Mtarc1/Lyplal1/Batf3/Atf3/Nek2/Hsd11b1/Bmyc/Agpat2/Ptges/Bbln/Slc25a25/Nron/Gpd2/B3galt1/Dhrs9/Klhl41/Pdk1/Ttn/Aplnr/Mapk8ip1/Accsl/Pdhx/Rasgrp1/Epb42/Gpat2/Acoxl/Mylk2/Trp53inp2/Acss2/Slpi/Pltp/Eya2/Cass4/Gcnt7/Ctcfl/Ndufb11/Ndufa1/Fmr1/Nsdhl/G6pdx/Mageb18/Cox7b/Alas2/Pdha1/Car5b/Fabp5/Skil/Noct/Mgst2/Tdo2/Dclk2/Kirrel1/Cd5l/Fdps/Dcst1/Pmvk/Rorc/Ciart/Hjv/Hmgcs2/Tent5c/Ngf/Synpo2/Enpep/Elovl6/Mup2/Mup1/Mup11/Mup3/Aldoart1/Dnajc6/Pde4b/Dhcr24/Cyp4b1/Lurap1/Plk3/Foxo6/Ak2/Sesn2/Ptafr/Trim63/E2f2/Pla2g2d/Aldh4a1/Padi4/Mthfr/Pgd/Eno1/Tnfrsf18/Cyp51/Slc5a6/Zfyve28/Htra3/Slit2/Limch1/Jchain/Abcg3/Gbp4/Atp5me/Sez6l/Acacb/Aacs/Gtf2ird1/Serpine1/Fam20c/Rasl11a/Tfpi2/Pon1/Lep/Hilpda/Klf14/Hoxa3/Hoxa6/Tril/Mturn/Adcyap1r1/Snca/Gadd45a/Smyd1/Cyp26b1/Aldh1l1/Rad18/Irak2/Ghrl/Ret/Gapdh/Cd27/Gys2/Bhlhe41/Tmem86b/Tmem150b/Peg3/Usp29/Ckm/Apoc1/Atp1a3/Cyp2f2/Rps16/Lgals4/Nfkbid/Cox6b1/Gpi1/Pepd/Ccne1/Dbp/Saa3/Ldha/Klhl25/Alpk3/Thrsp/Aqp11/Lrrc32/Gdpd5/Pde2a/Adm/Bmal1/Spon1/Gde1/Acsm5/Chp2/Sbk1/Aldoa/Sephs2/Trim72/Cox6a2/Ptpre/Cyp2e1/Taldo1/Dusp8/Tnni2/H19/Akap12/Arg1/Echdc1/Prdm1/Pcbd1/Mmp11/Prtn3/Cfd/Gpx4/Pcsk4/Aldh1l2/Nuak1/Tmtc2/Tmt1b/Fcor/Irs2/F10/Angpt2/Ppp1r3b/Slc7a2/Vegfc/Asb5/Isyna1/Gapdhrt2/Inpp4b/Tecr/Nkd1/Cx3cl1/Adgrg3/Has3/Ldhd/Nudt7/Acta1/Galnt2/Trim67/Pdhb/Acox2/Nr1d2/Myoz1/Tkt/Samd4/Psmb5/Slc25a37/Hr/Dach1/Klf5/Mycbp2/Dct/Gpr18/Mmp3/B3gat1/Adamts15/St3gal4/Cdon/Sorl1/Atp5mg/Apoc3/Dlat/Pou2af1/Cspg4/Pkm/Dapk2/Fbxl22/Aldh1a2/Klhl31/Gsta4/Me1/Adamts7/Nmnat3/Ky/Trf/Traip/Pth1r/Dusp18/Uqcr10/Pgam2/Gck/Hba-a1/Tgtp1/Tgtp2/Mrnip/Uqcrq/Obscn/Hs3st3b1/Myh3/Myh8/Bcl6b/Alox15/Zmynd15/Atp2a3/Rhbdl3/Ccl2/Acaca/Septin4/Hlf/Wfikkn2/Acsf2/Cdc34b/Cisd3/Acly/Coasy/Slc4a1/Axin2/Map2k6/Slc25a10/Fasn/Idi1/Irf4/Mylk4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Klhl3/Adamts16/Pou5f2/Cox7c/Thbs4/Adamts6/Ndufs4/Hmgcs1/Grhl1/Rsad2/Sox11/Nampt/Immp2l/Egln3/L2hgdh/Pygl/Dhrs7/Rdh11/Pgf/Fbln5/Ifi27/Serpina1b/Serpina1d/Serpina1a/Serpina1c/Serpina1e/Serpina3j/Serpina3k/Serpina3m/Bdkrb2/Rtl1/Aspg/Adss1/Il7r/Npr3/Ropn1l/Ndufb9/Recql4/Pvalb/Tef/Pnpla5/Rapgef3/Gpd1/Ppp1r1a/Rbfox1/Abat/Serpind1/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Gbe1/Adamts5/Ripk4/Mpc1/Acat2/Dll1/Has1/Rpl3l/Msrb1/Fkbp5/Pim1/Abcg1/Cbs/Adamts10/Trem1/Apobec2/Slc5a7/Ndufa11/Rfx2/C3/Nudt12/Lbh/Ehd3/Gapdh-ps15/Asxl3/Pcdh12/Spry4/Fgf1/Eno1b/Mc5r/Lipg/Smad7/Zbtb7c/Aldh3b3/Aldh3b2/Pcx/Top6bl/Actn3/Ctsw/Tm7sf2/Pygm/Dtx4/Aldh1a7/Gldc/Lipf/Hhex/Blnk/Sfrp5/Scd3/Scd4/Scd1/Sh3pxd2a/Dusp5/Gpam/Adrb1/Afap1l2/ATP8/ATP6/COX3/ND3"
"GO:0009987","GO:0009987","cellular process",592,"592/1255","Xkr4/Gsta3/Atp6-ps/Neurl3/Cox5b/Npas2/Slc40a1/Mpp4/Nrp2/Zdbf2/Fzd5/Mogat1/Ugt1a6a/Septin2/Rnf152/Serpinb2/Lypd1/Pm20d1/Prelp/Cacna1s/Hmcn1/Glul/Cacna1e/Dnm3/Fmo4/Mpc2/Adcy10/Cd247/Nos1ap/Casq1/Slamf9/Igsf9/Slamf8/Spta1/Sccpdh/Coq8a/Dusp10/Mtarc1/Lyplal1/Batf3/Atf3/Nek2/Lamb3/Hsd11b1/Il2ra/Bmyc/Agpat2/Adamtsl2/Ptges/Bbln/Slc25a25/Garnl3/Nron/Olfml2a/Neb/Gpd2/Grb14/Xirp2/B3galt1/Dhrs9/Klhl41/Pdk1/Chn1/Pde11a/Ttn/Ypel4/Slc43a1/Rtn4rl2/Aplnr/Pex16/Mapk8ip1/Pdhx/Rasgrp1/Gm14137/Epb42/Gpat2/Acoxl/Rem1/Mylk2/Trp53inp2/Acss2/Nnat/Pltp/Eya2/Cass4/Gcnt7/Ctcfl/Pmepa1/Syp/Ndufb11/Ndufa1/Fmr1/Nsdhl/Haus7/Dusp9/G6pdx/Mageb18/Cox7b/Alas2/Ptchd1/Pdha1/Car5b/Fabp5/Skil/Noct/Mgst2/Gpr171/P2ry14/Tdo2/Dchs2/Dclk2/Kirrel1/Cd5l/Tmem79/Fdps/Dcst1/Pmvk/Rorc/Tmod4/Ciart/H2bc21/Hjv/Hmgcs2/Tent5c/Ngf/Tspan2/Synpo2/Enpep/Elovl6/Dkk2/Atp6v0d2/Gabrr2/Spaca1/Mup2/Mup1/Mup11/Mup20/Mup3/Aldoart1/Dnajc6/Pde4b/Dhcr24/Lurap1/Ptch2/Plk3/Foxo6/Oscp1/Ak2/Sesn2/Ptafr/Trim63/E2f2/Pla2g2d/Aldh4a1/Padi4/Arhgef19/Mthfr/Pgd/Slc2a5/Eno1/Megf6/Tmem88b/Tnfrsf18/Cyp51/Sema3a/Slc5a6/Zfyve28/Htra3/Slit2/Limch1/Jchain/Rassf6/Cxcl13/Abcg3/Gbp4/Atp5me/Sez6l/Myo18b/Acacb/Tmem120b/Aacs/Gtf2ird1/Clip2/Serpine1/Fam20c/Baiap2l1/Rasl11a/Hepacam2/Tfpi2/Pon1/Tes/Lep/Hilpda/Kcp/Strip2/Klf14/Plxna4/Snx10/Hoxa3/Hoxa6/Tril/Chn2/Mturn/Adcyap1r1/Snca/Gadd45a/Igkc/Smyd1/Cyp26b1/Arhgap25/Aldh1l1/Rad18/Srgap3/Irak2/Ghrl/Syn2/Ret/Slc6a13/Slc2a3/Clec4b1/Gapdh/Cd27/Emp1/Slc15a5/Gys2/Bhlhe41/Eps8l1/Tmem86b/Tmem150b/Peg3/Usp29/Ckm/Apoc1/Atp1a3/Cyp2f2/Rps16/Lgals4/Ryr1/Spred3/Catsperg2/Nfkbid/Cox6b1/Scn1b/Gpi1/Pepd/Ccne1/Mybpc2/Ppfia3/Dbp/Saa3/Ldha/Zdhhc13/Gabrg3/Fam174b/Klhl25/Hapln3/Mfge8/Alpk3/Thrsp/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Spon1/Plekha7/Gde1/Acsm5/Chp2/Sbk1/Atp2a1/Aldoa/Sephs2/Trim72/Itgad/Cox6a2/Insyn2a/Ptpre/Cyp2e1/Taldo1/Dusp8/Tnni2/Tnnt3/H19/Akap12/Arg1/Echdc1/Trdn/Prdm1/Pcbd1/Mmp11/Hcn2/Prtn3/Cfd/Gpx4/Pcsk4/Jsrp1/Aldh1l2/Nuak1/Tmtc2/Kcnc2/Or6c208/Fcor/Irs2/F10/Myom2/Angpt2/Ppp1r3b/Slc7a2/Cenpu/Cldn24/Vegfc/Asb5/Palld/Isyna1/Gapdhrt2/Inpp4b/Tecr/Nkd1/Mt2/Mt1/Cx3cl1/Adgrg3/Rrad/Has3/Ldhd/Nudt7/Osgin1/Kcng4/Acta1/Galnt2/Trim67/Pdhb/Acox2/Nr1d2/Myoz1/Lrtm1/Tkt/Vstm4/Sncg/Grid1/Samd4/Kcnrg/Xkr6/Slc25a37/Hr/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Mmp3/B3gat1/Adamts15/Kirrel3/St3gal4/Cdon/Sorl1/C2cd2l/Atp5mg/Jaml/Apoc3/Dlat/Dixdc1/Pou2af1/Cspg4/Pkm/Megf11/Dapk2/Aldh1a2/Scg3/Klhl31/Gsta4/Me1/Adamts7/Nmnat3/Ky/Trf/Col6a5/Traip/Klhdc8b/Pth1r/Ccrl2/Stac/Dusp18/Uqcr10/Pgam2/Gck/Slc1a4/Hba-a1/Hba-a2/Dock2/Tgtp1/Tgtp2/Mrnip/Uqcrq/Gdf9/Obscn/Specc1/Hs3st3b1/Shisa6/Myh3/Myh2/Myh8/Myh13/Glp2r/Tmem88/Bcl6b/0610010K14Rik/Alox15/Zmynd15/Atp2a3/Rap1gap2/Tlcd2/Mir365-2/Ccl2/Wfdc21/Acaca/Septin4/Hlf/Wfikkn2/Abcc3/Acsf2/Cdc34b/Cisd3/Tcap/Acly/Odad4/Kcnh4/Coasy/Slc4a1/Axin2/Map2k6/Slc25a10/Fasn/Net1/Idi1/Ryr2/Irf4/Mylk4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Diras2/Unc5a/Klhl3/Adamts16/Pou5f2/Cox7c/Rasgrf2/Thbs4/Adamts6/Rgs7bp/Ccno/Gpx8/Ndufs4/Hmgcs1/Grhl1/Rsad2/Sox11/Nampt/Immp2l/Nrcam/Egln3/Pygl/Dhrs7/Rdh11/Pgf/Fbln5/Ifi27/Serpina1b/Serpina1a/Syne3/Bdkrb2/Rtl1/Mirg/Aspg/Adss1/Il7r/Npr3/Ropn1l/Dcstamp/Sybu/Mal2/Fam83a/Ndufb9/Recql4/Pvalb/Tst/Syngr1/Tef/Smdt1/Pnpla5/Tafa5/Rapgef3/Gpd1/Ppp1r1a/Vasn/Rbfox1/Abat/Slc25a1/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Fbxo40/Gpr156/Gbe1/Adamts5/Mrap/Kcnj15/Ripk4/Mpc1/Acat2/Dll1/Spaca6/Has1/Rpl3l/Msrb1/Fkbp5/Pim1/Abcg1/Cbs/Adamts10/H2-Q10/Trim10/Trem1/Apobec2/Slc5a7/Ndufa11/Rfx2/C3/Nudt12/Lbh/Ehd3/Gapdh-ps15/Lama3/Ttc39c/Asxl3/Pcdh12/Spry4/Fgf1/Myot/Eno1b/Mc5r/Lipg/Smad7/Zbtb7c/Katnal2/Pard6g/Aldh3b3/Aldh3b2/Gpr152/Pcx/Top6bl/Actn3/Neat1/Pygm/Dtx4/Prune2/Aldh1a7/Dock8/Gldc/Lipf/Hhex/Blnk/Sfrp5/Golga7b/Scd3/Scd4/Scd1/Sh3pxd2a/Dusp5/Gpam/Nrap/Adrb1/Afap1l2/ATP8/ATP6/COX3/ND3"
"GO:0016032","GO:0016032","viral process",5,"5/1255","Slpi/Fmr1/Rsad2/Trim10/Pcx"
"GO:0022414","GO:0022414","reproductive process",58,"58/1255","Zdbf2/Fzd5/Septin2/Cacna1e/Adcy10/Nek2/Grb14/Pltp/Ctcfl/Skil/Dcst1/Spaca1/Dhcr24/Ptafr/Cyp51/Sema3a/Serpine1/Lep/Chn2/Adcyap1r1/Cyp26b1/Rad18/Ghrl/Catsperg2/Ccne1/Mfge8/Adm/Bmal1/Aldoa/H19/Prdm1/Gpx4/Pcsk4/Angpt2/Nkd1/Dach1/Pgam2/Gdf9/Shisa6/Zmynd15/Ccl2/Septin4/Map2k6/Adamts16/Lhfpl2/Immp2l/Ropn1l/Abat/Comt/Bcl6/Trp63/Tnk2/Spaca6/Has1/Cbs/Rfx2/C3/Top6bl"
"GO:0032501","GO:0032501","multicellular organismal process",334,"334/1255","Gsta3/Npas2/Slc40a1/Nrp2/Fzd5/Septin2/Lypd1/Pm20d1/Cacna1s/Glul/Cacna1e/Dnm3/Fmo4/F5/Adcy10/Cd247/Nos1ap/Casq1/Slamf9/Igsf9/Slamf8/Spta1/Dusp10/Batf3/Nek2/Lamb3/Hsd11b1/Il2ra/Bmyc/Agpat2/Adamtsl2/Ptges/Bbln/Slc25a25/Nron/Neb/Gpd2/Xirp2/Chn1/Ttn/Ypel4/Rtn4rl2/Aplnr/Mapk8ip1/Rasgrp1/Epb42/Rem1/Mylk2/Trp53inp2/Acss2/Nnat/Pltp/Fmr1/Nsdhl/Bgn/G6pdx/Cox7b/Alas2/Ptchd1/Fabp5/Skil/Noct/Gpr171/P2ry14/Dchs2/Dclk2/Kirrel1/Tmem79/Fdps/Rorc/Tmod4/Ciart/Hjv/Hmgcs2/Tent5c/Ngf/Tspan2/Enpep/Elovl6/Gabrr2/Mup2/Mup1/Mup11/Mup20/Mup3/Pde4b/Dhcr24/Lurap1/Ptch2/Foxo6/Ptafr/Trim63/E2f2/Pla2g2d/Padi4/Slc25a34/Mthfr/Slc2a5/Eno1/Cyp51/Sema3a/Slc5a6/Slit2/Jchain/Cxcl13/Abcg3/Gbp4/Sez6l/Myo18b/Acacb/Aacs/Gtf2ird1/Serpine1/Fam20c/Tfpi2/Pon1/Lep/Hilpda/Plxna4/Snx10/Hoxa3/Hoxa6/Tril/Mturn/Snca/Gadd45a/Igkc/Smyd1/Cyp26b1/Srgap3/Ghrl/Ret/Gapdh/Cd27/Bhlhe41/Apoc1/Atp1a3/Ryr1/Spred3/Nfkbid/Scn1b/Gpi1/Mybpc2/Ldha/Gabrg3/Klhl25/Hapln3/Mfge8/Alpk3/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Plekha7/Atp2a1/Aldoa/Mylpf/Trim72/Itgad/Insyn2a/Ptpre/Tnni2/Tnnt3/H19/Akap12/Myct1/Arg1/Trdn/Prdm1/Cfd/Gpx4/Jsrp1/Kcnc2/Or6c208/Fcor/Irs2/F10/Myom2/Angpt2/Slc7a2/Cenpu/Vegfc/Nxnl1/Gapdhrt2/Inpp4b/Cx3cl1/Adgrg3/Acta1/Trim67/Nr1d2/Myoz1/Lrtm1/Vstm4/Sncg/Grid1/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Hephl1/B3gat1/Kirrel3/St3gal4/Cdon/Sorl1/Jaml/Apoc3/Dixdc1/Pou2af1/Cspg4/Pkm/Megf11/Aldh1a2/Adamts7/Trf/Traip/Pth1r/Stac/Pgam2/Slc1a4/Hba-a1/Hba-a2/Dock2/Uqcrq/Gdf9/Specc1/Hs3st3b1/Shisa6/Myh3/Myh2/Myh1/Myh4/Myh8/Myh13/Bcl6b/Alox15/Rap1gap2/Ccl2/Acaca/Septin4/Wfikkn2/Tcap/Odad4/Slc4a1/Axin2/Map2k6/Ryr2/Irf4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Unc5a/Klhl3/Adamts16/Thbs4/Lhfpl2/Adamts6/Ndufs4/Grhl1/Rsad2/Sox11/Nampt/Immp2l/Nrcam/Coch/Rdh11/Pgf/Fbln5/Unc79/Serpina1b/Bdkrb2/Rtl1/Il7r/Npr3/Dcstamp/Sybu/Mal2/Recql4/Tafa5/Rapgef3/Vasn/Rbfox1/Abat/Serpind1/Comt/Tbx1/Cldn5/Clcn2/Bcl6/Trp63/Tfrc/Adamts5/Acat2/Dll1/Pim1/Abcg1/Cbs/Trim10/Trem1/Slc5a7/C3/Lbh/Ehd3/Gapdh-ps15/Lama3/Ttc39c/Pcdh12/Fgf1/Myot/Eno1b/Lipg/Smad7/Actn3/Aldh1a7/Mamdc2/Dock8/Hhex/Blnk/Sfrp5/Scd1/Sh3pxd2a/Dusp5/Gpam/Nrap/Adrb1/Afap1l2"
"GO:0032502","GO:0032502","developmental process",293,"293/1255","Xkr4/Gsta3/Slc40a1/Nrp2/Zdbf2/Fzd5/Septin2/Cacna1s/Glul/Dnm3/Adcy10/Casq1/Slamf9/Igsf9/Slamf8/Spta1/Dusp10/Batf3/Atf3/Nek2/Lamb3/Hsd11b1/Il2ra/Bmyc/Agpat2/Adamtsl2/Bbln/Slc25a25/Neb/Gpd2/Grb14/Xirp2/Klhl41/Chn1/Ttn/Ypel4/Rtn4rl2/Aplnr/Rasgrp1/Gm14137/Epb42/Mylk2/Trp53inp2/Nnat/Eya2/Ctcfl/Fmr1/Nsdhl/Bgn/G6pdx/Cox7b/Alas2/Ptchd1/Skil/Noct/Gpr171/Dchs2/Dclk2/Tmem79/Fdps/Rorc/Tmod4/Hmgcs2/Tent5c/Ngf/Tspan2/Enpep/Spaca1/Mup20/Dhcr24/Ptch2/Foxo6/Trim63/E2f2/Pla2g2d/Padi4/Slc25a34/Mthfr/Eno1/Cyp51/Sema3a/Slit2/Cxcl13/Sez6l/Myo18b/Acacb/Tmem120b/Aacs/Gtf2ird1/Serpine1/Fam20c/Lep/Kcp/Strip2/Plxna4/Snx10/Hoxa3/Hoxa6/Chn2/Mturn/Adcyap1r1/Snca/Gadd45a/Igkc/Smyd1/Cyp26b1/Rad18/Srgap3/Ghrl/Ret/Gapdh/Cd27/Bhlhe41/Atp1a3/Ryr1/Spred3/Catsperg2/Nfkbid/Scn1b/Gpi1/Ccne1/Mybpc2/Ldha/Gabrg3/Klhl25/Hapln3/Mfge8/Alpk3/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Aldoa/Mylpf/Trim72/Tnnt3/H19/Prdm1/Mmp11/Prtn3/Cfd/Gpx4/Pcsk4/Kcnc2/Fcor/Irs2/Myom2/Angpt2/Cenpu/Vegfc/Palld/Inpp4b/Nkd1/Cx3cl1/Adgrg3/Nudt7/Osgin1/Acta1/Trim67/Nr1d2/Myoz1/Lrtm1/Vstm4/Xkr6/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Adamts15/Kirrel3/Cdon/Sorl1/Dixdc1/Pou2af1/Cspg4/Pkm/Megf11/Aldh1a2/Adamts7/Ky/Trf/Pth1r/Pgam2/Hba-a1/Hba-a2/Dock2/Uqcrq/Gdf9/Obscn/Specc1/Hs3st3b1/Shisa6/Alox15/Zmynd15/Rap1gap2/Ccl2/Wfdc21/Septin4/Hlf/Wfikkn2/Tcap/Odad4/Slc4a1/Axin2/Map2k6/Fasn/Ryr2/Irf4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Unc5a/Klhl3/Adamts16/Thbs4/Lhfpl2/Adamts6/Ccno/Ndufs4/Grhl1/Rsad2/Sox11/Immp2l/Nrcam/Coch/Pgf/Fbln5/Unc79/Serpina1b/Syne3/Rtl1/Il7r/Npr3/Ropn1l/Dcstamp/Sybu/Mal2/Recql4/Tst/Tafa5/Rapgef3/Vasn/Rbfox1/Abat/Comt/Tbx1/Cldn5/Clcn2/Bcl6/Trp63/Tfrc/Tnk2/Fbxo40/Adamts5/Mrap/Ripk4/Dll1/Rpl3l/Pim1/Abcg1/Cbs/Trim10/Slc5a7/Rfx2/C3/Lbh/Lama3/Ttc39c/Asxl3/Pcdh12/Spry4/Fgf1/Myot/Smad7/Zbtb7c/Actn3/Mamdc2/Hhex/Sfrp5/Scd1/Sh3pxd2a/Dusp5/Gpam/Nrap/Adrb1"
"GO:0040007","GO:0040007","growth",51,"51/1255","Nrp2/Adcy10/Dusp10/Slc25a25/Gpd2/Ttn/G6pdx/Fdps/Ngf/Ptch2/Sesn2/Eno1/Sema3a/Slit2/Acacb/Serpine1/Lep/Plxna4/Ghrl/Atp1a3/Adm/H19/Gpx4/Nkd1/Mt2/Mt1/Rrad/Osgin1/Myoz1/Tkt/Klf5/Mycbp2/Pkm/Gdf9/Fbln5/Unc79/Dcstamp/Comt/Tbx1/Bcl6/Dll1/Pim1/C3/Fgf1/Eno1b/Smad7/Actn3/Hhex/Sfrp5/Gpam/Adrb1"
"GO:0040011","GO:0040011","locomotion",63,"63/1255","Nrp2/Glul/Slamf9/Slamf8/Dusp10/Ttn/Cass4/Synpo2/Pde4b/Ptafr/Tnfrsf18/Sema3a/Slit2/Limch1/Cxcl13/Serpine1/Plxna4/Snca/Gadd45a/Srgap3/Ghrl/Ret/Atp1a3/Scn1b/Gpi1/Saa3/Aldoa/Akap12/Irs2/Angpt2/Vegfc/Cx3cl1/Adgrg3/Osgin1/Lrtm1/Ear10/Ear2/Dach1/Mycbp2/Gpr18/Mmp3/St3gal4/Sorl1/Jaml/Dapk2/Trf/Ccrl2/Dock2/Ccl2/Gcnt2/Nedd9/Phactr1/Thbs4/Pgf/Tafa5/Rapgef3/Cldn5/Bcl6/Has1/Trem1/Lama3/Fgf1/Dock8"
"GO:0042592","GO:0042592","homeostatic process",107,"107/1255","Slc40a1/Pm20d1/Cacna1s/Glul/Cacna1e/Fmo4/Mpc2/Casq1/Slamf8/Spta1/Il2ra/Bmyc/Ptges/Bbln/Slc25a25/Ypel4/Aplnr/Epb42/Trp53inp2/Fmr1/G6pdx/Alas2/Fabp5/Skil/P2ry14/Hjv/Ngf/Elovl6/Atp6v0d2/Mup2/Mup1/Mup11/Mup3/Pde4b/Sesn2/Acacb/Aacs/Lep/Snx10/Snca/Ghrl/Clec4b1/Atp1a3/Ryr1/Gpi1/Aqp11/Bmal1/Chp2/Atp2a1/Aldoa/Myct1/Trdn/Jsrp1/Tmtc2/Fcor/Irs2/Nxnl1/Inpp4b/Mt2/Mt1/Cx3cl1/Nr1d2/Vstm4/Hephl1/Sorl1/C2cd2l/Apoc3/Trf/Pth1r/Gck/Hba-a1/Hba-a2/Atp2a3/Tlcd2/Ccl2/Acaca/Septin4/Slc4a1/Map2k6/Ryr2/Irf4/Gcnt2/Gadd45g/Klhl3/Pygl/Bdkrb2/Il7r/Npr3/Dcstamp/Sybu/Smdt1/Pnpla5/Abat/Comt/Cldn5/Bcl6/Tfrc/Adamts5/Dll1/Abcg1/Trim10/Lipg/Actn3/Pygm/Scd1/Gpam/Adrb1"
