"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002274","GO:0002274","myeloid leukocyte activation","96/2093","259/18384",0.370656370656371,3.25568405071511,13.1041265681531,1.9998982005743e-27,1.17554016229757e-23,8.37010025840358e-24,"Il1rl1/Fn1/Slc11a1/Il10/Pla2g4a/Fcgr4/Fcgr3/Fcer1g/Cd48/Cd84/Batf3/Ptgds/Spi1/Rasgrp1/Thbs1/Lbp/Btk/Tlr2/Mcub/Lyn/Jun/Ptafr/Fgr/Cnr2/C1qa/Tlr1/Tlr6/Rhoh/Stap1/Crlf2/Lat2/Pilrb1/Snca/Clec4d/Ptpn6/Pirb/C5ar1/Kcnn4/Tgfb1/Tyrobp/Cd37/Fes/Pycard/Itgam/Ptpre/Tspan32/Ulbp1/Lilrb4b/Lilrb4a/Itgb2/Mfhas1/Jund/Hmox1/Cx3cl1/Plcg2/Prkcd/Epsti1/Ldlr/Plscr1/Tlr9/Lcp2/Dock2/Havcr2/Adora2b/Shpk/Trpv1/Abr/Ccl5/Ccl3/Tmem106a/Grn/Milr1/Cd300a/Cd300lb/Cd300lf/Unc13d/Gpr137b/Syk/Nampt/Tmem229b/Dcstamp/Rac2/App/Ifngr2/Myo1f/Aif1/Tnf/Ubd/Trem2/Prkce/Csf1r/Cd226/Batf2/Anxa1/Plpp6/Calhm2",96
"GO:0050900","GO:0050900","leukocyte migration","112/2093","377/18384",0.297082228116711,2.60944084170932,11.3173291424534,1.744594682562e-22,5.12736377204971e-19,3.65079392519289e-19,"Gpr35/Adora1/Fcgr3/Fcer1g/Slamf9/Slamf8/Camk1d/Tnfaip6/Itga4/Ptprj/Spi1/Mdk/Thbs1/Il1b/Sirpa/Lbp/Ada/Prex1/Cxcr3/Tlr2/S100a8/Ecm1/Ptpn22/Vav3/Mcoln2/Ptger3/Lyn/Pde4b/Csf3r/Ptafr/Cnr2/Padi2/Bst1/Stap1/Pf4/Cxcl2/Spp1/Selplg/Serpine1/Lep/Rarres2/Podxl2/C3ar1/Cd9/Ptpro/C5ar2/C5ar1/Kcnn4/Tgfb1/Coro1a/Spn/Itgal/Pycard/Itgam/Adam8/Enpp1/Cd24a/Itgb2/Cnn2/F7/Gdf15/Myo9b/Il27ra/Ccl22/Cx3cl1/Cklf/Lgals3/Mmp14/Ripk3/Gpr183/Fut4/Icam1/Cadm1/Ccr1/Myo1g/Stk10/Nlrp3/Cxcl16/Abr/Ccl2/Ccl7/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Ccr7/Cd300a/Nedd9/Ninj1/Syk/Pik3r1/Lgmn/Asb2/Ptger4/Rac2/Nckap1l/Apod/Cd200r1/App/Myo1f/Gpsm3/Aif1/Tnf/Pla2g7/Trem1/Trem2/Vav1/Cd74/Csf1r/Anxa1/Dock8",112
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","72/2093","195/18384",0.369230769230769,3.24316218898159,11.2873633597374,9.01071731792014e-21,1.27416756513053e-17,9.0723487024928e-18,"Ly96/Fzd5/Il10/Ptprc/Fcgr2b/Fcgr3/Fcer1g/Cd84/Card9/Ptprj/Rasgrp1/Thbs1/Sirpa/Lbp/Cybb/Sash3/Elf4/Btk/Tlr2/Cd2/Ptpn22/Ccn1/Ptafr/Spon2/Tlr1/Tlr6/Oas1c/Oas1g/Oas1a/Lep/Gpnmb/Clec4a3/Clec4a4/Clec4a2/Ptpn6/Clec7a/C5ar2/Bcl3/Kcnn4/Tgfb1/Tyrobp/Spn/Pycard/Adam8/Akap12/Cd24a/Lilrb4b/Lilrb4a/Vsir/Il27ra/Cx3cl1/Plcg2/Cyba/Tlr9/Ccr5/Havcr2/Arrb2/Ccl2/Ccl3/Ccl4/Rara/Ccr7/Tmem106a/Cd300ld/Syk/Pik3r1/Isl1/Ptger4/Angpt1/App/Trem2/Csf1r",72
"GO:0006909","GO:0006909","phagocytosis","77/2093","219/18384",0.351598173515982,3.08828515141797,11.143281268627,1.26536997389589e-20,1.27416756513053e-17,9.0723487024928e-18,"Slc11a1/Marco/Rab7b/Ptprc/Ncf2/Fcgr2b/Fcgr3/Fcer1g/Camk1d/Ptprj/Thbs1/Sirpa/Hck/Lbp/Cfp/Il2rg/Btk/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Ptx3/Tlr2/Fcgr1/Fgr/Spon2/Stap1/Coro1c/P2rx7/Met/Lep/Arhgap25/Clec7a/Tgfb1/Tyrobp/Mfge8/Mex3b/P2ry6/Coro1a/Itgal/Pycard/Itgam/Itgb2/Cnn2/Pip5k1c/Rab20/Msr1/Plcg2/Irf8/Cyba/Ldlr/Hspa8/Rab39/Plscr1/Myo1g/Dock2/Abr/Ccl2/Rara/Ccr7/Cd300a/Cd300lf/Unc13d/Syk/Pld4/Ncf4/Il2rb/Bin2/Nckap1l/Clcn2/Aif1/Trem2/C3/Vav1/Rab31/Ticam2/Anxa1",77
"GO:0070661","GO:0070661","leukocyte proliferation","105/2093","359/18384",0.292479108635098,2.56900904593771,10.7610331926887,1.37905938703849e-20,1.27416756513053e-17,9.0723487024928e-18,"Cd28/Slc11a1/Inpp5d/Cxcr4/Il10/Rassf5/Ptprc/Fcgr2b/Spta1/Prkcq/Mapk8ip1/Cd44/Rasgrp1/Il1b/Ada/Cd40/Nfatc2/Sash3/Elf4/Btk/Ptpn22/Vav3/Lyn/Laptm5/Tnfrsf1b/Bst1/P2rx7/Card11/Lep/Gpnmb/Ptpn6/Tgfb1/Tyrobp/Cd22/Cd37/Lrrc32/Coro1a/Spn/Itgal/Pycard/Itgam/Itgad/Tspan32/Zc3h12d/Arg1/Cd24a/Lilrb4b/Lilrb4a/Gja1/Vsir/Itgb2/Cnn2/Stat6/Irs2/Junb/Cx3cl1/Adk/Prkcd/Lgals3/Ripk3/Gpr183/Tlr9/Dock2/Havcr2/Tnfrsf13b/Slfn2/Ccl5/Ccr7/Slc4a1/Cd300a/Syk/Cd180/Gapt/Fkbp1b/Il7r/Npr3/Csf2rb2/Rac2/Nckap1l/St6gal1/Cd86/Cd80/Rasal3/H2-DMb2/H2-DMb1/H2-Aa/Cfb/Aif1/Lst1/H2-M3/Tnfrsf21/Trem2/Plcl2/Ebi3/Cd74/Csf1r/Tcirg1/Ccdc88b/Cd6/Anxa1/Dock8/Lipa/Hhex/Gpam/Csf2ra",105
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","73/2093","201/18384",0.36318407960199,3.19005070205589,11.1902132947511,1.47676501249332e-20,1.27416756513053e-17,9.0723487024928e-18,"Ly96/Fzd5/Il10/Ptprc/Fcgr2b/Fcgr3/Fcer1g/Cd84/Slamf9/Card9/Ptprj/Rasgrp1/Thbs1/Sirpa/Lbp/Cybb/Sash3/Elf4/Btk/Tlr2/Cd2/Ptpn22/Ccn1/Ptafr/Spon2/Tlr1/Tlr6/Oas1c/Oas1g/Oas1a/Lep/Gpnmb/Clec4a3/Clec4a4/Clec4a2/Ptpn6/Clec7a/C5ar2/Bcl3/Kcnn4/Tgfb1/Tyrobp/Spn/Pycard/Adam8/Akap12/Cd24a/Lilrb4b/Lilrb4a/Vsir/Il27ra/Cx3cl1/Plcg2/Cyba/Tlr9/Ccr5/Havcr2/Arrb2/Ccl2/Ccl3/Ccl4/Rara/Ccr7/Tmem106a/Cd300ld/Syk/Pik3r1/Isl1/Ptger4/Angpt1/App/Trem2/Csf1r",73
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","71/2093","192/18384",0.369791666666667,3.24808886765409,11.2238744914038,1.51738226538172e-20,1.27416756513053e-17,9.0723487024928e-18,"Ly96/Fzd5/Il10/Ptprc/Fcgr2b/Fcgr3/Fcer1g/Cd84/Card9/Ptprj/Rasgrp1/Thbs1/Sirpa/Lbp/Cybb/Sash3/Elf4/Btk/Tlr2/Cd2/Ptpn22/Ccn1/Ptafr/Spon2/Tlr1/Tlr6/Oas1c/Oas1g/Oas1a/Lep/Gpnmb/Clec4a3/Clec4a4/Clec4a2/Ptpn6/Clec7a/C5ar2/Bcl3/Kcnn4/Tgfb1/Tyrobp/Spn/Pycard/Akap12/Cd24a/Lilrb4b/Lilrb4a/Vsir/Il27ra/Cx3cl1/Plcg2/Cyba/Tlr9/Ccr5/Havcr2/Arrb2/Ccl2/Ccl3/Ccl4/Rara/Ccr7/Tmem106a/Cd300ld/Syk/Pik3r1/Isl1/Ptger4/Angpt1/App/Trem2/Csf1r",71
"GO:0032640","GO:0032640","tumor necrosis factor production","72/2093","198/18384",0.363636363636364,3.19402336793641,11.1256190813856,2.4934437889925e-20,1.83205782396224e-17,1.30446480329397e-17,"Ly96/Fzd5/Il10/Ptprc/Fcgr2b/Fcgr3/Fcer1g/Cd84/Slamf9/Card9/Ptprj/Rasgrp1/Thbs1/Sirpa/Lbp/Cybb/Sash3/Elf4/Btk/Tlr2/Cd2/Ptpn22/Ccn1/Ptafr/Spon2/Tlr1/Tlr6/Oas1c/Oas1g/Oas1a/Lep/Gpnmb/Clec4a3/Clec4a4/Clec4a2/Ptpn6/Clec7a/C5ar2/Bcl3/Kcnn4/Tgfb1/Tyrobp/Spn/Pycard/Akap12/Cd24a/Lilrb4b/Lilrb4a/Vsir/Il27ra/Cx3cl1/Plcg2/Cyba/Tlr9/Ccr5/Havcr2/Arrb2/Ccl2/Ccl3/Ccl4/Rara/Ccr7/Tmem106a/Cd300ld/Syk/Pik3r1/Isl1/Ptger4/Angpt1/App/Trem2/Csf1r",72
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","129/2093","494/18384",0.261133603238866,2.29368378497053,10.4473314879549,2.94047069538032e-20,1.92045408304951e-17,1.36740485202715e-17,"Atp6-ps/Cox5b/Ndufs1/Rpe/Prkag3/Per2/Ndufa10/Pm20d1/Adcy10/Hsd11b1/Atp5f1c/Slc2a6/Slc25a25/Gpd2/Mtch2/Mtln/Idh3b/Aifm1/Cox7b/Prps1/Pfkfb1/Pdha1/Prps2/Hmgcs2/Mup2/Mup1/Mup11/Mup3/Aldoart1/Atp5if1/Trim63/Gale/Pgd/Slc25a33/Eno1/Stbd1/Atp5me/Acacb/Oas1c/Oas1g/Oas1a/P2rx7/Mlxipl/Slc25a13/Ppp1r3a/Ndufa5/Lep/Bpgm/Cycs/Snca/Hk2/Aldh1l1/Gapdh/Gys2/Ccnb1-ps/Gys1/Ldha/Ucp2/Coq7/Uqcrc2/Ndufab1/Aldoa/Cox6a2/Taldo1/Mtfr2/Enpp1/Cdk1/Chchd10/S100b/Col6a1/Pfkl/Ndufa12/Cs/Irs2/Ppp1r3b/Gapdhrt2/Pdhb/Tkt/Ogdhl/Slc37a2/Apoc3/Dlat/Cox5a/Pkm/Pgam2/Gck/Mdh1/Uqcrq/Eno3/Shpk/Mlx/Slc4a1/Uqcrfs1/Hk3/Cox7c/Ccnb1/Ndufs4/Dld/Immp2l/Pygl/Cox6c/Ndufb9/Cyc1/Dgat1/Gpd1/Ppp1r1a/Gbe1/App/Tnf/Gnpda1/Eno1b/Actn3/Pygm/Fxn/Lipa/Ppp1r3c/Got1/ND1/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB",129
"GO:0050867","GO:0050867","positive regulation of cell activation","108/2093","385/18384",0.280519480519481,2.46396088383666,10.4052994948721,1.26194443630441e-19,7.41770939659733e-17,5.28156955657509e-17,"Il1rl1/Cd28/Inpp5d/Il10/Ptprc/Pla2g4a/Spta1/Dusp10/Prkcq/Ptprj/Spi1/Mdk/Rasgrp1/Thbs1/Il1b/Sirpa/Lbp/Ada/Cd40/Nfatc2/Sash3/Flna/Il2rg/Btk/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Ptpn22/Vav3/Svep1/Rps6ka1/Bst1/Tlr6/Rhoh/Stap1/Crlf2/Card11/Actb/Hsph1/Lep/Clec4d/Clec7a/Kcnn4/Tgfb1/Tyrobp/Nfkbid/Coro1a/Spn/Itgal/Pycard/Adam8/Ulbp1/Vnn1/Cd24a/Lilrb4b/Lilrb4a/Vsir/Stat6/Irs2/Jund/Adk/Shld2/Mmp14/Egr3/Gpr183/Tlr9/Plek/Havcr2/Nlrp3/Ccl2/Ccl5/Rara/Ccr7/Slc4a1/Cd300lb/Sox4/Cd83/Syk/Il7r/Dgat1/Nckap1l/Socs1/Cd86/Cd80/Runx1/Rasal3/H2-DMa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Aa/H2-Eb1/Aif1/Tnf/H2-M3/Trem2/Vav1/Cd74/Csf1r/Cd226/Ccdc88b/Cd6/Anxa1/Dock8/Plpp6/Acta2/Gpam",108
