Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR6984609_trimmed_quality	27510350.0	0.0	27510350.0	1.0	27510350.0	0.0	22327721.0	0.0	5182629.0	0.0	0.0	0.0	407431.0	0.0	5525983.0	0.0	1694715770.0	1694715770.0	0.0	1382467176.0	1377056590.0	0.0	0.0	3470309.0	0.002520092	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.16116661547382	0.0	18.83883338452619	0.0	0.0	0.0	1.4810098744654285	0.0
SRR6984610_trimmed_quality	28679158.0	0.0	28679158.0	1.0	28679158.0	0.0	24598614.0	0.0	4080544.0	0.0	0.0	0.0	424401.0	0.0	6717755.0	0.0	1768543744.0	1768543744.0	0.0	1523726813.0	1518949247.0	0.0	0.0	3231460.0	0.002127431	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7717440658474	0.0	14.2282559341526	0.0	0.0	0.0	1.4798237800426357	0.0
SRR6984611_trimmed_quality	29181802.0	0.0	29181802.0	1.0	29181802.0	0.0	25633081.0	0.0	3548721.0	0.0	0.0	0.0	304113.0	0.0	5878486.0	0.0	1801003071.0	1801003071.0	0.0	1588103588.0	1583699375.0	0.0	0.0	2789027.0	0.001761084	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.83926708844095	0.0	12.16073291155906	0.0	0.0	0.0	1.0421323535811804	0.0
SRR6984612_trimmed_quality	28207087.0	0.0	28207087.0	1.0	28207087.0	0.0	24444002.0	0.0	3763085.0	0.0	0.0	0.0	179876.0	0.0	5144968.0	0.0	1739389928.0	1739389928.0	0.0	1513484979.0	1509864562.0	0.0	0.0	1771263.0	0.001173127	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.65907968447787	0.0	13.340920315522123	0.0	0.0	0.0	0.6376978948588347	0.0
SRR6984613_trimmed_quality	28546978.0	0.0	28546978.0	1.0	28546978.0	0.0	23923820.0	0.0	4623158.0	0.0	0.0	0.0	367580.0	0.0	5777126.0	0.0	1758854591.0	1758854591.0	0.0	1480810327.0	1475747965.0	0.0	0.0	3101842.0	0.002101878	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.80508788005511	0.0	16.194912119944885	0.0	0.0	0.0	1.2876319167654102	0.0
SRR6984614_trimmed_quality	28398721.0	0.0	28398721.0	1.0	28398721.0	0.0	25870202.0	0.0	2528519.0	0.0	0.0	0.0	178284.0	0.0	5166925.0	0.0	1753221865.0	1753221865.0	0.0	1602371900.0	1599144592.0	0.0	0.0	1692128.0	0.001058146	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.09636310733853	0.0	8.903636892661469	0.0	0.0	0.0	0.6277888359831416	0.0
SRR6984615_trimmed_quality	30077700.0	0.0	30077700.0	1.0	30077700.0	0.0	25142103.0	0.0	4935597.0	0.0	0.0	0.0	455685.0	0.0	6327819.0	0.0	1853584994.0	1853584994.0	0.0	1556757473.0	1551130116.0	0.0	0.0	3768224.0	0.002429341	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.59051057760401	0.0	16.409489422395996	0.0	0.0	0.0	1.5150260824464636	0.0
SRR6984616_trimmed_quality	37213463.0	0.0	37213463.0	1.0	37213463.0	0.0	33327801.0	0.0	3885662.0	0.0	0.0	0.0	331015.0	0.0	6839240.0	0.0	2297133328.0	2297133328.0	0.0	2064633528.0	2059475883.0	0.0	0.0	3182834.0	0.001545458	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.55845092943918	0.0	10.441549070560836	0.0	0.0	0.0	0.8895033499032325	0.0
SRR6984617_trimmed_quality	32790783.0	0.0	32790783.0	1.0	32790783.0	0.0	27931647.0	0.0	4859136.0	0.0	0.0	0.0	270666.0	0.0	6098110.0	0.0	2020649980.0	2020649980.0	0.0	1729077954.0	1724081641.0	0.0	0.0	2335244.0	0.001354486	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.18139685776946	0.0	14.818603142230547	0.0	0.0	0.0	0.82543317126645	0.0
SRR6984618_trimmed_quality	27032233.0	0.0	27032233.0	1.0	27032233.0	0.0	23008490.0	0.0	4023743.0	0.0	0.0	0.0	235226.0	0.0	6113290.0	0.0	1665125758.0	1665125758.0	0.0	1423446079.0	1419403909.0	0.0	0.0	1828018.0	0.001287877	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.11501806010624	0.0	14.884981939893754	0.0	0.0	0.0	0.8701685872565541	0.0
SRR6984619_trimmed_quality	27595441.0	0.0	27595441.0	1.0	27595441.0	0.0	23357898.0	0.0	4237543.0	0.0	0.0	0.0	336461.0	0.0	6951365.0	0.0	1700769225.0	1700769225.0	0.0	1445734289.0	1441257018.0	0.0	0.0	2345495.0	0.001627395	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.64404681918293	0.0	15.355953180817078	0.0	0.0	0.0	1.2192629934777994	0.0
SRR6984620_trimmed_quality	27922045.0	0.0	27922045.0	1.0	27922045.0	0.0	23254375.0	0.0	4667670.0	0.0	0.0	0.0	251015.0	0.0	5645710.0	0.0	1719294513.0	1719294513.0	0.0	1438969385.0	1434656692.0	0.0	0.0	1968105.0	0.00137183	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.28320866182975	0.0	16.716791338170253	0.0	0.0	0.0	0.8989850134544228	0.0
SRR6984621_trimmed_quality	28608507.0	0.0	28608507.0	1.0	28608507.0	0.0	21883920.0	0.0	6724587.0	0.0	0.0	0.0	534894.0	0.0	5688922.0	0.0	1760427135.0	1760427135.0	0.0	1354652360.0	1348238510.0	0.0	0.0	4304951.0	0.003193019	61.0	62.0	0.0	63.0	63.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.49444971036063	0.0	23.50555028963937	0.0	0.0	0.0	1.8697026027957346	0.0
SRR6984622_trimmed_quality	30085526.0	0.0	30085526.0	1.0	30085526.0	0.0	26795672.0	0.0	3289854.0	0.0	0.0	0.0	290473.0	0.0	5333272.0	0.0	1856793546.0	1856793546.0	0.0	1659901915.0	1655316128.0	0.0	0.0	3090618.0	0.001867086	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.06499424341126	0.0	10.935005756588733	0.0	0.0	0.0	0.9654908476587712	0.0
SRR6984623_trimmed_quality	38726741.0	0.0	38726741.0	1.0	38726741.0	0.0	32231584.0	0.0	6495157.0	0.0	0.0	0.0	647699.0	0.0	8601672.0	0.0	2388071410.0	2388071410.0	0.0	1996720708.0	1989539670.0	0.0	0.0	5064012.0	0.002545318	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.22823756328992	0.0	16.771762436710073	0.0	0.0	0.0	1.6724851698726728	0.0
