Sample	Mapped (with MQ>0)	MQ0	Unmapped
SRR6984609_trimmed_quality	21920290.0	407431.0	5182629.0
SRR6984610_trimmed_quality	24174213.0	424401.0	4080544.0
SRR6984611_trimmed_quality	25328968.0	304113.0	3548721.0
SRR6984612_trimmed_quality	24264126.0	179876.0	3763085.0
SRR6984613_trimmed_quality	23556240.0	367580.0	4623158.0
SRR6984614_trimmed_quality	25691918.0	178284.0	2528519.0
SRR6984615_trimmed_quality	24686418.0	455685.0	4935597.0
SRR6984616_trimmed_quality	32996786.0	331015.0	3885662.0
SRR6984617_trimmed_quality	27660981.0	270666.0	4859136.0
SRR6984618_trimmed_quality	22773264.0	235226.0	4023743.0
SRR6984619_trimmed_quality	23021437.0	336461.0	4237543.0
SRR6984620_trimmed_quality	23003360.0	251015.0	4667670.0
SRR6984621_trimmed_quality	21349026.0	534894.0	6724587.0
SRR6984622_trimmed_quality	26505199.0	290473.0	3289854.0
SRR6984623_trimmed_quality	31583885.0	647699.0	6495157.0
SRR6984624_trimmed_quality	29427595.0	328399.0	3807678.0
SRR6984625_trimmed_quality	22551713.0	301692.0	5188715.0
SRR6984626_trimmed_quality	23715895.0	208749.0	2595182.0
