Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average
SRR6984609_trimmed_sorted_quality	0.2520092	5.525983	22.327721	100.0	0.0	1.8247764740521435	22.327721	0.0
SRR6984610_trimmed_sorted_quality	0.2127431	6.7177549999999995	24.598613999999998	100.0	0.0	1.7253045232548467	24.598613999999998	0.0
SRR6984611_trimmed_sorted_quality	0.1761084	5.878486	25.633080999999997	100.0	0.0	1.18640829793344	25.633080999999997	0.0
SRR6984612_trimmed_sorted_quality	0.11731269999999999	5.1449679999999995	24.444001999999998	100.0	0.0	0.7358696828776238	24.444001999999998	0.0
SRR6984613_trimmed_sorted_quality	0.2101878	5.777126	23.92382	100.0	0.0	1.5364603144481106	23.92382	0.0
SRR6984614_trimmed_sorted_quality	0.10581460000000001	5.166925	25.870202	100.0	0.0	0.6891480785499858	25.870202	0.0
SRR6984615_trimmed_sorted_quality	0.2429341	6.327819	25.142103	100.0	0.0	1.8124378855658971	25.142103	0.0
SRR6984616_trimmed_sorted_quality	0.1545458	6.839239999999999	33.327801	100.0	0.0	0.993209843037649	33.327801	0.0
SRR6984617_trimmed_sorted_quality	0.1354486	6.09811	27.931646999999998	100.0	0.0	0.9690298606451672	27.931646999999998	0.0
SRR6984618_trimmed_sorted_quality	0.1287877	6.11329	23.00849	100.0	0.0	1.0223443607120675	23.00849	0.0
SRR6984619_trimmed_sorted_quality	0.1627395	6.951365	23.357898	100.0	0.0	1.4404592399538692	23.357898	0.0
SRR6984620_trimmed_sorted_quality	0.137183	5.645709999999999	23.254375	100.0	0.0	1.079431289811057	23.254375	0.0
SRR6984621_trimmed_sorted_quality	0.3193019	5.688922	21.88392	100.0	0.0	2.4442330258929843	21.88392	0.0
SRR6984622_trimmed_sorted_quality	0.1867086	5.333272	26.795672	100.0	0.0	1.084029540292925	26.795672	0.0
SRR6984623_trimmed_sorted_quality	0.2545318	8.601671999999999	32.231584	100.0	0.0	2.009516504060117	32.231584	0.0
SRR6984624_trimmed_sorted_quality	0.1668753	7.012416	29.755993999999998	100.0	0.0	1.1036398246349963	29.755993999999998	0.0
SRR6984625_trimmed_sorted_quality	0.18180939999999998	5.5196	22.853405	100.0	0.0	1.320118380608929	22.853405	0.0
SRR6984626_trimmed_sorted_quality	0.1216644	5.422412	23.924644	100.0	0.0	0.872527089640289	23.924644	0.0
