Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR6984609_trimmed_sorted_quality	22327721.0	0.0	22327721.0	1.0	22327721.0	0.0	22327721.0	0.0	0.0	0.0	0.0	0.0	407431.0	0.0	5525983.0	0.0	1382467176.0	1382467176.0	0.0	1382467176.0	1377056590.0	0.0	0.0	3470309.0	0.002520092	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.8247764740521435	0.0
SRR6984610_trimmed_sorted_quality	24598614.0	0.0	24598614.0	1.0	24598614.0	0.0	24598614.0	0.0	0.0	0.0	0.0	0.0	424401.0	0.0	6717755.0	0.0	1523726813.0	1523726813.0	0.0	1523726813.0	1518949247.0	0.0	0.0	3231460.0	0.002127431	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.7253045232548467	0.0
SRR6984611_trimmed_sorted_quality	25633081.0	0.0	25633081.0	1.0	25633081.0	0.0	25633081.0	0.0	0.0	0.0	0.0	0.0	304113.0	0.0	5878486.0	0.0	1588103588.0	1588103588.0	0.0	1588103588.0	1583699375.0	0.0	0.0	2789027.0	0.001761084	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.18640829793344	0.0
SRR6984612_trimmed_sorted_quality	24444002.0	0.0	24444002.0	1.0	24444002.0	0.0	24444002.0	0.0	0.0	0.0	0.0	0.0	179876.0	0.0	5144968.0	0.0	1513484979.0	1513484979.0	0.0	1513484979.0	1509864562.0	0.0	0.0	1771263.0	0.001173127	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.7358696828776238	0.0
SRR6984613_trimmed_sorted_quality	23923820.0	0.0	23923820.0	1.0	23923820.0	0.0	23923820.0	0.0	0.0	0.0	0.0	0.0	367580.0	0.0	5777126.0	0.0	1480810327.0	1480810327.0	0.0	1480810327.0	1475747965.0	0.0	0.0	3101842.0	0.002101878	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.5364603144481106	0.0
SRR6984614_trimmed_sorted_quality	25870202.0	0.0	25870202.0	1.0	25870202.0	0.0	25870202.0	0.0	0.0	0.0	0.0	0.0	178284.0	0.0	5166925.0	0.0	1602371900.0	1602371900.0	0.0	1602371900.0	1599144592.0	0.0	0.0	1692128.0	0.001058146	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.6891480785499858	0.0
SRR6984615_trimmed_sorted_quality	25142103.0	0.0	25142103.0	1.0	25142103.0	0.0	25142103.0	0.0	0.0	0.0	0.0	0.0	455685.0	0.0	6327819.0	0.0	1556757473.0	1556757473.0	0.0	1556757473.0	1551130116.0	0.0	0.0	3768224.0	0.002429341	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.8124378855658971	0.0
SRR6984616_trimmed_sorted_quality	33327801.0	0.0	33327801.0	1.0	33327801.0	0.0	33327801.0	0.0	0.0	0.0	0.0	0.0	331015.0	0.0	6839240.0	0.0	2064633528.0	2064633528.0	0.0	2064633528.0	2059475883.0	0.0	0.0	3182834.0	0.001545458	61.0	62.0	0.0	63.0	63.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.993209843037649	0.0
SRR6984617_trimmed_sorted_quality	27931647.0	0.0	27931647.0	1.0	27931647.0	0.0	27931647.0	0.0	0.0	0.0	0.0	0.0	270666.0	0.0	6098110.0	0.0	1729077954.0	1729077954.0	0.0	1729077954.0	1724081641.0	0.0	0.0	2335244.0	0.001354486	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.9690298606451672	0.0
SRR6984618_trimmed_sorted_quality	23008490.0	0.0	23008490.0	1.0	23008490.0	0.0	23008490.0	0.0	0.0	0.0	0.0	0.0	235226.0	0.0	6113290.0	0.0	1423446079.0	1423446079.0	0.0	1423446079.0	1419403909.0	0.0	0.0	1828018.0	0.001287877	61.0	62.0	0.0	63.0	63.0	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.0223443607120675	0.0
