Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
SRR6984609_trimmed_sorted_quality	22.327721	0.0	0.0	0.0	0.0	0.407431	1377.05659	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984610_trimmed_sorted_quality	24.598613999999998	0.0	0.0	0.0	0.0	0.424401	1518.949247	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984611_trimmed_sorted_quality	25.633080999999997	0.0	0.0	0.0	0.0	0.30411299999999997	1583.699375	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984612_trimmed_sorted_quality	24.444001999999998	0.0	0.0	0.0	0.0	0.17987599999999998	1509.864562	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984613_trimmed_sorted_quality	23.92382	0.0	0.0	0.0	0.0	0.36757999999999996	1475.747965	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984614_trimmed_sorted_quality	25.870202	0.0	0.0	0.0	0.0	0.178284	1599.1445919999999	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984615_trimmed_sorted_quality	25.142103	0.0	0.0	0.0	0.0	0.455685	1551.1301159999998	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984616_trimmed_sorted_quality	33.327801	0.0	0.0	0.0	0.0	0.331015	2059.475883	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984617_trimmed_sorted_quality	27.931646999999998	0.0	0.0	0.0	0.0	0.27066599999999996	1724.081641	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984618_trimmed_sorted_quality	23.00849	0.0	0.0	0.0	0.0	0.235226	1419.4039089999999	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984619_trimmed_sorted_quality	23.357898	0.0	0.0	0.0	0.0	0.336461	1441.257018	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984620_trimmed_sorted_quality	23.254375	0.0	0.0	0.0	0.0	0.251015	1434.656692	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984621_trimmed_sorted_quality	21.88392	0.0	0.0	0.0	0.0	0.534894	1348.23851	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984622_trimmed_sorted_quality	26.795672	0.0	0.0	0.0	0.0	0.290473	1655.316128	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984623_trimmed_sorted_quality	32.231584	0.0	0.0	0.0	0.0	0.647699	1989.53967	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984624_trimmed_sorted_quality	29.755993999999998	0.0	0.0	0.0	0.0	0.328399	1838.3233309999998	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984625_trimmed_sorted_quality	22.853405	0.0	0.0	0.0	0.0	0.30169199999999996	1410.047912	0.0	0.0	0.0	0.0	0.0	0.0
SRR6984626_trimmed_sorted_quality	23.924644	0.0	0.0	0.0	0.0	0.208749	1479.7703999999999	0.0	0.0	0.0	0.0	0.0	0.0
