Sample	Mapped (with MQ>0)	MQ0
SRR6984609_trimmed_sorted_quality	21920290.0	407431.0
SRR6984610_trimmed_sorted_quality	24174213.0	424401.0
SRR6984611_trimmed_sorted_quality	25328968.0	304113.0
SRR6984612_trimmed_sorted_quality	24264126.0	179876.0
SRR6984613_trimmed_sorted_quality	23556240.0	367580.0
SRR6984614_trimmed_sorted_quality	25691918.0	178284.0
SRR6984615_trimmed_sorted_quality	24686418.0	455685.0
SRR6984616_trimmed_sorted_quality	32996786.0	331015.0
SRR6984617_trimmed_sorted_quality	27660981.0	270666.0
SRR6984618_trimmed_sorted_quality	22773264.0	235226.0
SRR6984619_trimmed_sorted_quality	23021437.0	336461.0
SRR6984620_trimmed_sorted_quality	23003360.0	251015.0
SRR6984621_trimmed_sorted_quality	21349026.0	534894.0
SRR6984622_trimmed_sorted_quality	26505199.0	290473.0
SRR6984623_trimmed_sorted_quality	31583885.0	647699.0
SRR6984624_trimmed_sorted_quality	29427595.0	328399.0
SRR6984625_trimmed_sorted_quality	22551713.0	301692.0
SRR6984626_trimmed_sorted_quality	23715895.0	208749.0
