.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR6984609	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR6984610	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984611	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984612	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984613	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984614	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR6984615	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984616	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984617	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR6984618	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984619	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR6984620	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR6984621	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR6984622	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR6984623	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984624	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984625	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR6984626	1	1	1	0.25	0.5	1	1	0.25	0.5	1
