Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
SRR6984609 - illumina_universal_adapter	(1, 8.003144470258645e-05)	(2, 9.39499568247754e-05)	(3, 0.00024357396213830657)	(4, 0.00031664615077979855)	(5, 0.00035144243108527093)	(6, 0.001103042085683474)	(7, 0.001116960597805663)	(8, 0.0011378383659889466)	(9, 0.0012143901826609856)	(10, 0.0012700642311497415)	(11, 0.0013083401394857611)	(12, 0.0013570549319134224)	(13, 0.001412728980402178)	(14, 0.001468403028890934)	(15, 0.0015379955895018786)	(16, 0.0016284659182961069)	(17, 0.0016910992228459571)	(18, 0.0017606917834569018)	(19, 0.0018407232281594883)	(20, 0.001938152813014811)	(21, 0.002011225001656303)	(22, 0.0021260527266643617)	(23, 0.0022374008236418735)	(24, 0.002397463713047046)	(25, 0.0025784043706355026)	(26, 0.0027976209365599787)	(27, 0.003051633782789927)	(28, 0.0033369632812948)	(29, 0.003646650176013504)	(30, 0.00396677595482385)	(31, 0.004443484995008821)	(32, 0.0049897865958047375)	(33, 0.005480414148111898)	(34, 0.006113706449671495)	(35, 0.006799193171689301)	(36, 0.0073454947724852174)	(37, 0.007954429677830983)	(38, 0.008709508960459734)	(39, 0.009488945639302315)	(40, 0.010445843347702806)	(41, 0.011496691012928072)	(42, 0.012791112640291643)	(43, 0.01413076943205233)	(44, 0.015508702132149036)	(45, 0.01696318664891778)	(46, 0.018605571079336077)	(47, 0.02031406844233477)	(48, 0.02223830274322739)	(49, 0.024733196041129762)	(50, 0.027600409538300685)	(51, 0.030975648727931505)	(52, 0.03391245478571337)	(53, 0.037461675376871555)	(54, 0.04138321616729829)	(55, 0.045329114353938854)	(56, 0.04946291245422897)	(57, 0.05414649178334555)	(58, 0.05943204676174681)	(59, 0.0654204866023186)	(60, 0.07261635736949029)	(61, 0.08108925162387282)	(62, 0.09087048601774109)	(63, 0.10133720713362718)	(64, 0.11219364658893456)
SRR6984609 - polya	(1, 0.006621732142131392)	(2, 0.008580762723329487)	(3, 0.011228759654575933)	(4, 0.014367384138129541)	(5, 0.01713020879438405)	(6, 0.019339772593781543)	(7, 0.023518805858468775)	(8, 0.028174548163340977)	(9, 0.03522427455322968)	(10, 0.04210001954159102)	(11, 0.04626513429415606)	(12, 0.04961253645954251)	(13, 0.05279987573552377)	(14, 0.05603245017590216)	(15, 0.05917803391551686)	(16, 0.06229926025891773)	(17, 0.06606421778796984)	(18, 0.06966911242761678)	(19, 0.07378203275972361)	(20, 0.07823595663882407)	(21, 0.08408173173014344)	(22, 0.08945427740930836)	(23, 0.09291650729970287)	(24, 0.09641353347040284)	(25, 0.09955563758198699)	(26, 0.1022593085617222)	(27, 0.10620520674836277)	(28, 0.10875229446672334)	(29, 0.11150468023888621)	(30, 0.11437885299211822)	(31, 0.11748964045142746)	(32, 0.12023506696752922)	(33, 0.12310228046470015)	(34, 0.12634877341720072)	(35, 0.129389968315899)	(36, 0.13502348609735498)	(37, 0.13933822485523356)	(38, 0.14308926387216347)	(39, 0.14699340652243748)	(40, 0.15099149912953624)	(41, 0.15437369757522817)	(42, 0.1575366794549956)	(43, 0.16072749835900743)	(44, 0.1637478154895224)	(45, 0.16674377522382358)	(46, 0.16987892007934666)	(47, 0.17314977042806107)	(48, 0.17637538561237834)	(49, 0.17964623596109275)	(50, 0.1833033250211979)	(51, 0.18660897165021778)	(52, 0.19031477550275058)	(53, 0.1938605164658782)	(54, 0.19751064626992226)	(55, 0.2011294594216914)	(56, 0.20466476150072738)	(57, 0.20802956180626656)	(58, 0.21174580454289102)	(59, 0.21524978996965208)	(60, 0.21895211419415433)	(61, 0.22268575507093152)	(62, 0.22646115148407528)	(63, 0.23054971441996827)	(64, 0.2354351121748566)
SRR6984609 - polyg	(1, 0.06078910169366023)	(2, 0.4066641279300556)	(3, 0.40717911287857655)	(4, 0.40743660535283704)	(5, 0.40812557170288544)	(6, 0.4087519047483839)	(7, 0.4088597732173309)	(8, 0.4090163564787055)	(9, 0.40928428783705767)	(10, 0.409496545146921)	(11, 0.40981319129770083)	(12, 0.4102307466613665)	(13, 0.4105230354159325)	(14, 0.4107909667742846)	(15, 0.4111354499493088)	(16, 0.4113964220515998)	(17, 0.4117200274584407)	(18, 0.4120436328652816)	(19, 0.41241595306455014)	(20, 0.4128335084282158)	(21, 0.41315363420702617)	(22, 0.4135294340343253)	(23, 0.4138843560934411)	(24, 0.414207961500282)	(25, 0.4145454854192451)	(26, 0.41499435743518565)	(27, 0.4154397498230957)	(28, 0.41607652175268584)	(29, 0.4168176825231924)	(30, 0.4176179969702183)	(31, 0.41818865596722804)	(32, 0.4191211962794147)	(33, 0.41992846998250166)	(34, 0.4207705399658941)	(35, 0.42180746911899714)	(36, 0.42291747046074174)	(37, 0.4239891958941503)	(38, 0.4251479120283225)	(39, 0.42660239654509124)	(40, 0.428133432878532)	(41, 0.42998111536275263)	(42, 0.4319157885477369)	(43, 0.4351100870797792)	(44, 0.4375527859572234)	(45, 0.4401868643763477)	(46, 0.4424138263158979)	(47, 0.44422323289178245)	(48, 0.447393174027611)	(49, 0.4497488822042915)	(50, 0.4511546519286326)	(51, 0.45257434016509585)	(52, 0.45392443584094816)	(53, 0.4555563813872748)	(54, 0.45707697883662396)	(55, 0.45890378355266126)	(56, 0.4606609957080876)	(57, 0.4622198690657728)	(58, 0.464039714525749)	(59, 0.4670704705403556)	(60, 0.46893207153669836)	(61, 0.4706927633201553)	(62, 0.4728570919551557)	(63, 0.47535894450911914)	(64, 0.478441894944184)
SRR6984610 - illumina_universal_adapter	(1, 6.35043611620028e-05)	(2, 7.353136555600324e-05)	(3, 0.0002540174446480112)	(4, 0.00039773784096201753)	(5, 0.00044118819333601947)	(6, 0.0023997963849641058)	(7, 0.0024298773981461072)	(8, 0.0024699854157221087)	(9, 0.002536832111682112)	(10, 0.0026237328164301155)	(11, 0.002673867838400118)	(12, 0.0027540838735521213)	(13, 0.0028042188955221237)	(14, 0.0028744079262801266)	(15, 0.002991389644210132)	(16, 0.0031618487189081393)	(17, 0.0032821727716361446)	(18, 0.003382442815576149)	(19, 0.0035194785422941553)	(20, 0.0036899376169921626)	(21, 0.0038871353700741713)	(22, 0.00408099078835818)	(23, 0.004254792197854187)	(24, 0.004415224268158195)	(25, 0.004649187704018205)	(26, 0.004903205148666216)	(27, 0.005237438628466231)	(28, 0.00567194215220625)	(29, 0.00610978801074427)	(30, 0.006537606864888288)	(31, 0.007005533736608309)	(32, 0.00749017228231833)	(33, 0.008058369197978355)	(34, 0.008703439813992384)	(35, 0.00930171774283441)	(36, 0.009923392015262437)	(37, 0.010535039283296464)	(38, 0.011310460956432499)	(39, 0.012192837343104538)	(40, 0.013088583068968576)	(41, 0.014138076195540623)	(42, 0.015237704344082672)	(43, 0.01636741350580672)	(44, 0.017614104385460776)	(45, 0.018961065309054836)	(46, 0.020321395571840897)	(47, 0.021812076891748963)	(48, 0.023760658078983046)	(49, 0.025986653054451147)	(50, 0.02858698952729526)	(51, 0.031347758070443384)	(52, 0.03422885066631951)	(53, 0.037357276037247644)	(54, 0.04096699761908781)	(55, 0.04466696224047397)	(56, 0.04853070126696214)	(57, 0.05253481835496632)	(58, 0.057534951212774535)	(59, 0.06289271389396878)	(60, 0.06919635732299705)	(61, 0.07640911581708137)	(62, 0.08496215056516375)	(63, 0.09371906773592413)	(64, 0.10350208168967057)
SRR6984610 - polya	(1, 0.01294820500745257)	(2, 0.015317920379234675)	(3, 0.018412922402182813)	(4, 0.022276661428670984)	(5, 0.025508699178337126)	(6, 0.028246071377899244)	(7, 0.03250754824534943)	(8, 0.03804913934043368)	(9, 0.04596044580730003)	(10, 0.05338711372845636)	(11, 0.057270906763732525)	(12, 0.06082715098880468)	(13, 0.06459396230615085)	(14, 0.06828724225794101)	(15, 0.07151593767280916)	(16, 0.07519584828540732)	(17, 0.07909969532947149)	(18, 0.08284645263802966)	(19, 0.08666674131214382)	(20, 0.090727678091714)	(21, 0.09555400954002621)	(22, 0.10000599949096241)	(23, 0.10350542402446856)	(24, 0.1067174077653467)	(25, 0.11025025564683286)	(26, 0.113221591282255)	(27, 0.11694495224722716)	(28, 0.11989957620865929)	(29, 0.12304471325357742)	(30, 0.12638704805157758)	(31, 0.12968593249720373)	(32, 0.13287786222929385)	(33, 0.135872594208302)	(34, 0.13885395684811813)	(35, 0.14212944495015828)	(36, 0.14677529031937847)	(37, 0.15075935339859464)	(38, 0.1544058406632128)	(39, 0.158279606694095)	(40, 0.16201633699825915)	(41, 0.1654355454966133)	(42, 0.16891491602133146)	(43, 0.1723408091892816)	(44, 0.17564637830450375)	(45, 0.1791625145119999)	(46, 0.18280231710702205)	(47, 0.18616804824860822)	(48, 0.18950035604221435)	(49, 0.19307331194127653)	(50, 0.19660281748796468)	(51, 0.20016240404783484)	(52, 0.203738702281695)	(53, 0.20739521655070714)	(54, 0.2109548031105773)	(55, 0.21462134438398348)	(56, 0.21820432728743963)	(57, 0.22161350878139977)	(58, 0.22532350040717994)	(59, 0.2289933840153841)	(60, 0.23276019533273026)	(61, 0.23628635854462043)	(62, 0.2401233588927246)	(63, 0.24416424166350678)	(64, 0.24859951994045296)
SRR6984610 - polyg	(1, 0.05793603138853456)	(2, 0.34208128190571907)	(3, 0.3424422540639031)	(4, 0.3427263525217331)	(5, 0.34350511652966714)	(6, 0.3443306732247732)	(7, 0.3444309432687132)	(8, 0.3445880330042192)	(9, 0.3448955278056352)	(10, 0.3451595722546772)	(11, 0.34553725608685126)	(12, 0.34590491291463127)	(13, 0.3462825967468053)	(14, 0.3466937039269593)	(15, 0.3470513337503453)	(16, 0.3473588285517613)	(17, 0.34777996273630934)	(18, 0.34814761956408935)	(19, 0.3484985647178794)	(20, 0.3490132842767714)	(21, 0.3493575447609654)	(22, 0.3497786789455134)	(23, 0.35024660581723344)	(24, 0.3507011633497615)	(25, 0.3511122705299155)	(26, 0.35163033242360553)	(27, 0.35222192568285154)	(28, 0.3528937349772496)	(29, 0.3536825259895776)	(30, 0.35461837973301763)	(31, 0.35539714374095166)	(32, 0.35635639382797774)	(33, 0.3572521395538418)	(34, 0.3582314436496558)	(35, 0.3592642251022378)	(36, 0.36033711457239587)	(37, 0.3615737784476559)	(38, 0.36278704597933)	(39, 0.3642041959336821)	(40, 0.36568150791439813)	(41, 0.3672991979566302)	(42, 0.3689770500252263)	(43, 0.3715272514761004)	(44, 0.37373653477757846)	(45, 0.37607951147097657)	(46, 0.37800135397982665)	(47, 0.37977279142276676)	(48, 0.38240989357838884)	(49, 0.38446877181395694)	(50, 0.38585249842032904)	(51, 0.3874267381101871)	(52, 0.38891407709529713)	(53, 0.3905050284591452)	(54, 0.39222633088011527)	(55, 0.3939843989838634)	(56, 0.3958327101271575)	(57, 0.39764091325287554)	(58, 0.3996463141316756)	(59, 0.40330282840068776)	(60, 0.4053349679578719)	(61, 0.40716322509237796)	(62, 0.4097903002436061)	(63, 0.41237726737725816)	(64, 0.41545555772621634)
SRR6984611 - illumina_universal_adapter	(1, 0.00010157640019791015)	(2, 0.00012778966476511275)	(3, 0.00028506925216832847)	(4, 0.00042596554921704255)	(5, 0.00047183876220964716)	(6, 0.0012746199895802273)	(7, 0.0013204932025728318)	(8, 0.0013729197317072371)	(9, 0.001461389499621546)	(10, 0.001553135925606755)	(11, 0.0016088391128120606)	(12, 0.0016547123258046654)	(13, 0.0017366287775771735)	(14, 0.001782501990569778)	(15, 0.0018513118100586849)	(16, 0.0019365049199020934)	(17, 0.001992208107107399)	(18, 0.002064294584667206)	(19, 0.002152764352581515)	(20, 0.002244510778566724)	(21, 0.0023493638368355346)	(22, 0.002434556946678943)	(23, 0.0025557932953022555)	(24, 0.002762222753768976)	(25, 0.0029162256831012914)	(26, 0.003093165218929909)	(27, 0.0033356379161765333)	(28, 0.0036993469620464695)	(29, 0.004118759195121712)	(30, 0.004518511479771552)	(31, 0.004996903558122999)	(32, 0.00550150890104165)	(33, 0.006097860669945509)	(34, 0.006736808993771073)	(35, 0.007457673769369145)	(36, 0.008257178338668824)	(37, 0.009007533036905)	(38, 0.009915167322544391)	(39, 0.0110030178020833)	(40, 0.012018781804062401)	(41, 0.013434298090691342)	(42, 0.015075903784212407)	(43, 0.01682563919407318)	(44, 0.018568821287792154)	(45, 0.02062328589824666)	(46, 0.022900563257522388)	(47, 0.02512213742959281)	(48, 0.02773691057017127)	(49, 0.030921822215086388)	(50, 0.034457336273587845)	(51, 0.03838277264252644)	(52, 0.04232131564374863)	(53, 0.04695778681407259)	(54, 0.0519907336109755)	(55, 0.05737428282146473)	(56, 0.06329192729751072)	(57, 0.06979609356824787)	(58, 0.07691299489824338)	(59, 0.08494408383002008)	(60, 0.0941777062738172)	(61, 0.1050693177014899)	(62, 0.11687839338901468)	(63, 0.1299981323048996)	(64, 0.1443105747585922)
SRR6984611 - polya	(1, 0.004335018627801133)	(2, 0.006687659122707568)	(3, 0.010042956987309504)	(4, 0.013480171303683947)	(5, 0.017159858317305016)	(6, 0.02010885058111531)	(7, 0.025790575676056478)	(8, 0.03255687459246565)	(9, 0.04250808515378995)	(10, 0.05038189449816343)	(11, 0.05684346421397888)	(12, 0.06146682875201924)	(13, 0.0660574267093506)	(14, 0.0700811628204162)	(15, 0.07379361641474627)	(16, 0.07801067535199499)	(17, 0.08261110328353906)	(18, 0.08767354000308006)	(19, 0.0951508737208746)	(20, 0.10154035695913025)	(21, 0.11277274082617657)	(22, 0.12074812657074796)	(23, 0.12540098103142644)	(24, 0.1301914551310827)	(25, 0.13484758624983206)	(26, 0.13841259023097163)	(27, 0.14426797820367052)	(28, 0.1472956102611824)	(29, 0.15043464869310494)	(30, 0.15386858635140846)	(31, 0.15761380652644755)	(32, 0.16093961446841137)	(33, 0.16469466461766316)	(34, 0.16853818453482924)	(35, 0.17188692908328937)	(36, 0.17966243868553586)	(37, 0.18559318979386544)	(38, 0.19002978482186447)	(39, 0.19452208303706883)	(40, 0.19855892578041803)	(41, 0.20237295577494602)	(42, 0.2061902624275449)	(43, 0.20993875926065486)	(44, 0.21382159907467177)	(45, 0.21756681924971083)	(46, 0.22152502219935843)	(47, 0.2252145391871922)	(48, 0.22904495247207468)	(49, 0.23277051269868834)	(50, 0.2370137849005043)	(51, 0.24118169396668948)	(52, 0.245208706735826)	(53, 0.24954372536362712)	(54, 0.2536854211652451)	(55, 0.25803682308340076)	(56, 0.2623161385239966)	(57, 0.2664283444029765)	(58, 0.27094357922467716)	(59, 0.27561937029185196)	(60, 0.2802165215653251)	(61, 0.2845482635350553)	(62, 0.2891716280730957)	(63, 0.29385397245641226)	(64, 0.29894917575666224)
SRR6984611 - polyg	(1, 0.09493789094626609)	(2, 0.5689097575600693)	(3, 0.5694405761675552)	(4, 0.5697354753939362)	(5, 0.5705546399116613)	(6, 0.5713639744551737)	(7, 0.5714589975392298)	(8, 0.5716195537847039)	(9, 0.5718751331142341)	(10, 0.5721503723921898)	(11, 0.5725435713606978)	(12, 0.5729728135679858)	(13, 0.5734512056463372)	(14, 0.5738771711955543)	(15, 0.5743195200351258)	(16, 0.5746308025518613)	(17, 0.5750797047075746)	(18, 0.5754729036760827)	(19, 0.5759283591479378)	(20, 0.5763477713810131)	(21, 0.5766656072138904)	(22, 0.5770489762081857)	(23, 0.5774126852540556)	(24, 0.5778681407259109)	(25, 0.5782744463267024)	(26, 0.5787921583019047)	(27, 0.5792705503802562)	(28, 0.5798832854395145)	(29, 0.5805975968989708)	(30, 0.5812791417777181)	(31, 0.5819148134434727)	(32, 0.5827208713289143)	(33, 0.5834351827883705)	(34, 0.5841298342994014)	(35, 0.5850702351657497)	(36, 0.5860106360320981)	(37, 0.5869903567952973)	(38, 0.5879176510293621)	(39, 0.5890317147734683)	(40, 0.5900409254593055)	(41, 0.5912500122874678)	(42, 0.5926917418386639)	(43, 0.5945266703583681)	(44, 0.5961813826841728)	(45, 0.6022038802184876)	(46, 0.6039863822090573)	(47, 0.6052642788567084)	(48, 0.6073220201252338)	(49, 0.6089177526057623)	(50, 0.6100252630337266)	(51, 0.6121092175668192)	(52, 0.6135771603825826)	(53, 0.6147665872623194)	(54, 0.6162181467877282)	(55, 0.6175025967515212)	(56, 0.6189410496446465)	(57, 0.6202123929761557)	(58, 0.6216410158950683)	(59, 0.6235283709439069)	(60, 0.6250684002372301)	(61, 0.6264478732850791)	(62, 0.6282533118821452)	(63, 0.6298261077561773)	(64, 0.6319198922634827)
SRR6984612 - illumina_universal_adapter	(1, 2.0362320340702345e-05)	(2, 3.0543480511053516e-05)	(3, 5.769324096532331e-05)	(4, 9.163044153316055e-05)	(5, 0.00011199276187386289)	(6, 0.0002477415641452118)	(7, 0.00025792272431556304)	(8, 0.0002681038844859142)	(9, 0.0002884662048266165)	(10, 0.0003122222452241026)	(11, 0.00034276572573515614)	(12, 0.00035973432601907476)	(13, 0.0003767029263029934)	(14, 0.0003970652466436957)	(15, 0.0004242150070979655)	(16, 0.000454758487609019)	(17, 0.0004886956881768562)	(18, 0.0005328140489150447)	(19, 0.0005735386895964493)	(20, 0.0006108696102210703)	(21, 0.0006787440113567448)	(22, 0.0007907367732306077)	(23, 0.0008993358150476868)	(24, 0.0010249034571486845)	(25, 0.0011674396995336011)	(26, 0.0013133696619753012)	(27, 0.0014796619447577037)	(28, 0.00179527791003859)	(29, 0.0021210750354898277)	(30, 0.002484203081565686)	(31, 0.0028642997279254632)	(32, 0.0033767514564998053)	(33, 0.003967258746380173)	(34, 0.004578128356601244)	(35, 0.0051143361255730725)	(36, 0.005715024575623791)	(37, 0.006448068107889076)	(38, 0.007204867680551846)	(39, 0.008107597215656317)	(40, 0.009129106952748217)	(41, 0.010347452453133574)	(42, 0.011742271396471686)	(43, 0.013245689381626874)	(44, 0.014813588047860956)	(45, 0.01639506159432217)	(46, 0.0180987090628276)	(47, 0.020026342055080755)	(48, 0.022120267330116312)	(49, 0.024645195052363403)	(50, 0.027618093822105946)	(51, 0.031072900839911776)	(52, 0.03451073925743369)	(53, 0.038423698482905326)	(54, 0.042954314758711594)	(55, 0.04763086099695957)	(56, 0.052595873440034156)	(57, 0.05805297529134238)	(58, 0.06427705787548373)	(59, 0.07071833854325923)	(60, 0.07840172075181759)	(61, 0.08728647986047738)	(62, 0.09736922214918182)	(63, 0.10818161425009477)	(64, 0.12028361997258553)
