Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR6984609	0.34890926187903254	2.405849616600665
SRR6984610	0.2845296190189545	1.3148912212072479
SRR6984611	0.21040404470672272	0.6895300944660522
SRR6984612	0.22323890533523338	0.900761177471536
SRR6984613	0.30648149334743835	1.4694287922559317
SRR6984614	0.20299502527550928	0.10656580825868311
SRR6984615	0.3160931491845653	1.2911014245162682
SRR6984616	0.2601228934611226	0.5671940420056493
SRR6984617	0.371659804481021	1.9670815518510536
SRR6984618	0.27907531705846633	1.7037824649703295
SRR6984619	0.5854038592526143	3.4630662822313107
SRR6984620	0.392152053778706	2.582777835258768
SRR6984621	0.3734506776354355	3.44087496090124
SRR6984622	0.1932572539015943	0.4158714112826347
SRR6984623	0.26726823143185313	1.3426698183101846
SRR6984624	0.21201636095402313	0.5420431477510225
SRR6984625	0.2856392502368762	2.0527071636579284
SRR6984626	0.17825297745971225	0.4061393340366237
