Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR6984609	(1, 0.036529135064684894)	(2, 0.00034448317502417644)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004474801647283746)	(7, 0.0)	(8, 0.0001600628894051729)	(9, 2.0877768183283423e-05)	(10, 0.0003305646629019875)	(11, 0.0006924459780789002)	(12, 0.000132225865160795)	(13, 0.00023313507804666487)	(14, 7.655181667203922e-05)	(15, 7.655181667203922e-05)	(16, 0.0006924459780789002)	(17, 0.0004314738757878574)	(18, 0.00010786846894696435)	(19, 0.00016354251743572014)	(20, 0.0001426647492524367)	(21, 0.00016702214546626738)	(22, 0.00035144243108527093)	(23, 0.00011482772500805881)	(24, 0.00038275908336019606)	(25, 0.0003305646629019875)	(26, 0.0005671793689791996)	(27, 0.001482321541013123)	(28, 0.0005045460644293494)	(29, 0.0007829163068731282)	(30, 0.0011865531584166077)	(31, 0.0005636997409486523)	(32, 0.0004836682962460659)	(33, 0.001718936247090335)	(34, 0.0014231678644938198)	(35, 0.0028393764729265454)	(36, 0.0012004716705387966)	(37, 0.0013431364197912334)	(38, 0.0018442028561900356)	(39, 0.0015588733576851622)	(40, 0.0020668990501450588)	(41, 0.002293074872130629)	(42, 0.003082950435064852)	(43, 0.003058593038851021)	(44, 0.001130879109927852)	(45, 0.0015901900099600874)	(46, 0.0028150190767127145)	(47, 0.0009916939887059625)	(48, 0.004972388455652002)	(49, 0.0035735779873720124)	(50, 0.003190818904011816)	(51, 0.0031977781600729107)	(52, 0.001805926947854016)	(53, 0.0016563029425404848)	(54, 0.0016215066622350123)	(55, 0.0018824787645260552)	(56, 0.0015345159614713316)	(57, 0.002884611637323659)	(58, 0.00469749784123877)	(59, 0.001381412328127253)	(60, 0.002007745373625756)	(61, 0.0019625102092286416)	(62, 0.0022234823115196848)	(63, 0.003921540790426736)	(64, 0.003469189146455595)	(65, 0.005045460644293493)	(66, 0.005132451345057174)	(67, 0.0028254579608043566)	(68, 0.0034726687744861427)	(69, 0.0031977781600729107)	(70, 0.002995959734301171)	(71, 0.0046522626768416555)	(72, 0.004694018213208222)	(73, 0.004182512892717778)	(74, 0.005950163932235775)	(75, 0.007084522670194174)
SRR6984610	(1, 0.036672097403657615)	(2, 0.0002874407926280127)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004258134532652188)	(7, 0.0)	(8, 0.00018048607909200795)	(9, 2.0054008788000883e-05)	(10, 0.00027072911863801195)	(11, 0.000658439955206029)	(12, 0.00013035105712200576)	(13, 0.00017045907469800752)	(14, 7.018903075800311e-05)	(15, 8.355836995000368e-05)	(16, 0.0007018903075800309)	(17, 0.000407764845356018)	(18, 8.690070474800384e-05)	(19, 0.0001537474007080068)	(20, 0.00011029704833400487)	(21, 0.0001537474007080068)	(22, 0.00033089114500201456)	(23, 9.692770914200428e-05)	(24, 0.00035762982338601577)	(25, 0.00024064810545601064)	(26, 0.0004946655501040218)	(27, 0.0013670149323820604)	(28, 0.0003910531713660173)	(29, 0.0007553676643480334)	(30, 0.0011965558576840529)	(31, 0.0004645845369220205)	(32, 0.00045455753252802007)	(33, 0.001540816341878068)	(34, 0.0012132675316740536)	(35, 0.002670525503602118)	(36, 0.0010160697785920449)	(37, 0.0010996281485420485)	(38, 0.0015475010114740684)	(39, 0.0012767718928360563)	(40, 0.0017647527733440779)	(41, 0.0019485811872340857)	(42, 0.0027072911863801194)	(43, 0.002693921847188119)	(44, 0.0009224844042480407)	(45, 0.001316879910412058)	(46, 0.002633759820824116)	(47, 0.0007887910123280348)	(48, 0.0047995927699282116)	(49, 0.0032487494236561436)	(50, 0.0029646509658261305)	(51, 0.0030248129921901334)	(52, 0.001607663037838071)	(53, 0.0015341316722820677)	(54, 0.0014706273111200648)	(55, 0.0016410863858180725)	(56, 0.001316879910412058)	(57, 0.0026604984992081174)	(58, 0.004418566602956195)	(59, 0.00113639383132005)	(60, 0.001834941804102081)	(61, 0.001704590746980075)	(62, 0.002112355592336093)	(63, 0.0037500996433561654)	(64, 0.003074948014160136)	(65, 0.00475614241755421)	(66, 0.004806277439524212)	(67, 0.0025100934332981106)	(68, 0.00317856039289814)	(69, 0.002924542948250129)	(70, 0.0026604984992081174)	(71, 0.004291557880632189)	(72, 0.004324981228612191)	(73, 0.003927243387650173)	(74, 0.0055549604342762455)	(75, 0.006821705322718301)
SRR6984611	(1, 0.03585974592793319)	(2, 0.00034077243937363403)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0044169350795736405)	(7, 0.0)	(8, 0.00018349285197041834)	(9, 2.9489922638102947e-05)	(10, 0.00032111249094823207)	(11, 0.000720864775598072)	(12, 0.00014089629704871408)	(13, 0.0002490260133884249)	(14, 6.880981948890687e-05)	(15, 0.00010157640019791015)	(16, 0.0006225650334710621)	(17, 0.0005013286848477501)	(18, 8.519310984340851e-05)	(19, 0.0001441729551196144)	(20, 0.00012778966476511275)	(21, 9.50230840561095e-05)	(22, 0.0003473257555154347)	(23, 9.50230840561095e-05)	(24, 0.0004620087879969461)	(25, 0.0003309424651609331)	(26, 0.00048166873642234816)	(27, 0.0013893030220617389)	(28, 0.0004947753687059495)	(29, 0.0007962279112287795)	(30, 0.0012746199895802273)	(31, 0.0006061817431165606)	(32, 0.0005275419494149527)	(33, 0.0015859025063157586)	(34, 0.0015236460029686523)	(35, 0.002663923011641966)	(36, 0.0011435536667442144)	(37, 0.0013925796801326391)	(38, 0.0017857786486406785)	(39, 0.0016186690870247618)	(40, 0.0020905078492344086)	(41, 0.002431280288608043)	(42, 0.002942438947668494)	(43, 0.0030276320575119025)	(44, 0.0012058101700913205)	(45, 0.001592455822457559)	(46, 0.002772052727981677)	(47, 0.000979720763199198)	(48, 0.0049215404224922914)	(49, 0.0035518973488559546)	(50, 0.0031816349868442175)	(51, 0.003293041361254829)	(52, 0.0018775250746258876)	(53, 0.0018578651262004856)	(54, 0.0016383290354501636)	(55, 0.0019889314490364987)	(56, 0.0015564125836776555)	(57, 0.0027949893344779795)	(58, 0.004584044641189558)	(59, 0.0013041099122183303)	(60, 0.0019037383391930902)	(61, 0.0018578651262004856)	(62, 0.002319873914197432)	(63, 0.003981139556143898)	(64, 0.003397894419523639)	(65, 0.004970690293555797)	(66, 0.004918263764421391)	(67, 0.002926055657313992)	(68, 0.0034110010518072407)	(69, 0.0033192546258220316)	(70, 0.0029391622895975937)	(71, 0.004525064795913352)	(72, 0.004679067725245668)	(73, 0.004085992614412708)	(74, 0.005861941288840686)	(75, 0.007225031046335222)
SRR6984612	(1, 0.0357799905586708)	(2, 0.00029864736499696774)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004289662151774627)	(7, 0.0)	(8, 0.00019004832317988854)	(9, 2.0362320340702345e-05)	(10, 0.00034276572573515614)	(11, 0.0007092874918677983)	(12, 0.00017986716300953735)	(13, 0.0002443478440884281)	(14, 7.805556130602565e-05)	(15, 7.805556130602565e-05)	(16, 0.0007534058526059867)	(17, 0.0005362077689718284)	(18, 5.76932409653233e-05)	(19, 0.0001153864819306466)	(20, 0.00013914252232813268)	(21, 0.00019344204323667227)	(22, 0.0003359782856215887)	(23, 8.823672147637682e-05)	(24, 0.0003834903664165608)	(25, 0.0002545290042587793)	(26, 0.000590507289880368)	(27, 0.0014287561439059477)	(28, 0.0004343961672683167)	(29, 0.0008110990935713101)	(30, 0.0011844082998175196)	(31, 0.0005429952090853958)	(32, 0.0004751208079497214)	(33, 0.001720616068789348)	(34, 0.001401606383451678)	(35, 0.0028575122878118954)	(36, 0.0010384783373758196)	(37, 0.0011776208597039522)	(38, 0.0017409783891300502)	(39, 0.0014050001035084616)	(40, 0.0018156402303792923)	(41, 0.0021957368767390696)	(42, 0.0029491427293450562)	(43, 0.0029084180886636514)	(44, 0.0010350846173190359)	(45, 0.0015271740255526757)	(46, 0.0027081886053134116)	(47, 0.0009977536966944147)	(48, 0.005026099404096695)	(49, 0.00361770558053145)	(50, 0.0031188287321842426)	(51, 0.0030747103714460536)	(52, 0.0017613407094707529)	(53, 0.0018461837108903457)	(54, 0.001588260986574783)	(55, 0.0018631523111742646)	(56, 0.0015102054252687572)	(57, 0.0028337562474144095)	(58, 0.00454758487609019)	(59, 0.001242101540782843)	(60, 0.0018427899908335622)	(61, 0.0017647344295275364)	(62, 0.002243248957534042)	(63, 0.0038281162240520403)	(64, 0.003196884293490268)	(65, 0.004931075242506751)	(66, 0.004829263640803239)	(67, 0.002694613725086277)	(68, 0.003305483335307347)	(69, 0.002976292489799326)	(70, 0.0027081886053134116)	(71, 0.004452560714500246)	(72, 0.004418623513932409)	(73, 0.003994408506834443)	(74, 0.005789686416873033)	(75, 0.00709966235879155)
SRR6984613	(1, 0.037388359826458314)	(2, 0.00029110321325415015)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004229361627048802)	(7, 0.0)	(8, 0.00017733873910885008)	(9, 3.346013945450002e-05)	(10, 0.00029110321325415015)	(11, 0.0007294310401081003)	(12, 0.00010707244625440006)	(13, 0.00020745286461790012)	(14, 7.026629285445004e-05)	(15, 0.00012045650203620005)	(16, 0.0006524727193627503)	(17, 0.00040821370134490017)	(18, 7.361230679990003e-05)	(19, 0.00015391664149070006)	(20, 0.00013049454387255007)	(21, 0.00013049454387255007)	(22, 0.00035467747821770016)	(23, 0.00010372643230895006)	(24, 0.00035467747821770016)	(25, 0.00021749090645425007)	(26, 0.0004885180360357002)	(27, 0.0013283675363436505)	(28, 0.0004416738407994002)	(29, 0.0008331574724170504)	(30, 0.0012380251598165005)	(31, 0.0005387082452174502)	(32, 0.00040821370134490017)	(33, 0.0015492044567433508)	(34, 0.0013685197036890507)	(35, 0.0027270013655417515)	(36, 0.0011041846019985006)	(37, 0.0012514092155983005)	(38, 0.001736581237688551)	(39, 0.0015190903312343007)	(40, 0.001883805851288351)	(41, 0.002225099273724251)	(42, 0.0029645683556687014)	(43, 0.0029344542301596513)	(44, 0.0011242606856712006)	(45, 0.0015425124288524505)	(46, 0.0026400050029600514)	(47, 0.0010305722951986006)	(48, 0.004935370569538753)	(49, 0.0036638852702677513)	(50, 0.0032355954852501517)	(51, 0.0031051009413776017)	(52, 0.0017834254329248506)	(53, 0.001887151865233801)	(54, 0.0015558964846342507)	(55, 0.0019172659907428509)	(56, 0.0015793185822524007)	(57, 0.0028006136723416515)	(58, 0.004517118826357502)	(59, 0.0013216755084527506)	(60, 0.001940688088361001)	(61, 0.0018269236142157007)	(62, 0.002372323887324051)	(63, 0.0038914142185583517)	(64, 0.0032724016386501014)	(65, 0.005052481057629502)	(66, 0.004908602457975152)	(67, 0.002790575630505301)	(68, 0.0033527059733409015)	(69, 0.003182059262122952)	(70, 0.002984644439341401)	(71, 0.004343126101194102)	(72, 0.0046710354678482025)	(73, 0.003975064567194602)	(74, 0.005872254474264753)	(75, 0.007033321313335903)
SRR6984614	(1, 0.03299453700495245)	(2, 0.00022945679242552332)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004693741150939749)	(7, 3.3743645944929896e-06)	(8, 0.0001923387818861004)	(9, 3.036928135043691e-05)	(10, 0.00032393900107132703)	(11, 0.0007997244088948386)	(12, 0.00016871822972464948)	(13, 0.000334062094854806)	(14, 6.073856270087382e-05)	(15, 0.00012147712540174764)	(16, 0.0007693551275444016)	(17, 0.00032393900107132703)	(18, 6.74872918898598e-05)	(19, 0.00014847204215769153)	(20, 0.00012147712540174764)	(21, 0.00012822585459073361)	(22, 0.0003678057407997359)	(23, 6.74872918898598e-05)	(24, 0.0003610570116107499)	(25, 0.00027332353215393215)	(26, 0.0005196521475519204)	(27, 0.0012046481602339975)	(28, 0.00043866739728408866)	(29, 0.0007356114815994718)	(30, 0.0011506583267221094)	(31, 0.0005027803245794554)	(32, 0.0005027803245794554)	(33, 0.0014610998694154645)	(34, 0.0012147712540174762)	(35, 0.002527399081275249)	(36, 0.0009245758988910792)	(37, 0.0011439095975331235)	(38, 0.0014914691507659013)	(39, 0.001329499650230238)	(40, 0.0016804335680575089)	(41, 0.001977377652372892)	(42, 0.0025915120085706162)	(43, 0.002625255654515546)	(44, 0.0009380733572690512)	(45, 0.001302504733474294)	(46, 0.0025375221750587283)	(47, 0.0008165962318673035)	(48, 0.00464987441121134)	(49, 0.00323939001071327)	(50, 0.002871584269913534)	(51, 0.002895204822074985)	(52, 0.001612946276167649)	(53, 0.0015454589842777893)	(54, 0.001369992025364154)	(55, 0.001612946276167649)	(56, 0.0012687610875293642)	(57, 0.0024970297999248126)	(58, 0.004234827566088702)	(59, 0.0011337865037496446)	(60, 0.0016770592034630158)	(61, 0.00170405412021896)	(62, 0.0019706289231839064)	(63, 0.003603821386918513)	(64, 0.003003184489098761)	(65, 0.00451489982743162)	(66, 0.00441366888959683)	(67, 0.002409296320467995)	(68, 0.0031111641561225364)	(69, 0.0028783329991025203)	(70, 0.0025172759874917705)	(71, 0.004059360607175066)	(72, 0.004113350440686955)	(73, 0.003664559949619387)	(74, 0.005334870423893417)	(75, 0.006448410740076103)
SRR6984615	(1, 0.0364515861726516)	(2, 0.0002866191469105927)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004296102546470996)	(7, 3.1846571878954748e-06)	(8, 0.0001369402590795054)	(9, 5.0954515006327596e-05)	(10, 0.0002898038040984882)	(11, 0.0006847012953975271)	(12, 0.00011146300157634162)	(13, 0.00020381806002531038)	(14, 8.598574407317781e-05)	(15, 9.872437282475971e-05)	(16, 0.0007006245813370044)	(17, 0.00038852817692324793)	(18, 8.280108688528234e-05)	(19, 0.00010190903001265519)	(20, 0.0001496788878310873)	(21, 0.0001401249162674009)	(22, 0.00032801969035323387)	(23, 9.235505844896876e-05)	(24, 0.00042992872036588906)	(25, 0.0002643265465953244)	(26, 0.0005477610363180216)	(27, 0.0013725872479829497)	(28, 0.0004490366634932619)	(29, 0.0007229171816522728)	(30, 0.0011464765876423708)	(31, 0.0004999911784995895)	(32, 0.000496806521311694)	(33, 0.001509527507062455)	(34, 0.0012802321895339808)	(35, 0.0026974046381474668)	(36, 0.001012720985750761)	(37, 0.001267493560782399)	(38, 0.0017069762527119744)	(39, 0.00144264970611665)	(40, 0.0019713027993072986)	(41, 0.0022324446887147277)	(42, 0.0028152369540995997)	(43, 0.002856637497542241)	(44, 0.0011241839873271026)	(45, 0.0015190814786261416)	(46, 0.002741989838778004)	(47, 0.0009362892132412696)	(48, 0.004837494268413226)	(49, 0.0035286001641881863)	(50, 0.0031305180157012516)	(51, 0.0031145947297617745)	(52, 0.0017865926824093613)	(53, 0.0017674847392819884)	(54, 0.001570035993632469)	(55, 0.0018662091121067481)	(56, 0.0014617576492440229)	(57, 0.0028279755828511817)	(58, 0.004509474578059992)	(59, 0.0012866015039097718)	(60, 0.0019267175986767623)	(61, 0.0017929619967851523)	(62, 0.002273845232157369)	(63, 0.0038948357407961654)	(64, 0.0033088588182233983)	(65, 0.004910741383734822)	(66, 0.004808832353722167)	(67, 0.0026878506665837807)	(68, 0.003394844562296576)	(69, 0.003076378843507029)	(70, 0.0027610977819053765)	(71, 0.004312025832410473)	(72, 0.0044935512921205146)	(73, 0.004003114085184612)	(74, 0.005706905680708691)	(75, 0.007082677585879536)
SRR6984616	(1, 0.0359959837200651)	(2, 0.00035080285101604116)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004503689543191234)	(7, 0.0)	(8, 0.00019087802187637534)	(9, 3.869149092088689e-05)	(10, 0.00034306455283186375)	(11, 0.000755773789321324)	(12, 0.0001392893673151928)	(13, 0.00023730781098143958)	(14, 7.480354911371466e-05)	(15, 0.00010833617457848329)	(16, 0.0006035872583658355)	(17, 0.00048493335287511563)	(18, 7.738298184177378e-05)	(19, 0.00012381277094683805)	(20, 8.770071275401029e-05)	(21, 0.00014702766549937017)	(22, 0.000306952494639036)	(23, 0.00011091560730654241)	(24, 0.00039207377466498716)	(25, 0.0002476255418936761)	(26, 0.0005391014401643573)	(27, 0.0015270241750110027)	(28, 0.0004049709383052828)	(29, 0.000861530531171748)	(30, 0.0012407071421964395)	(31, 0.0005545780365327121)	(32, 0.00047461562196287916)	(33, 0.0016224631859491903)	(34, 0.0013877348076958098)	(35, 0.0027909462117599745)	(36, 0.0010988383421531877)	(37, 0.0011530064294424294)	(38, 0.0017101638987032006)	(39, 0.0014728560877217609)	(40, 0.0018391355351061569)	(41, 0.0021409291642890747)	(42, 0.00289154408815428)	(43, 0.0028580114626895114)	(44, 0.0010162964948552957)	(45, 0.0015270241750110027)	(46, 0.0026722923062692545)	(47, 0.000985343302118586)	(48, 0.004934454808777108)	(49, 0.0036163646847388944)	(50, 0.0032217114773458485)	(51, 0.0031417490627760154)	(52, 0.0017849674478169152)	(53, 0.0017256404950715554)	(54, 0.00153476247319518)	(55, 0.0019062007860356943)	(56, 0.0014444823277131105)	(57, 0.002759993019023265)	(58, 0.004542381034112121)	(59, 0.0012665014694770308)	(60, 0.001993901498789704)	(61, 0.0019474717096846401)	(62, 0.0023679192443582775)	(63, 0.003987802997579408)	(64, 0.003404851201038046)	(65, 0.005009258357890823)	(66, 0.00498604346333829)	(67, 0.002901861819066517)	(68, 0.003461598721055347)	(69, 0.0031701228227846655)	(70, 0.0029431327427154627)	(71, 0.004503689543191234)	(72, 0.004599128554129421)	(73, 0.00401359732486)	(74, 0.005788247041764678)	(75, 0.00699542155849635)
SRR6984617	(1, 0.03661916914746729)	(2, 0.00032336736478670396)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004463052277957032)	(7, 5.826439005165837e-06)	(8, 0.00018061960916014095)	(9, 2.9132195025829187e-05)	(10, 0.0002680161942376285)	(11, 0.0007370445341534785)	(12, 0.00014566097512914593)	(13, 0.00025927653572987975)	(14, 8.739658507748756e-05)	(15, 7.574370706715589e-05)	(16, 0.00067878014410182)	(17, 0.0004049375108590257)	(18, 4.6611512041326696e-05)	(19, 0.00011652878010331675)	(20, 0.00013109487761623134)	(21, 0.0001223552191084826)	(22, 0.00028840873075570896)	(23, 8.157014607232173e-05)	(24, 0.0003903714133461111)	(25, 0.00024179721871438225)	(26, 0.0005214662909623424)	(27, 0.001474089068306957)	(28, 0.0004486358033977695)	(29, 0.000786569265697388)	(30, 0.0011478084840176699)	(31, 0.0005389456079778399)	(32, 0.00039619785235127695)	(33, 0.00154691955587153)	(34, 0.0013429941906907255)	(35, 0.0027413395519305266)	(36, 0.0010487590209298508)	(37, 0.0012235521910848258)	(38, 0.001785803555083329)	(39, 0.0014857419463172885)	(40, 0.0018091093111039925)	(41, 0.0022111336024604354)	(42, 0.0029773103316397425)	(43, 0.002951091356116497)	(44, 0.0010808044354582629)	(45, 0.0015935310679128564)	(46, 0.0027384263324279436)	(47, 0.0010138003868988556)	(48, 0.0049262541788677155)	(49, 0.0036764830122596433)	(50, 0.003248239745379955)	(51, 0.003125884526271472)	(52, 0.0017450184820471681)	(53, 0.0016721879944825953)	(54, 0.0014420436537785446)	(55, 0.001817848969611741)	(56, 0.0013226016541726452)	(57, 0.002718033795909863)	(58, 0.00447179193646478)	(59, 0.0012643372641209867)	(60, 0.0019576835057357215)	(61, 0.0018819397986685655)	(62, 0.002144129553901028)	(63, 0.0038221439873887897)	(64, 0.0032890248184161155)	(65, 0.004908774861852218)	(66, 0.004763113886723072)	(67, 0.0028170832589976824)	(68, 0.0033414627694626077)	(69, 0.003096752331245643)	(70, 0.0028549551125312605)	(71, 0.004422267204920871)	(72, 0.004599973594578428)	(73, 0.0040260693525695935)	(74, 0.005706997005559938)	(75, 0.006945115294157678)
SRR6984618	(1, 0.03551211837778295)	(2, 0.00027229965296646957)	(3, 0.0)	(4, 0.0)	(5, 3.5363591294346694e-06)	(6, 0.004084494794497044)	(7, 0.0)	(8, 0.0001485270834362561)	(9, 3.8899950423781365e-05)	(10, 0.00032180868077855493)	(11, 0.0005516720241918085)	(12, 0.00010962713301247476)	(13, 0.0001944997521189068)	(14, 7.072718258869338e-05)	(15, 5.304538694152004e-05)	(16, 0.0006082537702627632)	(17, 0.00048448120073254976)	(18, 6.365446432982406e-05)	(19, 0.00018389067473060283)	(20, 8.840897823586674e-05)	(21, 0.00012023621040077877)	(22, 0.0003500995538140323)	(23, 9.901805562417075e-05)	(24, 0.00034656319468459763)	(25, 0.0002864450894842082)	(26, 0.0005870356154861552)	(27, 0.0014781981161036918)	(28, 0.00043497217292046435)	(29, 0.0008628716275820593)	(30, 0.0011882166674900489)	(31, 0.0005728901789684164)	(32, 0.00048448120073254976)	(33, 0.0017469614099407265)	(34, 0.0013650346239617824)	(35, 0.0028538418174537785)	(36, 0.0010715168162187048)	(37, 0.0011882166674900489)	(38, 0.001732815973422988)	(39, 0.0015135617073980387)	(40, 0.0018565885429532014)	(41, 0.002245588047191015)	(42, 0.0030341961330549463)	(43, 0.0028927417678775596)	(44, 0.0010821258936070089)	(45, 0.0014640526795859532)	(46, 0.002705314734017522)	(47, 0.0009724987605945341)	(48, 0.004936757344690798)	(49, 0.0035540409250818432)	(50, 0.0032675958355976344)	(51, 0.0031615050617145946)	(52, 0.0016019706856339052)	(53, 0.0016373342769282519)	(54, 0.001474661756974257)	(55, 0.0017787886421056385)	(56, 0.001315525596149697)	(57, 0.0026239784740405246)	(58, 0.004590194150006201)	(59, 0.001251871131819873)	(60, 0.001916706648153591)	(61, 0.0018495158246943323)	(62, 0.0021288881959196713)	(63, 0.0036565953398354487)	(64, 0.0031933322938795063)	(65, 0.0050605299142210125)	(66, 0.004699821283018675)	(67, 0.0027760419166062158)	(68, 0.0032675958355976344)	(69, 0.0030730960834787274)	(70, 0.0028538418174537785)	(71, 0.00443813070744051)	(72, 0.004632630459559417)	(73, 0.003925358633672483)	(74, 0.005796092613143423)	(75, 0.006977236562374602)
