Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR6984609	(1, 31.357255810839625)	(2, 31.56421458671205)	(3, 31.622735771244244)	(4, 31.65203403048377)	(5, 31.666622092631595)	(6, 35.2795483053098)	(7, 35.26797363583271)	(8, 35.247242916729995)	(9, 35.25052712885035)	(10, 35.209097076889755)	(11, 35.2853275151169)	(12, 35.27050576115054)	(13, 35.25316527843427)	(14, 35.23579407060249)	(15, 35.23817253554649)	(16, 35.216991482984064)	(17, 35.19982188480037)	(18, 35.18127250971373)	(19, 35.171761503232716)	(20, 35.167390777259826)	(21, 35.149381092480716)	(22, 35.11416363799843)	(23, 35.081521386628985)	(24, 35.050524407781225)	(25, 35.038455665920075)	(26, 34.981868215073305)	(27, 34.946864061789285)	(28, 34.92318936859505)	(29, 34.90985209353908)	(30, 34.90008947515518)	(31, 34.87988038709052)	(32, 34.85167678403313)	(33, 34.83104523432929)	(34, 34.840630182905954)	(35, 34.800816940109755)	(36, 34.805006481851095)	(37, 34.77131393955691)	(38, 34.75927627077407)	(39, 34.75468723293855)	(40, 34.72302891598731)	(41, 34.711450453715656)	(42, 34.67569929388604)	(43, 34.618898193878195)	(44, 34.623225320111864)	(45, 34.583480869561825)	(46, 34.51379717749276)	(47, 34.51995542318122)	(48, 34.50794392120118)	(49, 34.45597289286253)	(50, 34.43946310174599)	(51, 34.35927886657659)	(52, 34.36620329156109)	(53, 34.330343010596444)	(54, 34.24608858492714)	(55, 34.255099186101084)	(56, 34.214410399299844)	(57, 34.17794184455917)	(58, 34.198434278734354)	(59, 34.17556922539026)	(60, 34.06360721763932)	(61, 34.04016705137434)	(62, 34.03986470649477)	(63, 33.94837989214823)	(64, 33.9606099147686)	(65, 33.926446787579565)	(66, 33.795746356551085)	(67, 33.80254760270331)	(68, 33.82697410432983)	(69, 33.77564990404578)	(70, 33.74856033869864)	(71, 33.679526780330804)	(72, 33.59257971410263)	(73, 33.65025315685774)	(74, 33.62235889273225)	(75, 31.974630275603243)
SRR6984610	(1, 31.37285161821646)	(2, 31.579633984258606)	(3, 31.630157586072222)	(4, 31.659699313534567)	(5, 31.67485573229636)	(6, 35.287574084939756)	(7, 35.27651379774296)	(8, 35.25957427678978)	(9, 35.260425268652696)	(10, 35.22480092636151)	(11, 35.29174304598)	(12, 35.281335683885985)	(13, 35.261319610597944)	(14, 35.24669208289458)	(15, 35.24916831847638)	(16, 35.23445261998105)	(17, 35.21838892443834)	(18, 35.20277370337882)	(19, 35.19242406340676)	(20, 35.187818158938384)	(21, 35.17152029941972)	(22, 35.13824264381356)	(23, 35.114409590762854)	(24, 35.07983026286962)	(25, 35.07132057820387)	(26, 35.01536391090605)	(27, 34.97838104321288)	(28, 34.95532832506746)	(29, 34.9459120655111)	(30, 34.93785189145233)	(31, 34.91690414233934)	(32, 34.895063722448505)	(33, 34.87232197513269)	(34, 34.878755134035146)	(35, 34.84669966999457)	(36, 34.84206545595045)	(37, 34.81383957227473)	(38, 34.790231558625976)	(39, 34.78951613186246)	(40, 34.76097924393379)	(41, 34.75087797286058)	(42, 34.724951314715746)	(43, 34.67188496485786)	(44, 34.673330892314816)	(45, 34.63605269591889)	(46, 34.575921820115205)	(47, 34.583946431731725)	(48, 34.56511491531944)	(49, 34.5243854240111)	(50, 34.504522931007024)	(51, 34.422666812169645)	(52, 34.43753899878021)	(53, 34.40496269870807)	(54, 34.322316719311225)	(55, 34.32408431306915)	(56, 34.3004801431054)	(57, 34.2444281858425)	(58, 34.27024611783635)	(59, 34.25793041626607)	(60, 34.16175570173071)	(61, 34.13866006800649)	(62, 34.11999416428344)	(63, 34.050432656883764)	(64, 34.06554940213151)	(65, 34.004332601751955)	(66, 33.91006943533426)	(67, 33.888047961167416)	(68, 33.91391853493433)	(69, 33.870984506439925)	(70, 33.84557931937029)	(71, 33.76511143929125)	(72, 33.71680657958659)	(73, 33.73597162758837)	(74, 33.73087246135049)	(75, 32.15097035499439)
SRR6984611	(1, 31.337622030938206)	(2, 31.550895903849746)	(3, 31.617337322118424)	(4, 31.64895920233036)	(5, 31.66460167306161)	(6, 35.27507518291944)	(7, 35.26168711847413)	(8, 35.24584545969874)	(9, 35.24279738129487)	(10, 35.21433636205761)	(11, 35.27248121655761)	(12, 35.264634406875736)	(13, 35.24190082211351)	(14, 35.2249928732687)	(15, 35.22899573706785)	(16, 35.21074006599189)	(17, 35.20081215246945)	(18, 35.182595014892414)	(19, 35.17121269115204)	(20, 35.16648506335418)	(21, 35.1486812434262)	(22, 35.11740029948655)	(23, 35.08915386858635)	(24, 35.05895592567229)	(25, 35.04486138098031)	(26, 34.99365144222105)	(27, 34.956117586151535)	(28, 34.93392029201577)	(29, 34.92284961122452)	(30, 34.91319202199293)	(31, 34.89180288280377)	(32, 34.867521863500976)	(33, 34.84683199591073)	(34, 34.856319690421344)	(35, 34.82357843827923)	(36, 34.82097280701467)	(37, 34.79468981516372)	(38, 34.779910678300986)	(39, 34.77006192883754)	(40, 34.746193408019295)	(41, 34.73419585895953)	(42, 34.70587003463427)	(43, 34.65932471353817)	(44, 34.66343970457651)	(45, 34.62936875182264)	(46, 34.572510346047856)	(47, 34.57710189423603)	(48, 34.55989701463683)	(49, 34.51989298434741)	(50, 34.49699166745852)	(51, 34.43561458637107)	(52, 34.42782295561111)	(53, 34.40722365484994)	(54, 34.32942687973682)	(55, 34.331746819184175)	(56, 34.30995661704714)	(57, 34.27414621758975)	(58, 34.272832900268355)	(59, 34.25377720035781)	(60, 34.16816805323914)	(61, 34.13934899357447)	(62, 34.1250808515379)	(63, 34.05998971129366)	(64, 34.06476704599445)	(65, 34.037705126986886)	(66, 33.931145814560814)	(67, 33.92536156283483)	(68, 33.93564152050041)	(69, 33.88858723610615)	(70, 33.862611070516955)	(71, 33.81598530746521)	(72, 33.758427007526485)	(73, 33.78106825606427)	(74, 33.76095786545387)	(75, 32.22511483048209)
SRR6984612	(1, 31.355170010103105)	(2, 31.541285079611583)	(3, 31.6059407069594)	(4, 31.641794952112914)	(5, 31.661403662977808)	(6, 35.26518779658992)	(7, 35.24955286041392)	(8, 35.23625721547305)	(9, 35.237119763362685)	(10, 35.196529208560726)	(11, 35.272582373221645)	(12, 35.259035151812974)	(13, 35.23772262379357)	(14, 35.224070163125944)	(15, 35.2292795573503)	(16, 35.21256518063584)	(17, 35.197939434993124)	(18, 35.1780124271241)	(19, 35.16864983223145)	(20, 35.164309637588026)	(21, 35.14453806209761)	(22, 35.1108832190385)	(23, 35.08449164958211)	(24, 35.05456514737738)	(25, 35.045816238882594)	(26, 34.98919123917955)	(27, 34.95122548928111)	(28, 34.931206274038146)	(29, 34.918376960170285)	(30, 34.905740748973656)	(31, 34.886380356605315)	(32, 34.86302715077857)	(33, 34.83822190788833)	(34, 34.847518189491076)	(35, 34.81116944538809)	(36, 34.80913087168718)	(37, 34.77552886884935)	(38, 34.75104402706967)	(39, 34.75471083977942)	(40, 34.72702351406816)	(41, 34.713303450496994)	(42, 34.698015895506)	(43, 34.641678649326565)	(44, 34.64252965856801)	(45, 34.615428835556955)	(46, 34.54854920164433)	(47, 34.54674530368534)	(48, 34.536969489438576)	(49, 34.49676215350542)	(50, 34.48223635291838)	(51, 34.40031425847726)	(52, 34.402383205972676)	(53, 34.380860199435354)	(54, 34.28996147788364)	(55, 34.29110567060078)	(56, 34.27480166251558)	(57, 34.2114867582134)	(58, 34.22972834289062)	(59, 34.210345076849094)	(60, 34.11962231968232)	(61, 34.09091952505567)	(62, 34.07213990000064)	(63, 34.00425969560367)	(64, 34.01574387458982)	(65, 33.96423202321033)	(66, 33.87735628528833)	(67, 33.84752117596472)	(68, 33.86853505661913)	(69, 33.81902702724716)	(70, 33.801563690453364)	(71, 33.733238942666155)	(72, 33.680814825398194)	(73, 33.69485030131143)	(74, 33.68022292668309)	(75, 32.09251202819231)
SRR6984613	(1, 31.348682592332334)	(2, 31.567983725791212)	(3, 31.62584132592896)	(4, 31.65002206528896)	(5, 31.66510224899985)	(6, 35.27135430282504)	(7, 35.2583811040956)	(8, 35.24292914477523)	(9, 35.238996574585144)	(10, 35.20111136514792)	(11, 35.2692663232028)	(12, 35.2597883037205)	(13, 35.23365734013239)	(14, 35.21712327990206)	(15, 35.2217239152365)	(16, 35.20214521653679)	(17, 35.18870946483953)	(18, 35.16921521953181)	(19, 35.160229666382)	(20, 35.15633079055234)	(21, 35.1366657312327)	(22, 35.10267524856785)	(23, 35.071447502697474)	(24, 35.03944465269664)	(25, 35.02843158239658)	(26, 34.972689432655564)	(27, 34.92936229959761)	(28, 34.905697783269105)	(29, 34.89767384106708)	(30, 34.881817014059315)	(31, 34.860090408627606)	(32, 34.83319638655924)	(33, 34.80744663433993)	(34, 34.82150193397933)	(35, 34.783973242328)	(36, 34.7830740345403)	(37, 34.748786726978345)	(38, 34.727976929367685)	(39, 34.72521144884177)	(40, 34.69184931413574)	(41, 34.68104938492401)	(42, 34.649424634499006)	(43, 34.593626706705514)	(44, 34.601849535976456)	(45, 34.56221844338278)	(46, 34.48728529757792)	(47, 34.500616285578545)	(48, 34.48993517332202)	(49, 34.44625978713262)	(50, 34.43105161838832)	(51, 34.3409391799395)	(52, 34.35906380135893)	(53, 34.324860478747006)	(54, 34.23094067794994)	(55, 34.238667694874444)	(56, 34.221540219070896)	(57, 34.15735764877206)	(58, 34.19047425297478)	(59, 34.1651118353298)	(60, 34.066629811438396)	(61, 34.04187195159308)	(62, 34.02001699306642)	(63, 33.95399799647377)	(64, 33.97995975213666)	(65, 33.91751965206006)	(66, 33.807152787395246)	(67, 33.79626790288944)	(68, 33.821303983794316)	(69, 33.76403979922979)	(70, 33.74454542008151)	(71, 33.66335736964758)	(72, 33.59456308870815)	(73, 33.6302482605161)	(74, 33.62296586192466)	(75, 32.00820037751737)
SRR6984614	(1, 31.357675493363317)	(2, 31.53745235945527)	(3, 31.607936458285142)	(4, 31.64529769302454)	(5, 31.66784735683828)	(6, 35.2748004577933)	(7, 35.26293264879624)	(8, 35.25368759842389)	(9, 35.256790832823214)	(10, 35.21553517641802)	(11, 35.28159086038502)	(12, 35.273650069415744)	(13, 35.25645467862231)	(14, 35.23740197006878)	(15, 35.24100218088558)	(16, 35.230634715618166)	(17, 35.218318892233896)	(18, 35.20224183335437)	(19, 35.191390113024006)	(20, 35.18784854866385)	(21, 35.17020558215061)	(22, 35.14323327363745)	(23, 35.11867970966562)	(24, 35.08895736149524)	(25, 35.08110457395458)	(26, 35.02891094845999)	(27, 34.99475620367651)	(28, 34.97604420471609)	(29, 34.960858517987845)	(30, 34.94973809700482)	(31, 34.92956894618155)	(32, 34.90722501737714)	(33, 34.88586309615701)	(34, 34.89330890158392)	(35, 34.86543573895497)	(36, 34.85909260839024)	(37, 34.83430381746253)	(38, 34.814455130044806)	(39, 34.8048236474391)	(40, 34.784159544817115)	(41, 34.77326692718786)	(42, 34.74481772677898)	(43, 34.69690151333166)	(44, 34.70031225357648)	(45, 34.661641900349004)	(46, 34.618803869410876)	(47, 34.61871870044851)	(48, 34.59309623900408)	(49, 34.559910038090166)	(50, 34.53679466205215)	(51, 34.47753383483815)	(52, 34.471727801885926)	(53, 34.44379241597385)	(54, 34.380012740925835)	(55, 34.37611275155846)	(56, 34.35359241097304)	(57, 34.31700100377223)	(58, 34.31385224919453)	(59, 34.29424992413585)	(60, 34.21398634306915)	(61, 34.19346652827723)	(62, 34.165455151674486)	(63, 34.1122532997827)	(64, 34.120302104162654)	(65, 34.07740137753036)	(66, 33.99484893121557)	(67, 33.97861631412824)	(68, 33.98725725200723)	(69, 33.94166752797323)	(70, 33.91513439301204)	(71, 33.86775733553963)	(72, 33.817506736665834)	(73, 33.8328270605414)	(74, 33.815174780781874)	(75, 32.296928427263666)
SRR6984615	(1, 31.375979704052355)	(2, 31.576306742868294)	(3, 31.63092409133928)	(4, 31.659660304082532)	(5, 31.675064650133244)	(6, 35.287787438399974)	(7, 35.273130212925544)	(8, 35.258985685411794)	(9, 35.25705836272825)	(10, 35.219479535297374)	(11, 35.29384481560421)	(12, 35.28079692479311)	(13, 35.258493018944826)	(14, 35.24654800676446)	(15, 35.24964502218655)	(16, 35.229372768391286)	(17, 35.21440210895642)	(18, 35.19631564462207)	(19, 35.185611470421826)	(20, 35.18226754852797)	(21, 35.16602108357706)	(22, 35.12992812165034)	(23, 35.10379753172508)	(24, 35.07050974323574)	(25, 35.06124872828677)	(26, 35.00499800099068)	(27, 34.96580522114355)	(28, 34.942418563697956)	(29, 34.93417154359761)	(30, 34.922970085177475)	(31, 34.89946983100999)	(32, 34.87780683742076)	(33, 34.85301071439695)	(34, 34.86367256450316)	(35, 34.82594488619532)	(36, 34.82699327534157)	(37, 34.79360074347733)	(38, 34.775434280554414)	(39, 34.7750150522822)	(40, 34.74252441533356)	(41, 34.732671977698224)	(42, 34.703438162269364)	(43, 34.64657142673342)	(44, 34.64877294840085)	(45, 34.6102297749269)	(46, 34.54338413901869)	(47, 34.55248786374916)	(48, 34.536690594694605)	(49, 34.49193848618085)	(50, 34.473112194135176)	(51, 34.39454762486038)	(52, 34.402875694486156)	(53, 34.36881925713795)	(54, 34.284440714007786)	(55, 34.28748206162223)	(56, 34.26098520427379)	(57, 34.21389020716004)	(58, 34.23339400317587)	(59, 34.21685187465164)	(60, 34.11548847195498)	(61, 34.093415390059675)	(62, 34.07136227596494)	(63, 34.00334010030524)	(64, 34.0178505130833)	(65, 33.96832750148294)	(66, 33.855166631773436)	(67, 33.846081887599816)	(68, 33.869170747751774)	(69, 33.822568512644715)	(70, 33.79180698531625)	(71, 33.719606348346595)	(72, 33.65137290252905)	(73, 33.68743156569786)	(74, 33.6713269453781)	(75, 32.05399191364585)
SRR6984616	(1, 31.382831254491116)	(2, 31.576753909788053)	(3, 31.630226556219483)	(4, 31.66124031403665)	(5, 31.680300542088425)	(6, 35.29274931261987)	(7, 35.282464546857895)	(8, 35.271684168891554)	(9, 35.2746587191249)	(10, 35.23541350138028)	(11, 35.30021039916876)	(12, 35.292425077925955)	(13, 35.27482937439419)	(14, 35.257552230804336)	(15, 35.26190084485192)	(16, 35.24838539118671)	(17, 35.23724817449677)	(18, 35.2221358714126)	(19, 35.212076728631345)	(20, 35.207006002391545)	(21, 35.190883645039726)	(22, 35.16493878206512)	(23, 35.140755284728876)	(24, 35.11263113642532)	(25, 35.1044079306826)	(26, 35.0514483592151)	(27, 35.021732907272956)	(28, 34.99846616612259)	(29, 34.987973601260045)	(30, 34.97744200958032)	(31, 34.95743136374557)	(32, 34.93515099767041)	(33, 34.913675337223424)	(34, 34.92222607933396)	(35, 34.89445177949131)	(36, 34.88900783513009)	(37, 34.86222958323538)	(38, 34.84454001414664)	(39, 34.837983379889515)	(40, 34.81452083400076)	(41, 34.80513107980677)	(42, 34.775358132309115)	(43, 34.72595802324038)	(44, 34.73351465197752)	(45, 34.688849246447106)	(46, 34.63868903014207)	(47, 34.64627650889463)	(48, 34.62511265027582)	(49, 34.58921620686473)	(50, 34.564581283006746)	(51, 34.50402288328268)	(52, 34.50307380680472)	(53, 34.469177765062895)	(54, 34.405175409937634)	(55, 34.39926977291242)	(56, 34.37906548906277)	(57, 34.34302395256072)	(58, 34.34370136318377)	(59, 34.326677313533196)	(60, 34.2389840811341)	(61, 34.22030197212593)	(62, 34.193509610734196)	(63, 34.136104309576915)	(64, 34.14484224112052)	(65, 34.100605563103834)	(66, 34.00771807543159)	(67, 33.9977890908258)	(68, 34.009184663497784)	(69, 33.960980714768034)	(70, 33.934856452247196)	(71, 33.881375861162965)	(72, 33.821353596531424)	(73, 33.84901022265302)	(74, 33.83083069031759)	(75, 32.29806508496883)
SRR6984617	(1, 31.297658231808605)	(2, 31.52275772116784)	(3, 31.603072123973572)	(4, 31.642833025561405)	(5, 31.6592534746843)	(6, 35.2626779816889)	(7, 35.254539262100145)	(8, 35.24106763202216)	(9, 35.24015637696175)	(10, 35.200016902499556)	(11, 35.270971597158606)	(12, 35.26302640274141)	(13, 35.238538462246595)	(14, 35.219494105449925)	(15, 35.22516777522437)	(16, 35.20817875305116)	(17, 35.193555556435996)	(18, 35.172178176932874)	(19, 35.16231553057127)	(20, 35.15807874805208)	(21, 35.13925101825761)	(22, 35.10522047769575)	(23, 35.076121580768834)	(24, 35.04321737826326)	(25, 35.03114167557432)	(26, 34.975378546655385)	(27, 34.934391470978916)	(28, 34.909472752716255)	(29, 34.902880515700446)	(30, 34.89130052644207)	(31, 34.86376253252464)	(32, 34.83606369975847)	(33, 34.816028848330916)	(34, 34.826819704690436)	(35, 34.788466587295034)	(36, 34.78662744269086)	(37, 34.754133130169286)	(38, 34.735252729366216)	(39, 34.73594024916883)	(40, 34.7004827845624)	(41, 34.69349426229766)	(42, 34.65722368899587)	(43, 34.59411525581971)	(44, 34.605512469686495)	(45, 34.55294421033165)	(46, 34.480792065928256)	(47, 34.50730982124369)	(48, 34.492912020421436)	(49, 34.448388471062)	(50, 34.425760271633244)	(51, 34.34790448042672)	(52, 34.34945708076062)	(53, 34.32637689532604)	(54, 34.23734884906272)	(55, 34.247315380831786)	(56, 34.217912343788804)	(57, 34.17902497106882)	(58, 34.195839374865045)	(59, 34.17720927788164)	(60, 34.065017873766934)	(61, 34.04424076314232)	(62, 34.03084671209968)	(63, 33.947502153160535)	(64, 33.97663026967906)	(65, 33.932412724896174)	(66, 33.79548939815332)	(67, 33.80629403404109)	(68, 33.828846635423744)	(69, 33.76667197649475)	(70, 33.744626916213825)	(71, 33.6713733126487)	(72, 33.60479709950544)	(73, 33.63422052908494)	(74, 33.62083513030423)	(75, 31.987863061437118)
SRR6984618	(1, 31.314493085374675)	(2, 31.49620896996786)	(3, 31.577330148582604)	(4, 31.618174318528567)	(5, 31.637288834713438)	(6, 35.22790773681468)	(7, 35.21443452680385)	(8, 35.203587735354866)	(9, 35.20833890457244)	(10, 35.15547266958442)	(11, 35.23926309207007)	(12, 35.22583850699727)	(13, 35.202750962057664)	(14, 35.186963240360214)	(15, 35.191527053271116)	(16, 35.174900259643024)	(17, 35.159335257843544)	(18, 35.1407413998133)	(19, 35.13268366408252)	(20, 35.12752627329174)	(21, 35.109279721091596)	(22, 35.07740117635572)	(23, 35.04585214956352)	(24, 35.015238914124154)	(25, 35.0044440010636)	(26, 34.94261083241261)	(27, 34.90244288505938)	(28, 34.88226834522546)	(29, 34.873431584942054)	(30, 34.862909572715516)	(31, 34.83817475632983)	(32, 34.81215019440604)	(33, 34.79061260030927)	(34, 34.803195355091304)	(35, 34.76658424238686)	(36, 34.76701444047496)	(37, 34.73391659447484)	(38, 34.70875069591127)	(39, 34.70427918197365)	(40, 34.676844143211085)	(41, 34.665671157996)	(42, 34.641005229886154)	(43, 34.58455135856132)	(44, 34.59084933126211)	(45, 34.547354766239415)	(46, 34.483105946030705)	(47, 34.491081143139404)	(48, 34.47593944352772)	(49, 34.428013466879925)	(50, 34.410843205580825)	(51, 34.33327663370862)	(52, 34.33498950461656)	(53, 34.310925288012584)	(54, 34.21550080980856)	(55, 34.2197614152877)	(56, 34.19956321721121)	(57, 34.15297355995124)	(58, 34.16350695925418)	(59, 34.150656219177314)	(60, 34.048616132495496)	(61, 34.02241050898428)	(62, 34.00036466935343)	(63, 33.926547203975886)	(64, 33.94133204958782)	(65, 33.88689390296676)	(66, 33.778453076987844)	(67, 33.76224764055003)	(68, 33.789924919912956)	(69, 33.7356984243858)	(70, 33.704880433752834)	(71, 33.64436876714493)	(72, 33.57679859844186)	(73, 33.608743449911415)	(74, 33.58767689885069)	(75, 31.935499850747963)
