Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR6984609	(0.0, 1509.0)	(1.0, 998.0)	(2.0, 536.0)	(3.0, 635.5)	(4.0, 686.0)	(5.0, 864.5)	(6.0, 833.5)	(7.0, 632.5)	(8.0, 641.0)	(9.0, 703.0)	(10.0, 845.0)	(11.0, 1118.5)	(12.0, 1312.0)	(13.0, 1575.0)	(14.0, 2275.0)	(15.0, 3661.5)	(16.0, 4611.0)	(17.0, 6048.0)	(18.0, 10615.0)	(19.0, 21584.5)	(20.0, 29424.0)	(21.0, 32097.0)	(22.0, 44099.0)	(23.0, 63637.0)	(24.0, 73846.0)	(25.0, 91218.5)	(26.0, 125601.0)	(27.0, 166230.5)	(28.0, 189850.0)	(29.0, 211448.5)	(30.0, 257097.0)	(31.0, 329654.0)	(32.0, 378161.0)	(33.0, 428799.5)	(34.0, 510448.0)	(35.0, 568943.5)	(36.0, 596429.0)	(37.0, 629381.0)	(38.0, 691455.5)	(39.0, 745555.0)	(40.0, 770532.0)	(41.0, 823591.5)	(42.0, 943925.5)	(43.0, 1011917.5)	(44.0, 1012635.0)	(45.0, 1063669.0)	(46.0, 1139655.0)	(47.0, 1165697.0)	(48.0, 1166787.0)	(49.0, 1164970.0)	(50.0, 1174410.5)	(51.0, 1177710.5)	(52.0, 1169753.0)	(53.0, 1141182.0)	(54.0, 1090733.5)	(55.0, 1072302.0)	(56.0, 1075748.0)	(57.0, 1001853.0)	(58.0, 902366.5)	(59.0, 812031.0)	(60.0, 747287.0)	(61.0, 661109.0)	(62.0, 536724.5)	(63.0, 433093.5)	(64.0, 367669.0)	(65.0, 347847.0)	(66.0, 327239.0)	(67.0, 350064.0)	(68.0, 373675.0)	(69.0, 319764.0)	(70.0, 236474.0)	(71.0, 207238.0)	(72.0, 207381.0)	(73.0, 304144.5)	(74.0, 456069.5)	(75.0, 503522.5)	(76.0, 495814.0)	(77.0, 416755.0)	(78.0, 363246.5)	(79.0, 433514.5)	(80.0, 478232.0)	(81.0, 402879.0)	(82.0, 271113.0)	(83.0, 240286.5)	(84.0, 265873.0)	(85.0, 293937.5)	(86.0, 258757.0)	(87.0, 185635.0)	(88.0, 175758.0)	(89.0, 220923.0)	(90.0, 180784.5)	(91.0, 58347.0)	(92.0, 21213.0)	(93.0, 17992.0)	(94.0, 13438.0)	(95.0, 11064.0)	(96.0, 10023.0)	(97.0, 10540.0)	(98.0, 16515.5)	(99.0, 17657.0)	(100.0, 13340.0)
SRR6984610	(0.0, 3424.0)	(1.0, 2168.0)	(2.0, 930.0)	(3.0, 1021.5)	(4.0, 1095.0)	(5.0, 1372.5)	(6.0, 1245.0)	(7.0, 844.0)	(8.0, 848.0)	(9.0, 905.5)	(10.0, 1027.0)	(11.0, 1318.0)	(12.0, 1545.0)	(13.0, 1869.0)	(14.0, 2726.0)	(15.0, 4189.5)	(16.0, 5120.0)	(17.0, 6582.5)	(18.0, 11013.0)	(19.0, 20518.0)	(20.0, 27055.0)	(21.0, 30893.0)	(22.0, 43640.5)	(23.0, 63137.0)	(24.0, 73724.0)	(25.0, 90062.0)	(26.0, 121157.5)	(27.0, 160137.5)	(28.0, 184360.0)	(29.0, 213084.0)	(30.0, 266981.5)	(31.0, 338852.5)	(32.0, 385550.0)	(33.0, 435557.0)	(34.0, 528128.5)	(35.0, 606564.0)	(36.0, 642435.0)	(37.0, 682173.0)	(38.0, 761569.0)	(39.0, 835576.5)	(40.0, 869926.0)	(41.0, 922241.5)	(42.0, 1042978.0)	(43.0, 1127817.5)	(44.0, 1144236.0)	(45.0, 1198462.0)	(46.0, 1280833.0)	(47.0, 1328920.5)	(48.0, 1348863.0)	(49.0, 1360339.5)	(50.0, 1350161.0)	(51.0, 1309923.5)	(52.0, 1291341.0)	(53.0, 1260587.0)	(54.0, 1189523.0)	(55.0, 1139595.5)	(56.0, 1129978.0)	(57.0, 1080179.5)	(58.0, 1025194.0)	(59.0, 953496.5)	(60.0, 886986.0)	(61.0, 787511.0)	(62.0, 633685.0)	(63.0, 484399.5)	(64.0, 389465.0)	(65.0, 367844.0)	(66.0, 320896.5)	(67.0, 306433.0)	(68.0, 317296.0)	(69.0, 269677.5)	(70.0, 191145.5)	(71.0, 155141.5)	(72.0, 150051.0)	(73.0, 230327.0)	(74.0, 318266.0)	(75.0, 331941.5)	(76.0, 337954.0)	(77.0, 283748.0)	(78.0, 248920.5)	(79.0, 303033.0)	(80.0, 337767.0)	(81.0, 290708.5)	(82.0, 208309.5)	(83.0, 205977.5)	(84.0, 238986.0)	(85.0, 279839.5)	(86.0, 254296.5)	(87.0, 171128.5)	(88.0, 154357.0)	(89.0, 188249.5)	(90.0, 150552.0)	(91.0, 48739.0)	(92.0, 18516.0)	(93.0, 15942.0)	(94.0, 11815.0)	(95.0, 9466.5)	(96.0, 8671.0)	(97.0, 9042.0)	(98.0, 13951.5)	(99.0, 15128.0)	(100.0, 11766.0)
SRR6984611	(0.0, 922.0)	(1.0, 670.0)	(2.0, 439.0)	(3.0, 551.5)	(4.0, 643.0)	(5.0, 783.5)	(6.0, 785.0)	(7.0, 689.5)	(8.0, 733.0)	(9.0, 813.0)	(10.0, 984.0)	(11.0, 1294.5)	(12.0, 1514.0)	(13.0, 1814.0)	(14.0, 2513.0)	(15.0, 3892.5)	(16.0, 4873.0)	(17.0, 6261.5)	(18.0, 10477.5)	(19.0, 20085.5)	(20.0, 26866.0)	(21.0, 29837.0)	(22.0, 41039.5)	(23.0, 59481.0)	(24.0, 69691.0)	(25.0, 86128.0)	(26.0, 121890.0)	(27.0, 168400.0)	(28.0, 195585.0)	(29.0, 220324.0)	(30.0, 274190.0)	(31.0, 358671.0)	(32.0, 414025.0)	(33.0, 474047.5)	(34.0, 575933.0)	(35.0, 658224.0)	(36.0, 698652.0)	(37.0, 743791.0)	(38.0, 830466.5)	(39.0, 913333.0)	(40.0, 954663.0)	(41.0, 1008884.5)	(42.0, 1133518.0)	(43.0, 1227283.5)	(44.0, 1250637.0)	(45.0, 1305912.0)	(46.0, 1390373.0)	(47.0, 1430103.0)	(48.0, 1440647.0)	(49.0, 1455309.5)	(50.0, 1455044.5)	(51.0, 1431970.5)	(52.0, 1423824.0)	(53.0, 1390857.0)	(54.0, 1310512.0)	(55.0, 1234193.0)	(56.0, 1205252.0)	(57.0, 1129150.5)	(58.0, 1010404.0)	(59.0, 894860.0)	(60.0, 821961.0)	(61.0, 728544.0)	(62.0, 577809.0)	(63.0, 447723.0)	(64.0, 374955.0)	(65.0, 342328.0)	(66.0, 282148.0)	(67.0, 258468.5)	(68.0, 262342.0)	(69.0, 222704.5)	(70.0, 162575.0)	(71.0, 136258.5)	(72.0, 130434.0)	(73.0, 185251.5)	(74.0, 250356.5)	(75.0, 264564.0)	(76.0, 268484.0)	(77.0, 223001.5)	(78.0, 197266.5)	(79.0, 243582.0)	(80.0, 270150.0)	(81.0, 242879.0)	(82.0, 177523.5)	(83.0, 173964.5)	(84.0, 208490.0)	(85.0, 231990.5)	(86.0, 193288.5)	(87.0, 128612.0)	(88.0, 126138.0)	(89.0, 153582.5)	(90.0, 123691.5)	(91.0, 41131.0)	(92.0, 15906.0)	(93.0, 14120.5)	(94.0, 11652.0)	(95.0, 11085.0)	(96.0, 11201.0)	(97.0, 12609.0)	(98.0, 26398.0)	(99.0, 28268.0)	(100.0, 17757.0)
SRR6984612	(0.0, 117.0)	(1.0, 114.0)	(2.0, 125.0)	(3.0, 169.5)	(4.0, 200.0)	(5.0, 258.5)	(6.0, 330.5)	(7.0, 398.0)	(8.0, 452.0)	(9.0, 520.0)	(10.0, 725.5)	(11.0, 1059.0)	(12.0, 1255.0)	(13.0, 1546.0)	(14.0, 2356.5)	(15.0, 3916.0)	(16.0, 4956.0)	(17.0, 6433.5)	(18.0, 11126.5)	(19.0, 21568.0)	(20.0, 28794.0)	(21.0, 33576.0)	(22.0, 47769.0)	(23.0, 69619.0)	(24.0, 82058.0)	(25.0, 100689.5)	(26.0, 139949.5)	(27.0, 186823.0)	(28.0, 213068.0)	(29.0, 239765.0)	(30.0, 294247.0)	(31.0, 372196.5)	(32.0, 422361.0)	(33.0, 477345.0)	(34.0, 575124.0)	(35.0, 650860.5)	(36.0, 683802.0)	(37.0, 727226.5)	(38.0, 803461.0)	(39.0, 867803.0)	(40.0, 899335.0)	(41.0, 952759.5)	(42.0, 1097542.0)	(43.0, 1185307.0)	(44.0, 1181714.0)	(45.0, 1230473.0)	(46.0, 1299990.5)	(47.0, 1289595.0)	(48.0, 1258441.0)	(49.0, 1270938.0)	(50.0, 1277011.5)	(51.0, 1261677.5)	(52.0, 1252767.0)	(53.0, 1217169.0)	(54.0, 1148470.0)	(55.0, 1113175.0)	(56.0, 1110981.0)	(57.0, 1038465.5)	(58.0, 940304.5)	(59.0, 851550.0)	(60.0, 788441.0)	(61.0, 697837.5)	(62.0, 566740.5)	(63.0, 453400.5)	(64.0, 380554.0)	(65.0, 351466.0)	(66.0, 301074.5)	(67.0, 294638.0)	(68.0, 309505.0)	(69.0, 268340.5)	(70.0, 196245.5)	(71.0, 163787.0)	(72.0, 162259.0)	(73.0, 218243.0)	(74.0, 286583.5)	(75.0, 298034.0)	(76.0, 297128.0)	(77.0, 252552.5)	(78.0, 228524.0)	(79.0, 279052.5)	(80.0, 309034.0)	(81.0, 272537.0)	(82.0, 205031.5)	(83.0, 208358.0)	(84.0, 242693.0)	(85.0, 273308.5)	(86.0, 253288.0)	(87.0, 171284.0)	(88.0, 139916.0)	(89.0, 158557.5)	(90.0, 122163.5)	(91.0, 42469.0)	(92.0, 17810.0)	(93.0, 15500.0)	(94.0, 11990.5)	(95.0, 10436.5)	(96.0, 10082.0)	(97.0, 10920.5)	(98.0, 17923.5)	(99.0, 18179.5)	(100.0, 12271.0)
SRR6984613	(0.0, 5139.0)	(1.0, 3123.0)	(2.0, 1106.0)	(3.0, 1284.5)	(4.0, 1464.0)	(5.0, 1829.5)	(6.0, 1558.5)	(7.0, 861.0)	(8.0, 800.0)	(9.0, 849.0)	(10.0, 1015.0)	(11.0, 1281.5)	(12.0, 1431.0)	(13.0, 1684.0)	(14.0, 2420.5)	(15.0, 3705.0)	(16.0, 4506.0)	(17.0, 5789.0)	(18.0, 9810.0)	(19.0, 21339.0)	(20.0, 30130.0)	(21.0, 32403.5)	(22.0, 44279.5)	(23.0, 63854.0)	(24.0, 73826.0)	(25.0, 92485.5)	(26.0, 132163.5)	(27.0, 183019.0)	(28.0, 212856.0)	(29.0, 232099.5)	(30.0, 276434.5)	(31.0, 361486.0)	(32.0, 421446.0)	(33.0, 487779.0)	(34.0, 574221.5)	(35.0, 618456.0)	(36.0, 642581.0)	(37.0, 672785.5)	(38.0, 727728.0)	(39.0, 773741.5)	(40.0, 795017.0)	(41.0, 851941.0)	(42.0, 999706.5)	(43.0, 1078202.5)	(44.0, 1065857.0)	(45.0, 1136493.0)	(46.0, 1225368.0)	(47.0, 1231166.0)	(48.0, 1218725.0)	(49.0, 1218688.0)	(50.0, 1243084.0)	(51.0, 1263666.5)	(52.0, 1259816.0)	(53.0, 1231981.5)	(54.0, 1179781.0)	(55.0, 1148723.5)	(56.0, 1142032.0)	(57.0, 1073548.0)	(58.0, 979495.0)	(59.0, 882023.5)	(60.0, 810121.0)	(61.0, 724598.5)	(62.0, 599651.5)	(63.0, 494169.0)	(64.0, 428111.0)	(65.0, 397990.5)	(66.0, 359351.5)	(67.0, 378581.5)	(68.0, 406330.0)	(69.0, 339257.5)	(70.0, 243171.5)	(71.0, 218943.0)	(72.0, 223728.0)	(73.0, 312847.0)	(74.0, 393964.5)	(75.0, 385929.5)	(76.0, 385896.0)	(77.0, 336351.5)	(78.0, 291705.5)	(79.0, 324760.0)	(80.0, 352916.0)	(81.0, 311399.0)	(82.0, 223722.5)	(83.0, 214066.0)	(84.0, 250569.0)	(85.0, 290535.5)	(86.0, 268702.5)	(87.0, 185273.0)	(88.0, 163643.0)	(89.0, 197552.5)	(90.0, 155408.5)	(91.0, 50186.5)	(92.0, 21018.0)	(93.0, 18488.5)	(94.0, 14422.0)	(95.0, 12274.5)	(96.0, 11664.0)	(97.0, 12585.5)	(98.0, 21338.0)	(99.0, 23317.5)	(100.0, 17466.0)
SRR6984614	(0.0, 1472.0)	(1.0, 980.0)	(2.0, 497.0)	(3.0, 580.5)	(4.0, 655.0)	(5.0, 830.0)	(6.0, 817.0)	(7.0, 655.0)	(8.0, 681.0)	(9.0, 744.0)	(10.0, 978.0)	(11.0, 1364.0)	(12.0, 1579.0)	(13.0, 1883.0)	(14.0, 2789.5)	(15.0, 4395.0)	(16.0, 5398.0)	(17.0, 6998.0)	(18.0, 11514.5)	(19.0, 21047.5)	(20.0, 27664.0)	(21.0, 32444.0)	(22.0, 46777.0)	(23.0, 68625.0)	(24.0, 80920.0)	(25.0, 99259.5)	(26.0, 136403.5)	(27.0, 182785.0)	(28.0, 210362.0)	(29.0, 240967.5)	(30.0, 299636.0)	(31.0, 382967.5)	(32.0, 438236.0)	(33.0, 497016.5)	(34.0, 602896.5)	(35.0, 688541.5)	(36.0, 727087.0)	(37.0, 775042.5)	(38.0, 865486.0)	(39.0, 950902.5)	(40.0, 993831.0)	(41.0, 1043588.5)	(42.0, 1162732.0)	(43.0, 1257156.5)	(44.0, 1282195.0)	(45.0, 1326342.0)	(46.0, 1392980.0)	(47.0, 1424953.5)	(48.0, 1434436.0)	(49.0, 1433382.5)	(50.0, 1430006.0)	(51.0, 1412174.0)	(52.0, 1396665.0)	(53.0, 1357639.5)	(54.0, 1270592.0)	(55.0, 1190003.0)	(56.0, 1157436.0)	(57.0, 1092043.5)	(58.0, 981410.0)	(59.0, 867449.0)	(60.0, 798729.0)	(61.0, 710429.0)	(62.0, 563436.5)	(63.0, 442097.5)	(64.0, 379451.0)	(65.0, 339429.0)	(66.0, 269674.0)	(67.0, 240367.5)	(68.0, 240794.0)	(69.0, 203307.5)	(70.0, 144880.0)	(71.0, 118199.5)	(72.0, 112460.0)	(73.0, 163426.0)	(74.0, 192920.0)	(75.0, 182114.0)	(76.0, 192780.0)	(77.0, 159052.0)	(78.0, 127258.5)	(79.0, 143653.0)	(80.0, 158113.0)	(81.0, 143372.0)	(82.0, 109054.0)	(83.0, 115255.0)	(84.0, 141033.0)	(85.0, 161868.5)	(86.0, 140732.0)	(87.0, 94313.0)	(88.0, 89866.0)	(89.0, 107220.5)	(90.0, 84047.0)	(91.0, 27917.5)	(92.0, 12316.0)	(93.0, 11072.5)	(94.0, 9419.0)	(95.0, 9181.5)	(96.0, 9354.0)	(97.0, 10456.5)	(98.0, 18454.5)	(99.0, 18132.5)	(100.0, 10915.0)
SRR6984615	(0.0, 4757.0)	(1.0, 2924.5)	(2.0, 1094.0)	(3.0, 1249.0)	(4.0, 1402.0)	(5.0, 1640.0)	(6.0, 1403.5)	(7.0, 858.5)	(8.0, 788.0)	(9.0, 856.0)	(10.0, 1011.0)	(11.0, 1288.5)	(12.0, 1479.0)	(13.0, 1776.0)	(14.0, 2627.0)	(15.0, 4039.5)	(16.0, 4898.0)	(17.0, 6354.0)	(18.0, 10767.0)	(19.0, 22119.5)	(20.0, 30515.0)	(21.0, 32869.0)	(22.0, 44689.5)	(23.0, 64560.5)	(24.0, 74965.0)	(25.0, 94169.5)	(26.0, 135804.0)	(27.0, 187210.5)	(28.0, 216187.0)	(29.0, 239709.5)	(30.0, 291989.5)	(31.0, 379577.0)	(32.0, 438407.0)	(33.0, 498505.0)	(34.0, 592049.0)	(35.0, 655017.5)	(36.0, 684540.0)	(37.0, 720141.5)	(38.0, 783801.0)	(39.0, 838473.5)	(40.0, 865088.0)	(41.0, 919094.5)	(42.0, 1050600.0)	(43.0, 1126099.0)	(44.0, 1124099.0)	(45.0, 1181645.5)	(46.0, 1258948.5)	(47.0, 1281242.5)	(48.0, 1283780.0)	(49.0, 1297934.5)	(50.0, 1306561.5)	(51.0, 1292901.0)	(52.0, 1284768.0)	(53.0, 1257853.0)	(54.0, 1204998.5)	(55.0, 1177526.0)	(56.0, 1175993.0)	(57.0, 1113682.0)	(58.0, 1034108.5)	(59.0, 949857.5)	(60.0, 882869.0)	(61.0, 790130.0)	(62.0, 654792.5)	(63.0, 527949.0)	(64.0, 443704.0)	(65.0, 419385.5)	(66.0, 381087.5)	(67.0, 387984.0)	(68.0, 408860.0)	(69.0, 349400.5)	(70.0, 254449.0)	(71.0, 218762.5)	(72.0, 218568.0)	(73.0, 310445.0)	(74.0, 411253.5)	(75.0, 421551.5)	(76.0, 422918.0)	(77.0, 364828.5)	(78.0, 321982.0)	(79.0, 370953.5)	(80.0, 404682.0)	(81.0, 348265.0)	(82.0, 246739.5)	(83.0, 240453.5)	(84.0, 279276.0)	(85.0, 313666.0)	(86.0, 278483.0)	(87.0, 188384.0)	(88.0, 167858.0)	(89.0, 206223.5)	(90.0, 169814.0)	(91.0, 57988.0)	(92.0, 20937.0)	(93.0, 17910.0)	(94.0, 13243.0)	(95.0, 10643.0)	(96.0, 9683.0)	(97.0, 10280.5)	(98.0, 16198.5)	(99.0, 17031.0)	(100.0, 12543.0)
SRR6984616	(0.0, 4353.0)	(1.0, 2744.0)	(2.0, 1127.5)	(3.0, 1229.5)	(4.0, 1339.0)	(5.0, 1609.5)	(6.0, 1509.0)	(7.0, 1076.5)	(8.0, 1015.0)	(9.0, 1108.0)	(10.0, 1413.5)	(11.0, 1898.5)	(12.0, 2171.0)	(13.0, 2647.5)	(14.0, 3986.5)	(15.0, 6400.0)	(16.0, 7951.0)	(17.0, 10246.5)	(18.0, 17216.0)	(19.0, 32619.0)	(20.0, 43348.0)	(21.0, 49603.0)	(22.0, 70452.0)	(23.0, 103160.0)	(24.0, 121274.0)	(25.0, 150186.0)	(26.0, 207677.0)	(27.0, 277021.5)	(28.0, 317787.0)	(29.0, 358298.0)	(30.0, 442189.0)	(31.0, 563206.5)	(32.0, 640844.0)	(33.0, 717079.0)	(34.0, 849493.5)	(35.0, 951019.0)	(36.0, 996365.0)	(37.0, 1047849.5)	(38.0, 1144572.5)	(39.0, 1225720.5)	(40.0, 1261630.0)	(41.0, 1321985.5)	(42.0, 1468750.5)	(43.0, 1564878.5)	(44.0, 1574597.0)	(45.0, 1634422.0)	(46.0, 1723407.5)	(47.0, 1755127.5)	(48.0, 1757687.0)	(49.0, 1759908.0)	(50.0, 1747622.5)	(51.0, 1709288.5)	(52.0, 1685461.0)	(53.0, 1636729.0)	(54.0, 1537629.5)	(55.0, 1461935.0)	(56.0, 1436608.0)	(57.0, 1356359.5)	(58.0, 1234283.5)	(59.0, 1103670.5)	(60.0, 1014885.0)	(61.0, 898008.5)	(62.0, 718708.0)	(63.0, 567092.0)	(64.0, 477900.0)	(65.0, 438133.5)	(66.0, 370346.5)	(67.0, 352283.0)	(68.0, 362240.0)	(69.0, 307380.0)	(70.0, 222219.5)	(71.0, 189486.0)	(72.0, 187053.0)	(73.0, 270837.5)	(74.0, 335629.5)	(75.0, 320505.5)	(76.0, 324374.0)	(77.0, 280174.0)	(78.0, 240210.5)	(79.0, 264344.0)	(80.0, 284241.0)	(81.0, 250821.5)	(82.0, 181061.0)	(83.0, 188857.0)	(84.0, 232994.0)	(85.0, 266959.5)	(86.0, 230493.0)	(87.0, 154711.0)	(88.0, 149361.0)	(89.0, 184827.5)	(90.0, 147400.5)	(91.0, 45398.5)	(92.0, 16290.0)	(93.0, 14143.5)	(94.0, 10861.0)	(95.0, 9221.5)	(96.0, 8718.0)	(97.0, 9367.0)	(98.0, 15237.0)	(99.0, 15596.5)	(100.0, 10735.0)
SRR6984617	(0.0, 597.0)	(1.0, 487.0)	(2.0, 384.0)	(3.0, 474.0)	(4.0, 557.0)	(5.0, 627.5)	(6.0, 660.0)	(7.0, 681.5)	(8.0, 741.0)	(9.0, 837.5)	(10.0, 1065.0)	(11.0, 1448.0)	(12.0, 1700.0)	(13.0, 2040.5)	(14.0, 3068.5)	(15.0, 4999.5)	(16.0, 6243.0)	(17.0, 8292.0)	(18.0, 14412.5)	(19.0, 30633.5)	(20.0, 42783.0)	(21.0, 48141.5)	(22.0, 66854.5)	(23.0, 97265.5)	(24.0, 114322.0)	(25.0, 145884.5)	(26.0, 208133.0)	(27.0, 273978.5)	(28.0, 309138.0)	(29.0, 336658.0)	(30.0, 404945.0)	(31.0, 523846.5)	(32.0, 601981.0)	(33.0, 686454.5)	(34.0, 815977.5)	(35.0, 895164.5)	(36.0, 929302.0)	(37.0, 955933.5)	(38.0, 1017304.5)	(39.0, 1060776.5)	(40.0, 1069509.0)	(41.0, 1118208.0)	(42.0, 1244549.0)	(43.0, 1307131.0)	(44.0, 1292071.0)	(45.0, 1333742.0)	(46.0, 1397129.0)	(47.0, 1397367.5)	(48.0, 1375890.0)	(49.0, 1375496.5)	(50.0, 1364641.0)	(51.0, 1337837.5)	(52.0, 1321496.0)	(53.0, 1279482.0)	(54.0, 1203500.5)	(55.0, 1174972.5)	(56.0, 1180412.0)	(57.0, 1102831.0)	(58.0, 1000033.5)	(59.0, 908352.5)	(60.0, 841888.0)	(61.0, 738570.0)	(62.0, 592805.0)	(63.0, 478396.0)	(64.0, 406434.0)	(65.0, 376352.0)	(66.0, 325724.0)	(67.0, 327553.5)	(68.0, 349929.0)	(69.0, 295935.0)	(70.0, 217595.0)	(71.0, 189090.5)	(72.0, 184932.0)	(73.0, 296040.5)	(74.0, 397813.0)	(75.0, 382453.5)	(76.0, 376430.0)	(77.0, 311092.5)	(78.0, 272102.5)	(79.0, 355383.5)	(80.0, 412317.0)	(81.0, 369101.0)	(82.0, 275334.0)	(83.0, 285869.5)	(84.0, 346956.0)	(85.0, 388971.0)	(86.0, 326456.5)	(87.0, 223643.5)	(88.0, 225360.0)	(89.0, 287827.5)	(90.0, 240083.0)	(91.0, 77744.5)	(92.0, 25618.0)	(93.0, 22105.5)	(94.0, 17227.0)	(95.0, 15663.0)	(96.0, 15465.0)	(97.0, 17218.5)	(98.0, 29572.5)	(99.0, 29823.0)	(100.0, 19473.0)
SRR6984618	(0.0, 108.0)	(1.0, 103.5)	(2.0, 109.5)	(3.0, 150.5)	(4.0, 181.0)	(5.0, 225.5)	(6.0, 285.5)	(7.0, 331.5)	(8.0, 362.0)	(9.0, 427.0)	(10.0, 585.0)	(11.0, 890.5)	(12.0, 1103.0)	(13.0, 1323.0)	(14.0, 1933.0)	(15.0, 3224.0)	(16.0, 4125.0)	(17.0, 5601.0)	(18.0, 9937.5)	(19.0, 22684.5)	(20.0, 32571.0)	(21.0, 35617.0)	(22.0, 48540.5)	(23.0, 70380.5)	(24.0, 82343.0)	(25.0, 105249.5)	(26.0, 152427.5)	(27.0, 205190.0)	(28.0, 233681.0)	(29.0, 251911.5)	(30.0, 291407.0)	(31.0, 371234.0)	(32.0, 429796.0)	(33.0, 497739.0)	(34.0, 589944.5)	(35.0, 634835.5)	(36.0, 655464.0)	(37.0, 685404.5)	(38.0, 735392.5)	(39.0, 764236.5)	(40.0, 773033.0)	(41.0, 816572.5)	(42.0, 951901.0)	(43.0, 1015648.5)	(44.0, 987607.0)	(45.0, 1048333.5)	(46.0, 1130976.0)	(47.0, 1110271.0)	(48.0, 1067650.0)	(49.0, 1080729.0)	(50.0, 1107188.0)	(51.0, 1129787.0)	(52.0, 1139006.0)	(53.0, 1111412.0)	(54.0, 1077977.0)	(55.0, 1092767.0)	(56.0, 1113398.0)	(57.0, 1040400.5)	(58.0, 955681.0)	(59.0, 885244.5)	(60.0, 826530.0)	(61.0, 733555.5)	(62.0, 609339.0)	(63.0, 492753.0)	(64.0, 407409.0)	(65.0, 373100.0)	(66.0, 319487.5)	(67.0, 333609.0)	(68.0, 367034.0)	(69.0, 310752.0)	(70.0, 213260.5)	(71.0, 173833.0)	(72.0, 175615.0)	(73.0, 242772.0)	(74.0, 331056.5)	(75.0, 351620.5)	(76.0, 351057.0)	(77.0, 296477.0)	(78.0, 262835.5)	(79.0, 314936.0)	(80.0, 346098.0)	(81.0, 302438.0)	(82.0, 217687.5)	(83.0, 211687.5)	(84.0, 246778.0)	(85.0, 272942.0)	(86.0, 237314.0)	(87.0, 164390.0)	(88.0, 153258.0)	(89.0, 182423.0)	(90.0, 143416.0)	(91.0, 46321.5)	(92.0, 17399.0)	(93.0, 15055.5)	(94.0, 11868.5)	(95.0, 10668.0)	(96.0, 10311.0)	(97.0, 11449.5)	(98.0, 19959.0)	(99.0, 21032.5)	(100.0, 14735.0)
