Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR6984609	(12.0, 1.0)	(13.0, 3.0)	(14.0, 13.0)	(15.0, 147.0)	(16.0, 1394.0)	(17.0, 6409.0)	(18.0, 15157.0)	(19.0, 19999.0)	(20.0, 19852.0)	(21.0, 20479.0)	(22.0, 26626.0)	(23.0, 41943.0)	(24.0, 68378.0)	(25.0, 111464.0)	(26.0, 173318.0)	(27.0, 257946.0)	(28.0, 364196.0)	(29.0, 499009.0)	(30.0, 671602.0)	(31.0, 915806.0)	(32.0, 1317949.0)	(33.0, 2115414.0)	(34.0, 4723234.0)	(35.0, 17368365.0)		
SRR6984610	(14.0, 16.0)	(15.0, 117.0)	(16.0, 1322.0)	(17.0, 5996.0)	(18.0, 13425.0)	(19.0, 17666.0)	(20.0, 18286.0)	(21.0, 18738.0)	(22.0, 25145.0)	(23.0, 40706.0)	(24.0, 67013.0)	(25.0, 110458.0)	(26.0, 174657.0)	(27.0, 258868.0)	(28.0, 368520.0)	(29.0, 503534.0)	(30.0, 676812.0)	(31.0, 920935.0)	(32.0, 1317690.0)	(33.0, 2109082.0)	(34.0, 4716357.0)	(35.0, 18553862.0)				
SRR6984611	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 11.0)	(15.0, 246.0)	(16.0, 2419.0)	(17.0, 10762.0)	(18.0, 23018.0)	(19.0, 28338.0)	(20.0, 27833.0)	(21.0, 26855.0)	(22.0, 31071.0)	(23.0, 44837.0)	(24.0, 70398.0)	(25.0, 112860.0)	(26.0, 176659.0)	(27.0, 265390.0)	(28.0, 375159.0)	(29.0, 513016.0)	(30.0, 686419.0)	(31.0, 922318.0)	(32.0, 1305036.0)	(33.0, 2068252.0)	(34.0, 4644285.0)	(35.0, 19183715.0)	
SRR6984612	(13.0, 2.0)	(14.0, 8.0)	(15.0, 138.0)	(16.0, 1475.0)	(17.0, 6855.0)	(18.0, 16102.0)	(19.0, 21446.0)	(20.0, 21168.0)	(21.0, 21337.0)	(22.0, 26918.0)	(23.0, 40753.0)	(24.0, 66721.0)	(25.0, 108733.0)	(26.0, 170290.0)	(27.0, 256590.0)	(28.0, 365945.0)	(29.0, 503383.0)	(30.0, 682435.0)	(31.0, 930940.0)	(32.0, 1338007.0)	(33.0, 2146401.0)	(34.0, 4765774.0)	(35.0, 17974769.0)			
SRR6984613	(13.0, 3.0)	(14.0, 8.0)	(15.0, 199.0)	(16.0, 2051.0)	(17.0, 9092.0)	(18.0, 20539.0)	(19.0, 26905.0)	(20.0, 26833.0)	(21.0, 26531.0)	(22.0, 32415.0)	(23.0, 47340.0)	(24.0, 75076.0)	(25.0, 119893.0)	(26.0, 185664.0)	(27.0, 272759.0)	(28.0, 383327.0)	(29.0, 521899.0)	(30.0, 698845.0)	(31.0, 946681.0)	(32.0, 1352221.0)	(33.0, 2146055.0)	(34.0, 4744770.0)	(35.0, 18247201.0)			
SRR6984614	(13.0, 3.0)	(14.0, 8.0)	(15.0, 141.0)	(16.0, 1409.0)	(17.0, 6905.0)	(18.0, 16372.0)	(19.0, 21425.0)	(20.0, 21535.0)	(21.0, 21421.0)	(22.0, 26083.0)	(23.0, 38533.0)	(24.0, 62349.0)	(25.0, 102967.0)	(26.0, 162234.0)	(27.0, 245467.0)	(28.0, 350440.0)	(29.0, 484804.0)	(30.0, 654508.0)	(31.0, 889742.0)	(32.0, 1263763.0)	(33.0, 2025310.0)	(34.0, 4574531.0)	(35.0, 18665259.0)			
SRR6984615	(13.0, 4.0)	(14.0, 9.0)	(15.0, 125.0)	(16.0, 1327.0)	(17.0, 6285.0)	(18.0, 14616.0)	(19.0, 19294.0)	(20.0, 19553.0)	(21.0, 20955.0)	(22.0, 27714.0)	(23.0, 43471.0)	(24.0, 72562.0)	(25.0, 119027.0)	(26.0, 186531.0)	(27.0, 278453.0)	(28.0, 394819.0)	(29.0, 539865.0)	(30.0, 724455.0)	(31.0, 985627.0)	(32.0, 1408149.0)	(33.0, 2251026.0)	(34.0, 5019212.0)	(35.0, 19267475.0)			
SRR6984616	(13.0, 1.0)	(14.0, 11.0)	(15.0, 129.0)	(16.0, 1453.0)	(17.0, 6645.0)	(18.0, 15473.0)	(19.0, 19951.0)	(20.0, 20666.0)	(21.0, 21840.0)	(22.0, 29163.0)	(23.0, 47084.0)	(24.0, 80159.0)	(25.0, 133472.0)	(26.0, 212971.0)	(27.0, 319759.0)	(28.0, 458749.0)	(29.0, 629484.0)	(30.0, 848001.0)	(31.0, 1152058.0)	(32.0, 1642003.0)	(33.0, 2626802.0)	(34.0, 5932317.0)	(35.0, 24570023.0)			
SRR6984617	(12.0, 2.0)	(13.0, 3.0)	(14.0, 6.0)	(15.0, 215.0)	(16.0, 2369.0)	(17.0, 11737.0)	(18.0, 26135.0)	(19.0, 33299.0)	(20.0, 32268.0)	(21.0, 31052.0)	(22.0, 36527.0)	(23.0, 53181.0)	(24.0, 83793.0)	(25.0, 132813.0)	(26.0, 204946.0)	(27.0, 305866.0)	(28.0, 433053.0)	(29.0, 593124.0)	(30.0, 796918.0)	(31.0, 1083897.0)	(32.0, 1557937.0)	(33.0, 2498946.0)	(34.0, 5549219.0)	(35.0, 20858978.0)		
SRR6984618	(14.0, 6.0)	(15.0, 123.0)	(16.0, 1335.0)	(17.0, 6670.0)	(18.0, 15257.0)	(19.0, 19907.0)	(20.0, 19750.0)	(21.0, 19739.0)	(22.0, 24916.0)	(23.0, 38672.0)	(24.0, 64258.0)	(25.0, 105879.0)	(26.0, 169104.0)	(27.0, 255230.0)	(28.0, 366952.0)	(29.0, 505641.0)	(30.0, 685797.0)	(31.0, 939094.0)	(32.0, 1353920.0)	(33.0, 2184666.0)	(34.0, 4863058.0)	(35.0, 16637697.0)				
SRR6984619	(12.0, 1.0)	(13.0, 2.0)	(14.0, 9.0)	(15.0, 165.0)	(16.0, 1422.0)	(17.0, 7106.0)	(18.0, 16333.0)	(19.0, 20981.0)	(20.0, 21018.0)	(21.0, 21189.0)	(22.0, 25887.0)	(23.0, 39131.0)	(24.0, 63591.0)	(25.0, 104430.0)	(26.0, 166845.0)	(27.0, 253788.0)	(28.0, 364058.0)	(29.0, 504728.0)	(30.0, 686196.0)	(31.0, 938829.0)	(32.0, 1353404.0)	(33.0, 2164350.0)	(34.0, 4744052.0)	(35.0, 17345479.0)		
SRR6984620	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 12.0)	(15.0, 208.0)	(16.0, 2147.0)	(17.0, 10065.0)	(18.0, 22609.0)	(19.0, 29004.0)	(20.0, 28877.0)	(21.0, 27916.0)	(22.0, 33571.0)	(23.0, 48438.0)	(24.0, 75904.0)	(25.0, 120644.0)	(26.0, 184528.0)	(27.0, 272448.0)	(28.0, 383783.0)	(29.0, 522218.0)	(30.0, 700399.0)	(31.0, 957445.0)	(32.0, 1375692.0)	(33.0, 2207000.0)	(34.0, 4861087.0)	(35.0, 17411382.0)	
SRR6984621	(12.0, 1.0)	(13.0, 1.0)	(14.0, 9.0)	(15.0, 96.0)	(16.0, 1343.0)	(17.0, 6286.0)	(18.0, 13717.0)	(19.0, 18117.0)	(20.0, 18471.0)	(21.0, 19867.0)	(22.0, 27310.0)	(23.0, 44316.0)	(24.0, 73214.0)	(25.0, 117746.0)	(26.0, 185452.0)	(27.0, 274218.0)	(28.0, 387928.0)	(29.0, 531907.0)	(30.0, 716283.0)	(31.0, 978786.0)	(32.0, 1410211.0)	(33.0, 2259350.0)	(34.0, 4988435.0)	(35.0, 17809597.0)		
SRR6984622	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 5.0)	(15.0, 141.0)	(16.0, 1491.0)	(17.0, 7039.0)	(18.0, 15478.0)	(19.0, 19996.0)	(20.0, 19934.0)	(21.0, 20228.0)	(22.0, 25090.0)	(23.0, 38273.0)	(24.0, 64809.0)	(25.0, 106797.0)	(26.0, 171935.0)	(27.0, 260439.0)	(28.0, 376621.0)	(29.0, 519983.0)	(30.0, 706124.0)	(31.0, 962415.0)	(32.0, 1375880.0)	(33.0, 2207964.0)	(34.0, 4960409.0)	(35.0, 19525090.0)	
SRR6984623	(10.0, 1.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 14.0)	(15.0, 141.0)	(16.0, 1380.0)	(17.0, 7328.0)	(18.0, 16691.0)	(19.0, 21532.0)	(20.0, 21865.0)	(21.0, 23292.0)	(22.0, 31700.0)	(23.0, 50803.0)	(24.0, 84778.0)	(25.0, 140850.0)	(26.0, 224478.0)	(27.0, 339603.0)	(28.0, 487475.0)	(29.0, 673952.0)	(30.0, 914497.0)	(31.0, 1255830.0)	(32.0, 1810532.0)	(33.0, 2922285.0)	(34.0, 6613621.0)	(35.0, 24713436.0)
SRR6984624	(12.0, 2.0)	(13.0, 4.0)	(14.0, 14.0)	(15.0, 146.0)	(16.0, 1543.0)	(17.0, 7031.0)	(18.0, 15924.0)	(19.0, 21277.0)	(20.0, 21512.0)	(21.0, 21901.0)	(22.0, 27943.0)	(23.0, 43706.0)	(24.0, 73569.0)	(25.0, 122988.0)	(26.0, 197009.0)	(27.0, 299233.0)	(28.0, 429206.0)	(29.0, 590395.0)	(30.0, 800930.0)	(31.0, 1087587.0)	(32.0, 1548615.0)	(33.0, 2485098.0)	(34.0, 5616417.0)	(35.0, 21627227.0)		
SRR6984625	(12.0, 2.0)	(13.0, 1.0)	(14.0, 6.0)	(15.0, 92.0)	(16.0, 885.0)	(17.0, 4349.0)	(18.0, 10212.0)	(19.0, 13849.0)	(20.0, 14684.0)	(21.0, 16220.0)	(22.0, 23297.0)	(23.0, 38554.0)	(24.0, 65937.0)	(25.0, 109148.0)	(26.0, 173001.0)	(27.0, 260170.0)	(28.0, 371276.0)	(29.0, 512724.0)	(30.0, 696479.0)	(31.0, 960133.0)	(32.0, 1390275.0)	(33.0, 2249243.0)	(34.0, 4988878.0)	(35.0, 17355318.0)		
