Sample	Unique Reads	Duplicate Reads
SRR6984609	11608738.0	17129966.0
SRR6984610	13788199.0	16131006.0
SRR6984611	14370840.0	16148060.0
SRR6984612	14044252.0	15421938.0
SRR6984613	11296306.0	18590001.0
SRR6984614	15171311.0	14463898.0
SRR6984615	13391619.0	18008935.0
SRR6984616	18698083.0	20070131.0
SRR6984617	14409510.0	19916774.0
SRR6984618	9831381.0	18446290.0
SRR6984619	9098852.0	19744142.0
SRR6984620	9717008.0	19558371.0
SRR6984621	11728401.0	18154260.0
SRR6984622	16360989.0	15025155.0
SRR6984623	15982681.0	24373406.0
SRR6984624	15458472.0	19580805.0
SRR6984625	11386666.0	17868067.0
SRR6984626	11375745.0	16246795.0
