Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR6984609	(1.0, 31.575141308379735)	(2.0, 9.574688235895671)	(3.0, 4.6027499467009205)	(4.0, 2.9521494713314578)	(5.0, 2.1237727835587736)	(6.0, 1.571089948875735)	(7.0, 1.299090323345243)	(8.0, 1.0998496385422618)	(9.0, 0.8598919255208051)	('>10', 10.333802760268677)	('>50', 3.5006713904873394)	('>100', 7.689672429735294)	('>500', 3.385437338680422)	('>1k', 8.436684323618778)	('>5k', 3.220320558294913)	('>10k+', 7.7749876167641565)
SRR6984610	(1.0, 36.89256834423084)	(2.0, 10.86955729276146)	(3.0, 4.475187016321028)	(4.0, 2.6983168048946005)	(5.0, 1.880390459265047)	(6.0, 1.5124702460537547)	(7.0, 1.1389673865710246)	(8.0, 0.9574469222320697)	(9.0, 0.7767590973738624)	('>10', 9.317853248911938)	('>50', 3.1362909796658367)	('>100', 6.982696897238842)	('>500', 3.1385085959492383)	('>1k', 7.573866908155505)	('>5k', 2.823483932281344)	('>10k+', 5.8256358680934675)
SRR6984611	(1.0, 37.261594608598216)	(2.0, 10.943781099516519)	(3.0, 5.1237949505497475)	(4.0, 3.198231219858732)	(5.0, 2.25536997354341)	(6.0, 1.7009730674374737)	(7.0, 1.3779714728407393)	(8.0, 1.1119891407833746)	(9.0, 0.919454824142576)	('>10', 10.6381865067762)	('>50', 3.2900049620247485)	('>100', 6.985437953984551)	('>500', 3.063528536846592)	('>1k', 6.1261365467678255)	('>5k', 2.241392663888828)	('>10k+', 3.7621524724401443)
SRR6984612	(1.0, 38.55712940443558)	(2.0, 10.426789135502917)	(3.0, 4.591272271986386)	(4.0, 2.8314042362919483)	(5.0, 1.9929533676087037)	(6.0, 1.5296888895315996)	(7.0, 1.187132818772057)	(8.0, 0.9974022072277374)	(9.0, 0.8432445184410815)	('>10', 9.639232574606408)	('>50', 3.10259003259973)	('>100', 7.390064593844152)	('>500', 2.8782183611089662)	('>1k', 6.620402642397552)	('>5k', 2.8513777834642133)	('>10k+', 4.5610971621809995)
SRR6984613	(1.0, 29.042196826351034)	(2.0, 9.577301598717918)	(3.0, 4.508726992512532)	(4.0, 2.902299398251347)	(5.0, 1.9828619302529882)	(6.0, 1.5497218280093306)	(7.0, 1.265289555939331)	(8.0, 1.0520792660573068)	(9.0, 0.870863362632257)	('>10', 10.50972118885709)	('>50', 3.6892296792574797)	('>100', 8.730726611765004)	('>500', 4.126652651617279)	('>1k', 9.794498875694455)	('>5k', 3.8876616192382354)	('>10k+', 6.510168614846286)
SRR6984614	(1.0, 41.183602003588845)	(2.0, 11.628857070338801)	(3.0, 5.0968106248029)	(4.0, 3.009906693476414)	(5.0, 2.1726092053922055)	(6.0, 1.6538625956103532)	(7.0, 1.2373518458225863)	(8.0, 1.0536340988541133)	(9.0, 0.8859057881039596)	('>10', 9.909736499402825)	('>50', 3.2722138476749865)	('>100', 7.0915716653953655)	('>500', 2.9504924868115454)	('>1k', 5.326886655965535)	('>5k', 1.5216006174248975)	('>10k+', 2.0049583013344185)
SRR6984615	(1.0, 33.65309803343391)	(2.0, 10.303777703930228)	(3.0, 4.5024562011501805)	(4.0, 2.776956504832712)	(5.0, 1.9746398530222014)	(6.0, 1.5141324718928972)	(7.0, 1.1869408644768573)	(8.0, 0.9386040879151328)	(9.0, 0.8468955410633601)	('>10', 9.73621768564846)	('>50', 3.33653032875411)	('>100', 7.3901654610703655)	('>500', 3.4183083872344415)	('>1k', 8.470285528721957)	('>5k', 3.169583059887901)	('>10k+', 6.781408286965126)
SRR6984616	(1.0, 38.28473247030913)	(2.0, 11.490951350417092)	(3.0, 5.111850042963688)	(4.0, 2.9836068120061734)	(5.0, 2.139390934775445)	(6.0, 1.5677307058304872)	(7.0, 1.3209237462294785)	(8.0, 1.1193549850482998)	(9.0, 0.9103381207917751)	('>10', 10.000416504165287)	('>50', 2.9939137250895245)	('>100', 6.721955070943912)	('>500', 2.6601372366053244)	('>1k', 6.365539574703506)	('>5k', 2.145672201587206)	('>10k+', 4.183486518533871)
SRR6984617	(1.0, 33.19602473489336)	(2.0, 9.841916632806868)	(3.0, 4.500700849011998)	(4.0, 2.8706369962147607)	(5.0, 1.9281835678502348)	(6.0, 1.507365025661933)	(7.0, 1.1704509554270104)	(8.0, 1.023697204015549)	(9.0, 0.8206829034660619)	('>10', 9.823847896728035)	('>50', 3.147170923565327)	('>100', 7.3602882900537585)	('>500', 3.2011112738445964)	('>1k', 8.652366074730267)	('>5k', 3.263253859771561)	('>10k+', 7.692302811958586)
SRR6984618	(1.0, 26.54677596041935)	(2.0, 8.43026009852879)	(3.0, 4.315326140751085)	(4.0, 2.838512097392041)	(5.0, 2.0756823848204125)	(6.0, 1.6081758720753494)	(7.0, 1.3392197240290373)	(8.0, 1.1185347374404329)	(9.0, 0.9281995543836701)	('>10', 11.756996792168628)	('>50', 4.153130505491727)	('>100', 9.56238547127372)	('>500', 4.199659701683792)	('>1k', 9.944935112201831)	('>5k', 3.817198702892493)	('>10k+', 7.36500714444765)
SRR6984619	(1.0, 23.803794854080838)	(2.0, 8.04854481902453)	(3.0, 4.016029478156405)	(4.0, 2.6199572246348795)	(5.0, 1.9139134588553257)	(6.0, 1.4532373196912698)	(7.0, 1.1923685843265233)	(8.0, 1.0301439250861282)	(9.0, 0.8568285685508678)	('>10', 11.082237838775931)	('>50', 4.0824499080270895)	('>100', 9.861707408257105)	('>500', 4.675032300018847)	('>1k', 10.908127075339644)	('>5k', 5.1191093049705945)	('>10k+', 9.336517932204018)
