Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR6984609	59.6059102081874	53.0	75.0	75	30.0	28.738704
SRR6984610	53.915224302191426	52.0	75.0	75	20.0	29.919204999999998
SRR6984611	52.91167388082806	51.0	75.0	75	20.0	30.5189
SRR6984612	52.33774188181258	51.0	75.0	75	20.0	29.466189999999997
SRR6984613	62.20240584768409	53.0	75.0	75	20.0	29.886307
SRR6984614	48.80646609442791	50.0	75.0	75	10.0	29.635209
SRR6984615	57.3522844447272	53.0	75.0	75	20.0	31.400554
SRR6984616	51.76955344831145	50.0	75.0	75	20.0	38.768214
SRR6984617	58.02193695594352	51.0	75.0	75	30.0	34.326284
SRR6984618	65.23270744300291	52.0	75.0	75	20.0	28.277670999999998
SRR6984619	68.453860493603	52.0	75.0	75	30.0	28.842993999999997
SRR6984620	66.80825996064985	52.0	75.0	75	30.0	29.275378999999997
SRR6984621	60.751820997330306	55.0	75.0	75	30.0	29.882661
SRR6984622	47.87193977330314	50.0	75.0	75	10.0	31.386143999999998
SRR6984623	60.39586283192087	53.0	75.0	75	20.0	40.356086999999995
SRR6984624	55.88244738966275	50.0	75.0	75	20.0	35.039277
SRR6984625	61.077526281473965	52.0	75.0	75	20.0	29.254732999999998
SRR6984626	58.817166862781356	49.0	75.0	75	20.0	27.622539999999997
