Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR6984609 - polya	(1, 0.0029952363383235763)	(2, 0.004143894934088443)	(3, 0.005299823520965746)	(4, 0.006721106783446958)	(5, 0.00852769957488727)	(6, 0.010228877495197262)	(7, 0.012362619886697188)	(8, 0.015201551416103394)	(9, 0.019592626048014657)	(10, 0.02336938643092509)	(11, 0.02575757851136027)	(12, 0.028203930520694937)	(13, 0.030359482885532172)	(14, 0.03219515564142223)	(15, 0.03525218690420151)	(16, 0.03683704496671253)	(17, 0.03864727275370906)	(18, 0.04054474043405482)	(19, 0.042711197785560706)	(20, 0.0445141555814448)	(21, 0.04638254329734082)	(22, 0.048567175626627795)	(23, 0.05042829335141138)	(24, 0.05487389291666591)	(25, 0.05763285454383532)	(26, 0.05962119711308653)	(27, 0.06180946443792972)	(28, 0.06407043167389728)	(29, 0.06593154939868086)	(30, 0.06756366240342271)	(31, 0.06922849036817053)	(32, 0.0707842684662318)	(33, 0.0722237267064941)	(34, 0.07387764968457326)	(35, 0.0754479677648594)	(36, 0.07704009581848287)	(37, 0.07859223892098792)	(38, 0.08021708193461734)	(39, 0.08177649502823482)	(40, 0.08335408309963341)	(41, 0.08483352629101411)	(42, 0.08636022442462564)	(43, 0.08784693760711877)	(44, 0.08940635070073627)	(45, 0.09071858409653094)	(46, 0.09233979211460414)	(47, 0.09373563040819183)	(48, 0.09600750263082804)	(49, 0.09813761002677174)	(50, 0.10014412757380405)	(51, 0.10215064512083634)	(52, 0.1044334223301412)
SRR6984610 - polya	(1, 0.0031660622672395056)	(2, 0.004414355540005742)	(3, 0.005690543634509772)	(4, 0.007284035326281197)	(5, 0.008978645746852122)	(6, 0.010809243423394788)	(7, 0.012733986123302505)	(8, 0.015237546374269426)	(9, 0.018644201478997396)	(10, 0.021590592025051782)	(11, 0.024020928368956997)	(12, 0.02612698741016037)	(13, 0.02864798192471341)	(14, 0.030673843353420625)	(15, 0.03340404903100712)	(16, 0.03533925228906651)	(17, 0.03743136391940098)	(18, 0.0396455153948383)	(19, 0.04196775930450957)	(20, 0.04404243667125792)	(21, 0.04598461363475176)	(22, 0.047857053543901115)	(23, 0.049980546848690605)	(24, 0.0532895700773363)	(25, 0.05582102515004102)	(26, 0.05793405789667883)	(27, 0.06024235439548121)	(28, 0.06237979511113959)	(29, 0.0644335513615846)	(30, 0.06634783350334066)	(31, 0.06825862879237947)	(32, 0.07006133164718434)	(33, 0.07179429744764473)	(34, 0.07370857958940077)	(35, 0.07548338762246785)	(36, 0.07709780043054262)	(37, 0.07889701643263028)	(38, 0.08078340375264853)	(39, 0.08251985640582614)	(40, 0.08414472977205258)	(41, 0.08583236648718906)	(42, 0.08738750279907102)	(43, 0.089005402459863)	(44, 0.09068955232228226)	(45, 0.09215751731623362)	(46, 0.09388699626397679)	(47, 0.09544561942857598)	(48, 0.09778181074911614)	(49, 0.09995063313922954)	(50, 0.1021264292347774)	(51, 0.10432314644662859)	(52, 0.10656867959652093)
SRR6984611 - polya	(1, 0.004746108550801626)	(2, 0.006199068858050644)	(3, 0.007621188026702395)	(4, 0.009509351067490623)	(5, 0.011609975285282246)	(6, 0.014303434722776887)	(7, 0.018100321563418186)	(8, 0.022452348898810294)	(9, 0.031516216853229286)	(10, 0.03747883698203421)	(11, 0.041049555472962226)	(12, 0.0445722988594056)	(13, 0.048204699627528144)	(14, 0.05081934282194088)	(15, 0.05549691550919302)	(16, 0.05743305365446589)	(17, 0.059537104665434985)	(18, 0.061802214955745366)	(19, 0.06438601701156084)	(20, 0.06662028616327395)	(21, 0.06920066142591194)	(22, 0.0717981706544373)	(23, 0.07377543031783987)	(24, 0.08021437469831369)	(25, 0.0843025389590403)	(26, 0.08669786739009469)	(27, 0.08909662261432656)	(28, 0.09134802573192705)	(29, 0.09342466239747635)	(30, 0.09539164168134648)	(31, 0.09727980472213471)	(32, 0.09922965004011747)	(33, 0.10093961983567705)	(34, 0.10297513498309666)	(35, 0.10467482439912382)	(36, 0.10636080664244106)	(37, 0.10798167981538631)	(38, 0.10978074623356021)	(39, 0.11160037341079897)	(40, 0.11329663603364865)	(41, 0.1150888488654676)	(42, 0.11681252583373707)	(43, 0.11860473866555601)	(44, 0.12060598588120089)	(45, 0.12210692129293454)	(46, 0.12408075416315963)	(47, 0.1260545870333847)	(48, 0.12870692495274966)	(49, 0.1312290447313706)	(50, 0.13357982485111783)	(51, 0.13586892269367054)	(52, 0.13828823867696724)
SRR6984612 - polya	(1, 0.004488233754871604)	(2, 0.006058761048242947)	(3, 0.007639923966625834)	(4, 0.010082572510943792)	(5, 0.012500404596901481)	(6, 0.01564854960031853)	(7, 0.019324930645975603)	(8, 0.023809619192510026)	(9, 0.031080841492068998)	(10, 0.037082879206917045)	(11, 0.04067772046081894)	(12, 0.04406339442282714)	(13, 0.04757315067663669)	(14, 0.05059012297157803)	(15, 0.05540451589347032)	(16, 0.057634451937557396)	(17, 0.05997074423175991)	(18, 0.06243820923443814)	(19, 0.0653736417376243)	(20, 0.06789428486536025)	(21, 0.07062055007665272)	(22, 0.07381123758011594)	(23, 0.07614398466598128)	(24, 0.08242609383946665)	(25, 0.08626555446863407)	(26, 0.0892080773884946)	(27, 0.09241649093364374)	(28, 0.09520656989500546)	(29, 0.09765630885599778)	(30, 0.09998551073352593)	(31, 0.1021232713608463)	(32, 0.10444892803003727)	(33, 0.10638815699047548)	(34, 0.10869963282631773)	(35, 0.11071331116183673)	(36, 0.11276244158072757)	(37, 0.11493210908308256)	(38, 0.1171124122104491)	(39, 0.11930689617116436)	(40, 0.12131702929834619)	(41, 0.12327043909213312)	(42, 0.12516003513585078)	(43, 0.1270779928462659)	(44, 0.1295100057655723)	(45, 0.13131451680919765)	(46, 0.13355863368663343)	(47, 0.1356573970222448)	(48, 0.13885872015071957)	(49, 0.1418792376539981)	(50, 0.1449600236990087)	(51, 0.14764020120191781)	(52, 0.1506039953718014)
SRR6984613 - polya	(1, 0.004252639281117602)	(2, 0.005569766439025525)	(3, 0.006778300666361252)	(4, 0.008782015385306284)	(5, 0.010894323034823511)	(6, 0.013349924464859293)	(7, 0.01703507810879316)	(8, 0.021403316316003746)	(9, 0.030784344318337303)	(10, 0.037152794246732526)	(11, 0.040522678092230986)	(12, 0.0432269923632547)	(13, 0.04623606743943264)	(14, 0.048649632896343706)	(15, 0.05310894904532452)	(16, 0.054667783048699584)	(17, 0.056429790922177474)	(18, 0.05830039172622755)	(19, 0.06085407709355435)	(20, 0.06286830080578057)	(21, 0.06546051914847169)	(22, 0.06804923449340242)	(23, 0.06974118241167243)	(24, 0.07700639976672838)	(25, 0.08060047546889201)	(26, 0.08286691501986655)	(27, 0.08518589953724699)	(28, 0.08742081210837799)	(29, 0.08936147286763593)	(30, 0.09089578588668826)	(31, 0.09258773380495827)	(32, 0.09433572968739458)	(33, 0.09570189881394801)	(34, 0.09745690069190512)	(35, 0.09901223169751978)	(36, 0.10062361066730076)	(37, 0.10219995965947778)	(38, 0.10380082963597759)	(39, 0.10554181952289311)	(40, 0.10700607258673756)	(41, 0.10864897853636206)	(42, 0.10992757271890566)	(43, 0.1118226945072785)	(44, 0.11416970300674208)	(45, 0.11558841709970141)	(46, 0.11757461682984448)	(47, 0.1197920144121735)	(48, 0.12246129870559329)	(49, 0.1248993851468271)	(50, 0.12721136366868674)	(51, 0.12916953941674666)	(52, 0.13141145798339846)
SRR6984614 - polya	(1, 0.004528372950317023)	(2, 0.006179855775899203)	(3, 0.007739785182579173)	(4, 0.010060312223215968)	(5, 0.012426615973303868)	(6, 0.01530350609803871)	(7, 0.018979727995496697)	(8, 0.02368768649827575)	(9, 0.030730257183061167)	(10, 0.03677630411594945)	(11, 0.040385621591901975)	(12, 0.043720278811147865)	(13, 0.047146489449295975)	(14, 0.05002690085937321)	(15, 0.05469612522338594)	(16, 0.056791290002109605)	(17, 0.05915407246685511)	(18, 0.06162601477721479)	(19, 0.06455572418208552)	(20, 0.06703470906312999)	(21, 0.06957355579499513)	(22, 0.07249622262918108)	(23, 0.07481322838447549)	(24, 0.08123957413434217)	(25, 0.08473268919399575)	(26, 0.08739125962750224)	(27, 0.09010264934114462)	(28, 0.09284925190821093)	(29, 0.09517682151953252)	(30, 0.09733536943441924)	(31, 0.09956082177081144)	(32, 0.10186022109939388)	(33, 0.10395538587811753)	(34, 0.10612097636368906)	(35, 0.10819501343035837)	(36, 0.11011763522730478)	(37, 0.11216702329657734)	(38, 0.11428331578735536)	(39, 0.11634678899799748)	(40, 0.11842434735000917)	(41, 0.12059698040626549)	(42, 0.12248086806444558)	(43, 0.12447039428289745)	(44, 0.12685078317435494)	(45, 0.12880509653938288)	(46, 0.13113618743604685)	(47, 0.13320670321737377)	(48, 0.13651319015388053)	(49, 0.13931261200108272)	(50, 0.14241134310238832)	(51, 0.14520020109356332)	(52, 0.14820033620528192)
SRR6984615 - polya	(1, 0.004032888153017019)	(2, 0.005435920964701423)	(3, 0.0067558357188215856)	(4, 0.008335078812542182)	(5, 0.010339886360991698)	(6, 0.012411188355492608)	(7, 0.015207279811953706)	(8, 0.01887112378938549)	(9, 0.025673505620443054)	(10, 0.031145998530472743)	(11, 0.0341216249912726)	(12, 0.03674150616569751)	(13, 0.03964066401353827)	(14, 0.04221732379802977)	(15, 0.04594766222151295)	(16, 0.047716414486480015)	(17, 0.04964142869966786)	(18, 0.051652885692722514)	(19, 0.05396356769300844)	(20, 0.05605481802132477)	(21, 0.05839874724463639)	(22, 0.060765949524066006)	(23, 0.06291372013152602)	(24, 0.06891816860996686)	(25, 0.07218969535569542)	(26, 0.07442390874302224)	(27, 0.07691412574764693)	(28, 0.0791749369133943)	(29, 0.08125288835250036)	(30, 0.08299504283904686)	(31, 0.08507631900045548)	(32, 0.08701795682515617)	(33, 0.08875678658940012)	(34, 0.09072834691482394)	(35, 0.09246717667906788)	(36, 0.09420600644331183)	(37, 0.09616094315722279)	(38, 0.0979795662567284)	(39, 0.09984473546847)	(40, 0.10158688995501651)	(41, 0.10347533222287608)	(42, 0.10528065643317142)	(43, 0.10694301758445626)	(44, 0.10915728263796766)	(45, 0.1108961124022116)	(46, 0.11295079078519966)	(47, 0.11512515917108024)	(48, 0.11777496284622826)	(49, 0.12027847874006324)	(50, 0.1227720204669905)	(51, 0.1251724699694458)	(52, 0.12783557253380412)
SRR6984616 - polya	(1, 0.0039098753050744025)	(2, 0.0056081854032235595)	(3, 0.007282310705671225)	(4, 0.009203658364178576)	(5, 0.011256678799282938)	(6, 0.013634850376596234)	(7, 0.0160640787448349)	(8, 0.01914360939749144)	(9, 0.022970181517371818)	(10, 0.02661133687020743)	(11, 0.029314659589729664)	(12, 0.032023356708296674)	(13, 0.03484222900728159)	(14, 0.03746762294065457)	(15, 0.040719134362743936)	(16, 0.04298713075963933)	(17, 0.04544591832262426)	(18, 0.04817880023689276)	(19, 0.05097348774017618)	(20, 0.053558573680713345)	(21, 0.05609529002984753)	(22, 0.05867500157133992)	(23, 0.06144819147844424)	(24, 0.06540374917539923)	(25, 0.06851015182327966)	(26, 0.07131290092513023)	(27, 0.07458590994339871)	(28, 0.07771649738698062)	(29, 0.08026664973372674)	(30, 0.08277918128715943)	(31, 0.08502299288835334)	(32, 0.08748446765086065)	(33, 0.08967184806208442)	(34, 0.09195865485563652)	(35, 0.09430995443772594)	(36, 0.09647583725277059)	(37, 0.09888625522435254)	(38, 0.10132623239068075)	(39, 0.10365334717706869)	(40, 0.10604764195151631)	(41, 0.10828607915366543)	(42, 0.110382094781128)	(43, 0.11258559838948609)	(44, 0.11487240518303819)	(45, 0.11688780482482912)	(46, 0.1191128060293663)	(47, 0.12110939527450053)	(48, 0.12453020026650033)	(49, 0.12756673572679866)	(50, 0.13088542713694773)	(51, 0.1339112137991565)	(52, 0.13738038838255928)
SRR6984617 - polya	(1, 0.003696160594884239)	(2, 0.005242326784328389)	(3, 0.006724450587227515)	(4, 0.008349907350489313)	(5, 0.010210186197749532)	(6, 0.012293088579190073)	(7, 0.014470529721720887)	(8, 0.01732499037915624)	(9, 0.02129866798240225)	(10, 0.024799651780196892)	(11, 0.02738574434163405)	(12, 0.030118219500888405)	(13, 0.03282629756050656)	(14, 0.035342248460489646)	(15, 0.03867855183573994)	(16, 0.04083464551608908)	(17, 0.04310357578225564)	(18, 0.04551583900878488)	(19, 0.04803483954622249)	(20, 0.05050504588438769)	(21, 0.05264284174000969)	(22, 0.05489042454399457)	(23, 0.05730268777052381)	(24, 0.06125806754904267)	(25, 0.06429245681629499)	(26, 0.06675046460464211)	(27, 0.06951038650098719)	(28, 0.07202328776351574)	(29, 0.07448129555186285)	(30, 0.07657029720821244)	(31, 0.07877518508783397)	(32, 0.08089468311872883)	(33, 0.08278545834053429)	(34, 0.08503304114451918)	(35, 0.08711899316341425)	(36, 0.08914090279576428)	(37, 0.09133969140047678)	(38, 0.09370011079027908)	(39, 0.09588060157026443)	(40, 0.09786591555316017)	(41, 0.10003115814587288)	(42, 0.10210491161494985)	(43, 0.10404143139857319)	(44, 0.10619752507892233)	(45, 0.1079663148025468)	(46, 0.10996077769780611)	(47, 0.11185765219452064)	(48, 0.11471821212686505)	(49, 0.11738664489957437)	(50, 0.12019841063264637)	(51, 0.12289429014244643)	(52, 0.12580974354897229)
SRR6984618 - polya	(1, 0.004476137801860468)	(2, 0.005648811920199119)	(3, 0.006884373925010191)	(4, 0.008896786292127624)	(5, 0.0108574086350913)	(6, 0.013876027185767451)	(7, 0.017908250494881425)	(8, 0.023919592584156848)	(9, 0.03557974659363139)	(10, 0.0440585134050894)	(11, 0.047687514383291975)	(12, 0.05097618091705557)	(13, 0.0544646089725551)	(14, 0.05742033963675883)	(15, 0.0632504166414961)	(16, 0.06495208886369098)	(17, 0.06687201904481957)	(18, 0.06895471787328852)	(19, 0.07170328844087723)	(20, 0.07371940009543422)	(21, 0.07631260059056165)	(22, 0.07903527614607346)	(23, 0.08115496784893797)	(24, 0.09053266150820763)	(25, 0.09437252187046478)	(26, 0.0968621423172847)	(27, 0.09962920932207117)	(28, 0.10192646682203427)	(29, 0.10412014427368986)	(30, 0.1058662079451594)	(31, 0.10781203313836485)	(32, 0.10952850251031795)	(33, 0.11111549682188668)	(34, 0.1131759999257183)	(35, 0.11492206359718785)	(36, 0.11658304365754764)	(37, 0.1183106108918194)	(38, 0.12014545746183825)	(39, 0.12200619904393396)	(40, 0.12373006699076618)	(41, 0.12549832638687303)	(42, 0.12684116772743118)	(43, 0.1285539378119447)	(44, 0.13103985897132508)	(45, 0.13246038534811386)	(46, 0.13469105567416498)	(47, 0.1367293630533593)	(48, 0.13918199062578368)	(49, 0.14158652746149383)	(50, 0.14406135075855553)	(51, 0.1463364125338813)	(52, 0.14878164153142656)
