Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR6984609	0.24686708820498468	2.720350704371264
SRR6984610	0.22763220593854253	1.7895504463555034
SRR6984611	0.15829043045388355	0.7310103742051296
SRR6984612	0.2939651301107413	0.8648358478137073
SRR6984613	0.3090239534286256	1.4459954395172756
SRR6984614	0.14495371111959585	0.10935351630800558
SRR6984615	0.2250271796048235	1.7066198545766464
SRR6984616	0.18706670755151167	0.6165000016257557
SRR6984617	0.2656752661258501	2.1772917102955422
SRR6984618	0.35661500846045535	1.8199754345118289
SRR6984619	0.7688407661251001	3.7798997305388236
SRR6984620	0.5105356717246176	2.9268092648658075
SRR6984621	0.26760921148384287	3.4877632726517325
SRR6984622	0.1374614490702273	0.565095654302338
SRR6984623	0.18887724118071283	2.1317543864587005
SRR6984624	0.27183855211074637	0.44622054464124183
SRR6984625	0.3741550210897036	1.9991855109385452
SRR6984626	0.20169061441051686	0.38661264217947733
