Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR6984609	(1, 0.00022900472004172974)	(2, 7.996990223679452e-05)	(3, 7.633490668057658e-05)	(4, 0.0006724741779003175)	(5, 0.00012722484446762763)	(6, 7.996990223679452e-05)	(7, 0.0001453998222487173)	(8, 0.00010541487113032005)	(9, 0.0001344948355800635)	(10, 0.00023263971559794769)	(11, 9.087488890544831e-05)	(12, 0.0001999247555919863)	(13, 0.00010177987557410212)	(14, 8.360489779301244e-05)	(15, 0.00044710445341480574)	(16, 0.0001235898489114097)	(17, 0.0001890197689233325)	(18, 0.0005088993778705105)	(19, 2.907996444974346e-05)	(20, 0.00013085984002384556)	(21, 0.00013812983113628145)	(22, 0.00022536972448551182)	(23, 0.001450363226930955)	(24, 0.00011631985779897384)	(25, 0.0003313076479858425)	(26, 0.0001969118030211011)	(27, 0.00021182650766238563)	(28, 0.0003218991582117536)	(29, 0.00033341792133784567)	(30, 2.9360207318295916e-05)	(31, 0.00029776641004471236)	(32, 6.996460932296094e-05)	(33, 7.747166713567768e-05)	(34, 0.0007095859480990359)	(35, 2.9616581879945854e-05)	(36, 0.0010051455291238136)	(37, 0.00013376157845796532)	(38, 0.00011538492317318216)	(39, 0.0001416969643364402)	(40, 3.7352459186928855e-05)	(41, 0.0001571638481388601)	(42, 4.873184921361228e-05)	(43, 9.763213166579154e-05)	(44, 0.00010156564953433466)	(45, 0.00020725528398288587)	(46, 0.000626607876755441)	(47, 7.562120551696017e-06)	(48, 0.00014392698568865806)	(49, 0.00010243238599436674)	(50, 0.00015581315312313405)	(51, 0.000342642289825123)	(52, 0.00024789930132060914)	(53, 0.000156649875073635)	(54, 0.0005397494873336873)	(55, 0.00026847878081791217)	(56, 3.843219400325567e-06)	(57, 0.0001501889666024795)	(58, 5.788244037770994e-05)	(59, 8.121876099233083e-05)	(60, 0.000209303745277342)	(61, 0.00017870334021794426)	(62, 3.909722780715261e-05)	(63, 0.0)
SRR6984610	(1, 0.00017085578314398212)	(2, 7.322390706170663e-05)	(3, 6.625020162725837e-05)	(4, 0.000697370543444825)	(5, 0.00010809243423394787)	(6, 8.019761249615487e-05)	(7, 0.00014993466684063737)	(8, 6.276334891003424e-05)	(9, 0.00012552669782006848)	(10, 0.00025802710107458525)	(11, 6.625020162725837e-05)	(12, 0.00019875060488177513)	(13, 0.00010460558151672375)	(14, 0.00010460558151672375)	(15, 0.0004986199385630498)	(16, 6.97370543444825e-05)	(17, 0.00022664542661956813)	(18, 0.0005648701401903082)	(19, 4.5329085323913624e-05)	(20, 0.00011855299238562024)	(21, 0.00010809243423394787)	(22, 0.00025454024835736114)	(23, 0.0014400701722135636)	(24, 0.00014644781412341326)	(25, 0.0003212851742222987)	(26, 0.00017488168729209628)	(27, 0.00021018243520101794)	(28, 0.00037891040803739146)	(29, 0.00029518134378003535)	(30, 4.223629199145349e-05)	(31, 0.0003066970905480152)	(32, 8.121292563738465e-05)	(33, 5.659387232677075e-05)	(34, 0.0007192600224543767)	(35, 2.1293629137804632e-05)	(36, 0.0011127764440656343)	(37, 0.00011039509800182378)	(38, 9.631035047336537e-05)	(39, 0.00019295049644197499)	(40, 3.9368895137010915e-05)	(41, 0.00019001023689113998)	(42, 5.0276649057030925e-05)	(43, 0.00010791175537786328)	(44, 8.286951326807563e-05)	(45, 0.00024902604650038103)	(46, 0.000607299457518915)	(47, 3.6205625796682167e-06)	(48, 0.0001668128515376863)	(49, 0.00013075418761170177)	(50, 0.00012732851105095062)	(51, 0.0003498233246450824)	(52, 0.00023360399275944424)	(53, 0.00010237561518147009)	(54, 0.0005164433928045371)	(55, 0.0002385079704593568)	(56, 3.676318264313093e-06)	(57, 0.0001804767606705043)	(58, 8.118419697943125e-05)	(59, 0.00014791309780095378)	(60, 0.00014820864472123973)	(61, 0.00020793124782994966)	(62, 2.241057982557024e-05)	(63, 0.0)
SRR6984611	(1, 0.00024330231560066098)	(2, 6.853586354948197e-05)	(3, 9.937700214674886e-05)	(4, 0.0006133959787678636)	(5, 0.0001850468315836013)	(6, 7.538944990443016e-05)	(7, 0.00014735210663138624)	(8, 7.538944990443016e-05)	(9, 4.797510448463737e-05)	(10, 0.00025700948831055735)	(11, 8.909662261432655e-05)	(12, 0.0002193147633583423)	(13, 9.937700214674886e-05)	(14, 7.881624308190427e-05)	(15, 0.0004557634926040551)	(16, 0.00012336455438906752)	(17, 0.00022274155653581642)	(18, 0.0004934582175562701)	(19, 6.510907037200788e-05)	(20, 0.00013364493392148985)	(21, 0.00011308417485664525)	(22, 0.00033925252456993573)	(23, 0.0013638636846346913)	(24, 0.00013021814074401576)	(25, 0.00033632785239051026)	(26, 0.00013404624856793926)	(27, 0.00024095765107321848)	(28, 0.000303370309692478)	(29, 0.0003107458611931384)	(30, 2.7664873394992113e-05)	(31, 0.00033249279616258984)	(32, 7.631577678481701e-05)	(33, 3.822190183774726e-05)	(34, 0.0006717008966719727)	(35, 6.971456174411333e-06)	(36, 0.0010719006516387824)	(37, 0.00016086760515661807)	(38, 0.00016112256754835972)	(39, 0.0002140131607568628)	(40, 3.5139773015339006e-05)	(41, 0.0002111829465546998)	(42, 2.1153418339520122e-05)	(43, 0.00010240350561805052)	(44, 0.00010256753055053476)	(45, 0.0001700417473745023)	(46, 0.0005889999504672331)	(47, 0.0)	(48, 0.00013881029892691096)	(49, 9.624378336451157e-05)	(50, 0.00018207199862253608)	(51, 0.00030035397788987097)	(52, 0.00029725606862589693)	(53, 0.00013989573965101536)	(54, 0.0004527070100710423)	(55, 0.0002447220736395351)	(56, 7.2102232890789055e-06)	(57, 0.00018417988003822708)	(58, 7.597205979174756e-05)	(59, 0.00010873167545073629)	(60, 0.00021786635562129147)	(61, 0.0001855518488440793)	(62, 4.390920586139598e-05)	(63, 0.0)
SRR6984612	(1, 0.00024461937526551393)	(2, 7.799458341798994e-05)	(3, 6.735895840644587e-05)	(4, 0.0007374033341337233)	(5, 0.00015244395849879855)	(6, 4.6087708383357704e-05)	(7, 0.00011344666678980357)	(8, 0.00010635625011544085)	(9, 0.00014180833348725446)	(10, 0.00023398375025396987)	(11, 8.153979175517132e-05)	(12, 0.00020562208355651897)	(13, 7.44493750808086e-05)	(14, 0.00010635625011544085)	(15, 0.0004183345837874006)	(16, 0.00010635625011544085)	(17, 0.00022334812524242575)	(18, 0.0004892387505310279)	(19, 4.6087708383357704e-05)	(20, 0.00012408229180134765)	(21, 0.000127627500138529)	(22, 0.0003261591670206853)	(23, 0.0014499902099071769)	(24, 0.00010990145845262221)	(25, 0.0003373250006719869)	(26, 0.00013158609288633846)	(27, 0.00019234135889526247)	(28, 0.00022831459096477828)	(29, 0.0002929917725766418)	(30, 6.0838720452914926e-05)	(31, 0.00033335033539524256)	(32, 0.00010052373584401415)	(33, 5.394227593897949e-05)	(34, 0.0005979558267697476)	(35, 2.52555364194757e-05)	(36, 0.001033608129739938)	(37, 0.00017013964519078392)	(38, 0.00010515188391928192)	(39, 0.000163443013523057)	(40, 3.2742770178059545e-05)	(41, 0.00022594377534920613)	(42, 2.1903138916935047e-05)	(43, 0.00012066470897317624)	(44, 0.00010255327248774423)	(45, 0.00019444808168345664)	(46, 0.0006137062884021198)	(47, 3.6808073099949784e-06)	(48, 0.0001769657018349131)	(49, 8.493066057775374e-05)	(50, 0.00013685227632679022)	(51, 0.00035197190034186104)	(52, 0.0002338007182877623)	(53, 0.0001449817467980781)	(54, 0.00042827061235733516)	(55, 0.00022758848509717023)	(56, 0.0)	(57, 0.0001273422261653368)	(58, 9.381487181117152e-05)	(59, 0.00013913903099141412)	(60, 0.00015826709886647972)	(61, 0.00017371878712412966)	(62, 4.5602749207338714e-05)	(63, 0.0)
SRR6984613	(1, 0.00020317387010281788)	(2, 6.305395968708141e-05)	(3, 0.00010158693505140894)	(4, 0.000655060581193568)	(5, 0.00012610791937416282)	(6, 5.6047964166294595e-05)	(7, 0.0001506289036969167)	(8, 0.00010158693505140894)	(9, 9.808393729101554e-05)	(10, 0.0002452098432275388)	(11, 8.75749440098353e-05)	(12, 0.00019266487682163765)	(13, 7.356295296826165e-05)	(14, 6.655695744747482e-05)	(15, 0.0004623957043719304)	(16, 0.00013311391489494965)	(17, 0.00025922183426911247)	(18, 0.0005429646528609788)	(19, 7.005995520786823e-05)	(20, 0.00010859293057219576)	(21, 0.00013311391489494965)	(22, 0.0002907488141126532)	(23, 0.0014222170907197253)	(24, 0.00015413190145731012)	(25, 0.00031226792616133667)	(26, 0.00016517100804604209)	(27, 0.00022527267233051442)	(28, 0.00029967100706627763)	(29, 0.0002860497761925362)	(30, 6.721013489215569e-05)	(31, 0.00038267238194955637)	(32, 9.937979201371215e-05)	(33, 3.911233489261175e-05)	(34, 0.0006340466750253967)	(35, 3.924941418465265e-05)	(36, 0.001022354057439068)	(37, 0.00015039666044931648)	(38, 0.0001219584635299715)	(39, 0.0001688905964806218)	(40, 5.3992465675369794e-05)	(41, 0.00025240848173269337)	(42, 3.612205599373817e-05)	(43, 9.4075453579372e-05)	(44, 0.00011960529383178828)	(45, 0.00018516563320038684)	(46, 0.0005855061764537419)	(47, 7.285128150321626e-06)	(48, 0.00014594568186315134)	(49, 8.770854625496568e-05)	(50, 0.00017571514875806547)	(51, 0.000311700042468214)	(52, 0.00022040396299549705)	(53, 0.00011407838811800724)	(54, 0.0004755961828576628)	(55, 0.00024379241711020879)	(56, 1.110409620115174e-05)	(57, 0.00011867963271323966)	(58, 0.00010776900034367163)	(59, 0.00012290942703759342)	(60, 0.00020902129956902794)	(61, 0.00018705089314369813)	(62, 6.399673300442525e-05)	(63, 0.0)
SRR6984614	(1, 0.00033804339286970004)	(2, 5.634056547828333e-05)	(3, 0.00010563856027178126)	(4, 0.0007817253460111812)	(5, 9.507470424460312e-05)	(6, 5.634056547828333e-05)	(7, 0.00014789398438049375)	(8, 9.859598958699584e-05)	(9, 0.00010915984561417397)	(10, 0.0002676176860218458)	(11, 5.986185082067604e-05)	(12, 0.00017606426711963544)	(13, 8.451084821742501e-05)	(14, 9.155341890221041e-05)	(15, 0.0004683309505382302)	(16, 8.098956287503229e-05)	(17, 0.00021127712054356252)	(18, 0.0005141076599893355)	(19, 5.281928013589063e-05)	(20, 0.00014789398438049375)	(21, 0.00014789398438049375)	(22, 0.00028874539807620213)	(23, 0.0013592161421635855)	(24, 0.0001267662723261375)	(25, 0.00034207441613804117)	(26, 0.000158930994810903)	(27, 0.00021222312531022155)	(28, 0.0003081839960475934)	(29, 0.0002980194690442565)	(30, 4.619275576067192e-05)	(31, 0.0003416362082565927)	(32, 7.841218183143413e-05)	(33, 8.21107459761272e-05)	(34, 0.0006364698208537691)	(35, 1.7905893570878172e-05)	(36, 0.0010330786029333692)	(37, 0.0001365237349387375)	(38, 0.00015113419737953452)	(39, 0.00014777146573363524)	(40, 5.4147206762191964e-05)	(41, 0.00019886116908818106)	(42, 2.8971920885071904e-05)	(43, 7.979709774328366e-05)	(44, 6.902397089891261e-05)	(45, 0.00020739678071439894)	(46, 0.0005320415849533392)	(47, 3.649651020369432e-06)	(48, 0.00010965616468864612)	(49, 6.955060062434476e-05)	(50, 0.00011731442928619816)	(51, 0.00028639776926980576)	(52, 0.0002427158491353303)	(53, 0.00012891244196960386)	(54, 0.00043900457520238757)	(55, 0.00019953377086901538)	(56, 3.701293613221702e-06)	(57, 0.00014088421827221595)	(58, 6.313430010020527e-05)	(59, 9.673072113013032e-05)	(60, 0.00017516829853329348)	(61, 0.00020163905667872246)	(62, 4.1304980543288915e-05)	(63, 0.0)
SRR6984615	(1, 0.000196158615851611)	(2, 8.976750216938131e-05)	(3, 7.979333526167227e-05)	(4, 0.0006948669612370626)	(5, 0.00010971583598479937)	(6, 5.98450014462542e-05)	(7, 9.974166907709033e-05)	(8, 0.00011304055828736905)	(9, 9.974166907709033e-05)	(10, 0.0002560036172978652)	(11, 7.64686129591026e-05)	(12, 0.00021943167196959875)	(13, 7.64686129591026e-05)	(14, 7.314389065653292e-05)	(15, 0.000495383623082882)	(16, 8.644277986681163e-05)	(17, 0.0001828597266413323)	(18, 0.0004820847338726033)	(19, 2.99225007231271e-05)	(20, 9.974166907709033e-05)	(21, 0.00012633944749764774)	(22, 0.00023273056117987745)	(23, 0.0014795014246435066)	(24, 0.0001196900028925084)	(25, 0.00033965477488680506)	(26, 0.00018343711593896107)	(27, 0.00019708475569791235)	(28, 0.00035464361144161926)	(29, 0.00026474090779188123)	(30, 6.041933232005637e-05)	(31, 0.0004000904406122056)	(32, 0.00010103155916078067)	(33, 7.084842165741785e-05)	(34, 0.0006691763257312424)	(35, 1.0156031513082475e-05)	(36, 0.0009869335760127253)	(37, 0.00015967546335781058)	(38, 0.0001259190173960526)	(39, 0.00017387382774094873)	(40, 4.781114760619487e-05)	(41, 0.0001984240070606104)	(42, 4.112554728250437e-05)	(43, 0.00010985332487050781)	(44, 0.00010316596398036022)	(45, 0.00020668491349978013)	(46, 0.0005624267076913819)	(47, 1.0368372013869979e-05)	(48, 0.00019732887328536788)	(49, 7.628336885942287e-05)	(50, 0.00017713438863055633)	(51, 0.00034443823063959675)	(52, 0.00025441310016965175)	(53, 0.00013615908352507906)	(54, 0.0004337107106189101)	(55, 0.0002382896494089944)	(56, 7.022554267314793e-06)	(57, 0.00014072670637903958)	(58, 4.5828013317902684e-05)	(59, 9.892559385652277e-05)	(60, 0.00016994870664785523)	(61, 0.000234201602655761)	(62, 2.4994491392629148e-05)	(63, 0.0)
SRR6984616	(1, 0.0002310991589253599)	(2, 7.792878614924926e-05)	(3, 9.67391828059646e-05)	(4, 0.0006073070920596667)	(5, 0.00016660637038805014)	(6, 6.449278853730974e-05)	(7, 0.00011554957946267995)	(8, 6.986718758208555e-05)	(9, 9.136478376118879e-05)	(10, 0.00022841195940297198)	(11, 9.40519832835767e-05)	(12, 0.00021228876226864454)	(13, 8.061598567163718e-05)	(14, 5.3743990447758114e-05)	(15, 0.0005213167073432537)	(16, 0.00010211358185074043)	(17, 0.00023378635844774782)	(18, 0.000542814303522357)	(19, 6.717998805969763e-05)	(20, 8.599038471641298e-05)	(21, 0.00013167277659700737)	(22, 0.00029290474794028173)	(23, 0.0014779597373133482)	(24, 0.00015854477182088644)	(25, 0.0003202554034151014)	(26, 0.0001778874283073235)	(27, 0.00019974838182216302)	(28, 0.0003541396122701103)	(29, 0.00030866064402963945)	(30, 2.7117170364490562e-05)	(31, 0.0003584930548896049)	(32, 8.160183976243855e-05)	(33, 5.4490750290496997e-05)	(34, 0.0006904168046249521)	(35, 2.7331470802923997e-05)	(36, 0.0009965295311533885)	(37, 0.0001590374526894426)	(38, 0.00010436314573700855)	(39, 0.0001705527570843489)	(40, 4.4083101385044204e-05)	(41, 0.00020973476169329247)	(42, 4.975372459146388e-05)	(43, 0.0001245781506977041)	(44, 6.931920389833457e-05)	(45, 0.00021106204504847193)	(46, 0.0005896490447824543)	(47, 5.57110699121559e-06)	(48, 0.00016459728818435298)	(49, 8.381811870567837e-05)	(50, 0.00016229335963008083)	(51, 0.0003166833289740332)	(52, 0.00029191879515232913)	(53, 0.00012088611546777486)	(54, 0.0004871375963786247)	(55, 0.00021999843913927925)	(56, 2.825392628567584e-06)	(57, 0.00012736223333355504)	(58, 9.356242063673991e-05)	(59, 9.657691915594387e-05)	(60, 0.00018781414583705818)	(61, 0.00019673296681696495)	(62, 3.1540674193953696e-05)	(63, 0.0)
SRR6984617	(1, 0.00025007027127104585)	(2, 8.843948618122355e-05)	(3, 6.709202399954889e-05)	(4, 0.0006556720527228642)	(5, 0.00010063803599932334)	(6, 4.26949243633493e-05)	(7, 0.0001158862232719481)	(8, 9.758839854479839e-05)	(9, 8.843948618122355e-05)	(10, 0.000182978247271497)	(11, 6.709202399954889e-05)	(12, 0.00024397099636199598)	(13, 6.709202399954889e-05)	(14, 5.794311163597405e-05)	(15, 0.0005306369170873412)	(16, 0.00010673731090837324)	(17, 0.00019822643454412176)	(18, 0.0004940412676330419)	(19, 6.404238654502396e-05)	(20, 0.00010368767345384831)	(21, 0.00010368767345384831)	(22, 0.00035680758217941915)	(23, 0.0014119821414450518)	(24, 0.0001707796974533972)	(25, 0.0003604218450580698)	(26, 0.00017437573639332362)	(27, 0.00020528614897585192)	(28, 0.0003222233583579154)	(29, 0.0002674199836375856)	(30, 4.0024555372602285e-05)	(31, 0.00036389549760118854)	(32, 9.267192433621572e-05)	(33, 6.808291719455428e-05)	(34, 0.0006324288691130172)	(35, 2.1737511597738777e-05)	(36, 0.0009489020006058662)	(37, 0.00014335858625995213)	(38, 8.116894266463153e-05)	(39, 0.00014386017441545)	(40, 4.385784781834305e-05)	(41, 0.00017574179513339588)	(42, 2.20062286429551e-05)	(43, 9.762057100980167e-05)	(44, 7.570880953385898e-05)	(45, 0.0001801187513447682)	(46, 0.0005634317118865986)	(47, 0.0)	(48, 0.0001429111723540179)	(49, 8.270529266794678e-05)	(50, 0.0001561269952273252)	(51, 0.000328750561150078)	(52, 0.00022701600443646825)	(53, 0.00011530874814160734)	(54, 0.00048453674773223164)	(55, 0.00027004982515720517)	(56, 6.442710324533493e-06)	(57, 0.00012910940301522745)	(58, 8.732249439098512e-05)	(59, 7.454526255457281e-05)	(60, 0.00017862992407188924)	(61, 0.00021157823824725203)	(62, 2.6205249868040186e-05)	(63, 0.0)
SRR6984618	(1, 0.0001960622342963676)	(2, 7.028646135152801e-05)	(3, 4.4391449274649265e-05)	(4, 0.0006103824275264275)	(5, 0.0001294750603843937)	(6, 5.179002415375748e-05)	(7, 0.00017386650965904295)	(8, 7.028646135152801e-05)	(9, 7.028646135152801e-05)	(10, 0.00024415297101057097)	(11, 7.398574879108211e-05)	(12, 0.00017386650965904295)	(13, 7.028646135152801e-05)	(14, 8.508361110974443e-05)	(15, 0.0005437952536144536)	(16, 7.398574879108211e-05)	(17, 0.00024045368357101689)	(18, 0.00047350879226292555)	(19, 8.138432367019032e-05)	(20, 0.00011097862318662316)	(21, 0.00010358004830751496)	(22, 0.00024045368357101689)	(23, 0.001368736352635019)	(24, 0.00012207648550528549)	(25, 0.0002704812977559278)	(26, 0.0001410270779412125)	(27, 0.00018957503113955744)	(28, 0.0002904046181482707)	(29, 0.0002759742899367989)	(30, 4.109292690984141e-05)	(31, 0.0002843928319684785)	(32, 8.246373142012478e-05)	(33, 4.881759833863949e-05)	(34, 0.0006019051803721729)	(35, 2.2609638375791407e-05)	(36, 0.0010457211957795448)	(37, 0.00016261867192129194)	(38, 0.00013259379334514782)	(39, 0.00014801198274650882)	(40, 4.1818928752634876e-05)	(41, 0.00017900109921909057)	(42, 5.7230992871879845e-05)	(43, 0.00012612431707026512)	(44, 9.18868997842419e-05)	(45, 0.0001572477079420678)	(46, 0.000626227651116512)	(47, 1.154527635985749e-05)	(48, 0.00016190902147044693)	(49, 0.00010039581435948976)	(50, 0.00012764272167856524)	(51, 0.000259613125295649)	(52, 0.00023678144304237913)	(53, 0.000163321276593759)	(54, 0.0004519149095650089)	(55, 0.00021468327425249625)	(56, 7.822416746605247e-06)	(57, 0.00013324824257325243)	(58, 9.032284920678866e-05)	(59, 0.00011413228900452281)	(60, 0.0002011490104770237)	(61, 0.00019370349016134515)	(62, 5.9689048706980015e-05)	(63, 0.0)
