Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR6984609	(1, 35.455039612364075)	(2, 35.44380387744976)	(3, 35.449551677823074)	(4, 35.43317471424391)	(5, 35.42318676425418)	(6, 35.40938315942909)	(7, 35.40755864610956)	(8, 35.40645964155309)	(9, 35.395511834636785)	(10, 35.36925037304142)	(11, 35.349680647465405)	(12, 35.32780640740667)	(13, 35.327258758976164)	(14, 35.2990562824537)	(15, 35.27633021753631)	(16, 35.25770966199994)	(17, 35.25344145021783)	(18, 35.249037580401556)	(19, 35.239022695094754)	(20, 35.21913025461326)	(21, 35.2040436781066)	(22, 35.21409829391484)	(23, 35.16559145921444)	(24, 35.178203585196115)	(25, 35.15831805374014)	(26, 35.156106389988565)	(27, 35.16387881069496)	(28, 35.14358015658492)	(29, 35.14525839046199)	(30, 35.12346980104496)	(31, 35.08138959569607)	(32, 35.0960265367662)	(33, 35.07538015347063)	(34, 35.02075893691164)	(35, 35.03851269968286)	(36, 35.04378176547321)	(37, 35.000032808742716)	(38, 35.00231718980392)	(39, 34.93987872380554)	(40, 34.94861523041294)	(41, 34.93682454860391)	(42, 34.865564084837054)	(43, 34.87500101856599)	(44, 34.85350689824487)	(45, 34.82973009973388)	(46, 34.85649373560099)	(47, 34.83425873523231)	(48, 34.75294281447554)	(49, 34.730432787074065)	(50, 34.74327730849728)	(51, 34.67854008496006)	(52, 34.68795797489001)	(53, 34.671361285121954)	(54, 34.58020512777325)	(55, 34.583094029246695)	(56, 34.62690402697141)	(57, 34.59069593985694)	(58, 34.572474507126195)	(59, 34.52976363986905)	(60, 34.48792210799879)	(61, 34.53456792737341)	(62, 34.61685483054656)	(63, 34.523822942566945)
SRR6984610	(1, 35.459565897994636)	(2, 35.450228873525504)	(3, 35.45613992572585)	(4, 35.44439432287378)	(5, 35.434432419529195)	(6, 35.423206706417254)	(7, 35.419052888512276)	(8, 35.418506951982344)	(9, 35.40915845576777)	(10, 35.38402372203535)	(11, 35.37004653344425)	(12, 35.34556872276376)	(13, 35.34707378787062)	(14, 35.31812415831734)	(15, 35.292777493676766)	(16, 35.27692246055481)	(17, 35.27524524952929)	(18, 35.2721955086687)	(19, 35.260154395048836)	(20, 35.24638383734976)	(21, 35.22999800063865)	(22, 35.23556538863519)	(23, 35.195388616360354)	(24, 35.200049910809796)	(25, 35.183741873624086)	(26, 35.16951726148709)	(27, 35.18216606240968)	(28, 35.16465025516809)	(29, 35.167057319262135)	(30, 35.15394959485717)	(31, 35.11624595287631)	(32, 35.12625308454636)	(33, 35.10802075948128)	(34, 35.06201690218535)	(35, 35.08006447143073)	(36, 35.07856116370392)	(37, 35.0466325631281)	(38, 35.04169638911094)	(39, 34.97788104837723)	(40, 34.99545010099911)	(41, 34.98393674967915)	(42, 34.91691413850836)	(43, 34.91846738113601)	(44, 34.91168617589155)	(45, 34.8670520675568)	(46, 34.899844281912316)	(47, 34.89064365890868)	(48, 34.81848807141244)	(49, 34.79856184195458)	(50, 34.79433134923984)	(51, 34.74617329722768)	(52, 34.762706159173675)	(53, 34.72034517547418)	(54, 34.65611228519572)	(55, 34.637024663705596)	(56, 34.68229654602179)	(57, 34.65174261362025)	(58, 34.63478912589344)	(59, 34.57840677329574)	(60, 34.56656311452167)	(61, 34.58090506457027)	(62, 34.67883741680866)	(63, 34.59085977196024)
SRR6984611	(1, 35.451278779836834)	(2, 35.44096954670585)	(3, 35.44906760727113)	(4, 35.43574920424722)	(5, 35.430556790152984)	(6, 35.41871372439577)	(7, 35.41482746678906)	(8, 35.41409502401531)	(9, 35.40595018772316)	(10, 35.38455740327482)	(11, 35.36862274646371)	(12, 35.35026572382336)	(13, 35.34678893373343)	(14, 35.32372188667444)	(15, 35.300312811388416)	(16, 35.284110796173586)	(17, 35.2821896331145)	(18, 35.278793269860444)	(19, 35.26705581786896)	(20, 35.252451613508995)	(21, 35.23725748670353)	(22, 35.24703700614513)	(23, 35.20925907865457)	(24, 35.21325567900159)	(25, 35.19751313008492)	(26, 35.19509372857408)	(27, 35.197055408005326)	(28, 35.18430787425563)	(29, 35.18579757448354)	(30, 35.17019277955796)	(31, 35.13722182042161)	(32, 35.15139416262705)	(33, 35.13326816614894)	(34, 35.090787510832044)	(35, 35.10395943504853)	(36, 35.104110567913914)	(37, 35.072708310696754)	(38, 35.06623601640003)	(39, 35.02107405136035)	(40, 35.016723685633686)	(41, 35.013381642605594)	(42, 34.951418178049025)	(43, 34.95619139186951)	(44, 34.948677506639925)	(45, 34.92436461598445)	(46, 34.9296972142857)	(47, 34.91497350798087)	(48, 34.852551536170864)	(49, 34.82886828717434)	(50, 34.826047412905055)	(51, 34.78180005786105)	(52, 34.79019498350659)	(53, 34.77525767360416)	(54, 34.697254666124806)	(55, 34.69340927107263)	(56, 34.72174363964573)	(57, 34.687159711871885)	(58, 34.66786288895479)	(59, 34.64142522435694)	(60, 34.615525214599266)	(61, 34.636149233021435)	(62, 34.71241420461346)	(63, 34.62549530926024)
SRR6984612	(1, 35.438542129501)	(2, 35.429514540087034)	(3, 35.43894993481603)	(4, 35.425569184084836)	(5, 35.41709170464855)	(6, 35.40231786430127)	(7, 35.4001081359447)	(8, 35.398157136892586)	(9, 35.38778275828341)	(10, 35.36417000450986)	(11, 35.347602324196046)	(12, 35.32813632971033)	(13, 35.32968118969534)	(14, 35.30093667594956)	(15, 35.27547087723025)	(16, 35.260924674710296)	(17, 35.25745402210445)	(18, 35.249924779542106)	(19, 35.24078700505302)	(20, 35.22571639531583)	(21, 35.20782929481516)	(22, 35.21688538770416)	(23, 35.17358141235924)	(24, 35.18081969967335)	(25, 35.16054379772771)	(26, 35.146939700459555)	(27, 35.16299565967476)	(28, 35.144602261356134)	(29, 35.1437993257902)	(30, 35.141257237884155)	(31, 35.099913017068936)	(32, 35.11130824533737)	(33, 35.099590531375654)	(34, 35.04530462751531)	(35, 35.05431556684518)	(36, 35.059712770419985)	(37, 35.028703028742704)	(38, 35.02850997532411)	(39, 34.963905426496915)	(40, 34.9708331405148)	(41, 34.96725119900526)	(42, 34.893227673564674)	(43, 34.8972234319164)	(44, 34.89317366228321)	(45, 34.845156369827485)	(46, 34.8690260745795)	(47, 34.854745920680884)	(48, 34.78709599283289)	(49, 34.76495243975324)	(50, 34.76004769412791)	(51, 34.713185508346164)	(52, 34.724827947721415)	(53, 34.69143690963154)	(54, 34.63211155920631)	(55, 34.61069400235692)	(56, 34.64789211888123)	(57, 34.612979221568956)	(58, 34.60508359524257)	(59, 34.55776193289234)	(60, 34.53826063780058)	(61, 34.55268839830787)	(62, 34.64551219734833)	(63, 34.573930848461686)
SRR6984613	(1, 35.44826671320516)	(2, 35.43879113929327)	(3, 35.44804490338697)	(4, 35.43162519689475)	(5, 35.42590347041288)	(6, 35.41167786656787)	(7, 35.40997793181471)	(8, 35.40940918509833)	(9, 35.39942746304005)	(10, 35.37426676126629)	(11, 35.35555739034794)	(12, 35.33467780722709)	(13, 35.335764612282254)	(14, 35.3088746206341)	(15, 35.27995103369611)	(16, 35.26299046434968)	(17, 35.26474819856589)	(18, 35.256251607438095)	(19, 35.24376366563214)	(20, 35.22574245862381)	(21, 35.2072948667281)	(22, 35.21999060636121)	(23, 35.174652041977964)	(24, 35.18410852455206)	(25, 35.16303329484836)	(26, 35.151089336183695)	(27, 35.16360568623424)	(28, 35.14149252167476)	(29, 35.14417576169581)	(30, 35.12715478345496)	(31, 35.086522083828285)	(32, 35.105223678711944)	(33, 35.08496891636076)	(34, 35.023828792009645)	(35, 35.04872818339153)	(36, 35.05403369972096)	(37, 35.0186266980141)	(38, 35.01983744084656)	(39, 34.94906148214219)	(40, 34.96962934604254)	(41, 34.95699421018213)	(42, 34.880566503649035)	(43, 34.886809029362034)	(44, 34.88526463504873)	(45, 34.8359902665325)	(46, 34.873581906768145)	(47, 34.85200273090314)	(48, 34.7784483252131)	(49, 34.76017738907299)	(50, 34.753895412659524)	(51, 34.708621113453425)	(52, 34.73404739074585)	(53, 34.69205786629917)	(54, 34.61345802260896)	(55, 34.60515487245741)	(56, 34.653060101994086)	(57, 34.60822710949895)	(58, 34.59639524585602)	(59, 34.54122149399835)	(60, 34.51221457021787)	(61, 34.54423029735892)	(62, 34.6428924324842)	(63, 34.56758353525413)
SRR6984614	(1, 35.45163805088264)	(2, 35.44014777989474)	(3, 35.446019699267445)	(4, 35.43802659281733)	(5, 35.43086458013373)	(6, 35.42061394243776)	(7, 35.4157230883743)	(8, 35.41485995091117)	(9, 35.40661926288863)	(10, 35.388499996179405)	(11, 35.37386356237663)	(12, 35.353541978175706)	(13, 35.3550182066298)	(14, 35.329929611970904)	(15, 35.308645730911614)	(16, 35.29557070545536)	(17, 35.288020154147084)	(18, 35.28428794381268)	(19, 35.272490616742914)	(20, 35.258921414101714)	(21, 35.24514209636413)	(22, 35.251290859190455)	(23, 35.21680057351879)	(24, 35.21956446559688)	(25, 35.20731543418959)	(26, 35.19777235254073)	(27, 35.200941025634044)	(28, 35.18950942385923)	(29, 35.19223614580219)	(30, 35.176911041386894)	(31, 35.146145421864844)	(32, 35.157999405849516)	(33, 35.13555252499469)	(34, 35.103698418858784)	(35, 35.11189822633887)	(36, 35.10299800845403)	(37, 35.08075781307372)	(38, 35.070382476033)	(39, 35.02800319734202)	(40, 35.02608288998804)	(41, 35.015016151504156)	(42, 34.96500575835035)	(43, 34.96425724770742)	(44, 34.95689325867943)	(45, 34.93279754861371)	(46, 34.935057291403986)	(47, 34.922470937828926)	(48, 34.861847341585495)	(49, 34.84600113330873)	(50, 34.829600571497245)	(51, 34.79478880165629)	(52, 34.80644172276621)	(53, 34.779121974411176)	(54, 34.72014022765302)	(55, 34.70901221619647)	(56, 34.73244518078802)	(57, 34.699584499073)	(58, 34.68139167754743)	(59, 34.65305796874935)	(60, 34.630429961024305)	(61, 34.6476802210681)	(62, 34.72578993991665)	(63, 34.64817952629726)
SRR6984615	(1, 35.45771205910027)	(2, 35.450641870887736)	(3, 35.45738570435904)	(4, 35.441402933070016)	(5, 35.43260718073523)	(6, 35.418648932597904)	(7, 35.41508350040063)	(8, 35.415482533571385)	(9, 35.405371088879804)	(10, 35.378401938978044)	(11, 35.3631979838884)	(12, 35.339188036319264)	(13, 35.34055183740778)	(14, 35.31122393002124)	(15, 35.28496726810893)	(16, 35.26680610552004)	(17, 35.26721996695226)	(18, 35.26256322790639)	(19, 35.248039245022056)	(20, 35.23451314428962)	(21, 35.21723712251934)	(22, 35.22655545470565)	(23, 35.179850620226944)	(24, 35.190635188195905)	(25, 35.17026480951428)	(26, 35.161409820295994)	(27, 35.173350206015364)	(28, 35.15222197103492)	(29, 35.15532741144785)	(30, 35.141245831191945)	(31, 35.099202054918294)	(32, 35.11120506671922)	(33, 35.09155768520663)	(34, 35.03848740600016)	(35, 35.0590451698642)	(36, 35.0601375934632)	(37, 35.02483799395435)	(38, 35.022977532133595)	(39, 34.962558964535674)	(40, 34.973779854390465)	(41, 34.961168524451345)	(42, 34.89195924609058)	(43, 34.89562306934927)	(44, 34.887430939843995)	(45, 34.85281423039408)	(46, 34.8789518671083)	(47, 34.86485971056966)	(48, 34.78964333602393)	(49, 34.770762096513856)	(50, 34.7642340940005)	(51, 34.71678215089081)	(52, 34.731776729433165)	(53, 34.70144691021174)	(54, 34.62216987147403)	(55, 34.613380089967656)	(56, 34.65698709387954)	(57, 34.62341280064898)	(58, 34.602825353424755)	(59, 34.5558816370815)	(60, 34.52762902151749)	(61, 34.55930369592485)	(62, 34.64939477088817)	(63, 34.56213686304796)
SRR6984616	(1, 35.465376952421764)	(2, 35.454097298066564)	(3, 35.46013347373772)	(4, 35.449781037577715)	(5, 35.44371825863129)	(6, 35.43265309654197)	(7, 35.42873696006201)	(8, 35.42693086639102)	(9, 35.41760225324904)	(10, 35.399241425072425)	(11, 35.384599089850894)	(12, 35.36448983530504)	(13, 35.365453223205805)	(14, 35.33767279331139)	(15, 35.31894481306402)	(16, 35.30179749731972)	(17, 35.299253525531874)	(18, 35.29440119561031)	(19, 35.28175174129857)	(20, 35.268472434290786)	(21, 35.25288433919735)	(22, 35.26035338339783)	(23, 35.22493284218134)	(24, 35.22829517371173)	(25, 35.2141168420352)	(26, 35.205375725740275)	(27, 35.21190277393277)	(28, 35.198497036892235)	(29, 35.20115362727971)	(30, 35.185516534911564)	(31, 35.14976685594285)	(32, 35.16683876948016)	(33, 35.138944901596105)	(34, 35.101474105371956)	(35, 35.11823670797463)	(36, 35.113112206898144)	(37, 35.086552459312664)	(38, 35.07726075085274)	(39, 35.03324144757698)	(40, 35.03646901300994)	(41, 35.021581596591524)	(42, 34.970040463045756)	(43, 34.966636393253246)	(44, 34.96263090446422)	(45, 34.93837677013363)	(46, 34.9455284715657)	(47, 34.93342073100278)	(48, 34.86752730403981)	(49, 34.85292920855803)	(50, 34.83829509370665)	(51, 34.79970984520547)	(52, 34.81076787947885)	(53, 34.7821836018884)	(54, 34.71627332417627)	(55, 34.70900944659195)	(56, 34.736546377364924)	(57, 34.70307303841995)	(58, 34.68494675064943)	(59, 34.65068449317526)	(60, 34.622553041347025)	(61, 34.64826072945961)	(62, 34.7267441003599)	(63, 34.63935969026979)
SRR6984617	(1, 35.44471838321152)	(2, 35.43326992222174)	(3, 35.44280150309311)	(4, 35.43044986147479)	(5, 35.421575477474875)	(6, 35.406162609779706)	(7, 35.40438335979961)	(8, 35.40389736957486)	(9, 35.395425842682684)	(10, 35.37216891100161)	(11, 35.356240990036746)	(12, 35.33446599918032)	(13, 35.33411724264102)	(14, 35.30812332233725)	(15, 35.281292733997844)	(16, 35.26229648130086)	(17, 35.26419167849697)	(18, 35.259200763824396)	(19, 35.24310648513639)	(20, 35.226407737808515)	(21, 35.21009528805701)	(22, 35.222456231069565)	(23, 35.17958869722629)	(24, 35.18574808048957)	(25, 35.16565754658895)	(26, 35.15777825610436)	(27, 35.170193615478205)	(28, 35.1467061162167)	(29, 35.15393942218103)	(30, 35.13111046804992)	(31, 35.08520310858037)	(32, 35.11072351936831)	(33, 35.07868092071252)	(34, 35.02177458796639)	(35, 35.05476840575661)	(36, 35.06024905473027)	(37, 35.02544110034571)	(38, 35.018140946497304)	(39, 34.96058393845561)	(40, 34.96415050121218)	(41, 34.959755631033865)	(42, 34.88619312238708)	(43, 34.89787266511276)	(44, 34.88882861626441)	(45, 34.86246561904334)	(46, 34.87961942783446)	(47, 34.867669673775126)	(48, 34.78513556125076)	(49, 34.763542641767366)	(50, 34.762742822483574)	(51, 34.70655718528238)	(52, 34.73167939277887)	(53, 34.70663747262699)	(54, 34.60733613665117)	(55, 34.61378502767255)	(56, 34.655638099560235)	(57, 34.60892981312673)	(58, 34.59071477924809)	(59, 34.54493928742119)	(60, 34.519752150006006)	(61, 34.543131851391614)	(62, 34.63847522264144)	(63, 34.56350401297635)
SRR6984618	(1, 35.409595833241006)	(2, 35.39875392462029)	(3, 35.408191879671946)	(4, 35.394123119610576)	(5, 35.38404899809794)	(6, 35.37057878274429)	(7, 35.36944380436496)	(8, 35.36743353758456)	(9, 35.357911312765026)	(10, 35.334925272359115)	(11, 35.3154413843651)	(12, 35.29506385950432)	(13, 35.29486776027715)	(14, 35.26051240384026)	(15, 35.2344387901658)	(16, 35.21839179915325)	(17, 35.217456804252905)	(18, 35.212746834491995)	(19, 35.19783822520322)	(20, 35.180890864620764)	(21, 35.165542188098186)	(22, 35.17723482185138)	(23, 35.13329176320728)	(24, 35.14071645505571)	(25, 35.12129222477055)	(26, 35.108743753057134)	(27, 35.116186596398514)	(28, 35.09947772963308)	(29, 35.10256017619392)	(30, 35.09117056078808)	(31, 35.050261643276414)	(32, 35.066379930276916)	(33, 35.04190893182176)	(34, 34.99115097813354)	(35, 35.00941175184942)	(36, 35.01114557586696)	(37, 34.9728538760047)	(38, 34.97072287370604)	(39, 34.91065108649524)	(40, 34.91495987777924)	(41, 34.91052927121188)	(42, 34.83152035086414)	(43, 34.83719739384355)	(44, 34.8325917550038)	(45, 34.799802458525726)	(46, 34.815314938914184)	(47, 34.806653950699285)	(48, 34.730406097894665)	(49, 34.70705926218189)	(50, 34.698247074767266)	(51, 34.64906028573253)	(52, 34.662306498129)	(53, 34.62614138240728)	(54, 34.55096674923074)	(55, 34.53581436157722)	(56, 34.5823745071193)	(57, 34.54367748062375)	(58, 34.52238820682047)	(59, 34.484031613699514)	(60, 34.454744904008145)	(61, 34.48212877763808)	(62, 34.57583684643178)	(63, 34.507553449428414)
