Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR6984609	(0.0, 3599.0)	(1.0, 2479.5)	(2.0, 1217.5)	(3.0, 1076.5)	(4.0, 1174.0)	(5.0, 1453.5)	(6.0, 1862.5)	(7.0, 2184.0)	(8.0, 2373.0)	(9.0, 2842.5)	(10.0, 3700.0)	(11.0, 4517.0)	(12.0, 5575.5)	(13.0, 7247.5)	(14.0, 8544.0)	(15.0, 10960.0)	(16.0, 13341.0)	(17.0, 19591.5)	(18.0, 30665.5)	(19.0, 36587.5)	(20.0, 55037.5)	(21.0, 79887.0)	(22.0, 88621.5)	(23.0, 99260.0)	(24.0, 109231.0)	(25.0, 134667.0)	(26.0, 192999.0)	(27.0, 228545.0)	(28.0, 259900.0)	(29.0, 336945.0)	(30.0, 388034.0)	(31.0, 432571.0)	(32.0, 474547.0)	(33.0, 516403.5)	(34.0, 605960.5)	(35.0, 658219.0)	(36.0, 695559.5)	(37.0, 786034.0)	(38.0, 846540.0)	(39.0, 873931.5)	(40.0, 963564.5)	(41.0, 1035373.0)	(42.0, 1109371.5)	(43.0, 1182666.0)	(44.0, 1228554.0)	(45.0, 1258274.5)	(46.0, 1251260.0)	(47.0, 1276924.0)	(48.0, 1305364.5)	(49.0, 1313773.0)	(50.0, 1314958.0)	(51.0, 1316238.5)	(52.0, 1315296.5)	(53.0, 1276084.5)	(54.0, 1236140.5)	(55.0, 1193299.5)	(56.0, 1157409.0)	(57.0, 1156353.5)	(58.0, 1043530.5)	(59.0, 928751.5)	(60.0, 844710.0)	(61.0, 728393.5)	(62.0, 683002.5)	(63.0, 583437.5)	(64.0, 445872.5)	(65.0, 396094.5)	(66.0, 359854.5)	(67.0, 357232.0)	(68.0, 386274.5)	(69.0, 402620.5)	(70.0, 406358.0)	(71.0, 326040.5)	(72.0, 291819.0)	(73.0, 328135.0)	(74.0, 343805.0)	(75.0, 474720.5)	(76.0, 596630.5)	(77.0, 543034.0)	(78.0, 486659.0)	(79.0, 445169.5)	(80.0, 459724.0)	(81.0, 537433.0)	(82.0, 481010.5)	(83.0, 350523.0)	(84.0, 297020.0)	(85.0, 332010.5)	(86.0, 348519.5)	(87.0, 279984.0)	(88.0, 349281.5)	(89.0, 465298.0)	(90.0, 323573.0)	(91.0, 130058.0)	(92.0, 70031.0)	(93.0, 56834.5)	(94.0, 37753.5)	(95.0, 20721.0)	(96.0, 11064.5)	(97.0, 7636.5)	(98.0, 5180.5)	(99.0, 2629.5)	(100.0, 1742.0)
SRR6984610	(0.0, 5384.0)	(1.0, 3638.5)	(2.0, 1651.5)	(3.0, 1430.0)	(4.0, 1531.5)	(5.0, 1792.0)	(6.0, 2207.5)	(7.0, 2566.0)	(8.0, 2806.0)	(9.0, 3344.0)	(10.0, 4292.0)	(11.0, 5150.5)	(12.0, 6224.5)	(13.0, 8019.5)	(14.0, 9475.0)	(15.0, 11909.0)	(16.0, 14252.5)	(17.0, 19971.0)	(18.0, 30322.0)	(19.0, 36188.5)	(20.0, 52194.5)	(21.0, 75878.5)	(22.0, 86096.5)	(23.0, 98630.5)	(24.0, 110360.0)	(25.0, 134144.5)	(26.0, 189057.5)	(27.0, 223128.0)	(28.0, 258148.5)	(29.0, 339706.5)	(30.0, 392456.0)	(31.0, 444728.0)	(32.0, 494119.0)	(33.0, 540852.5)	(34.0, 643810.5)	(35.0, 705250.5)	(36.0, 753742.0)	(37.0, 861703.5)	(38.0, 930277.0)	(39.0, 969502.0)	(40.0, 1072739.0)	(41.0, 1147664.5)	(42.0, 1219637.0)	(43.0, 1291183.0)	(44.0, 1344619.5)	(45.0, 1401861.0)	(46.0, 1418256.5)	(47.0, 1470016.0)	(48.0, 1516907.5)	(49.0, 1519839.0)	(50.0, 1496612.5)	(51.0, 1472404.0)	(52.0, 1455211.5)	(53.0, 1394422.0)	(54.0, 1347342.5)	(55.0, 1313542.0)	(56.0, 1319219.0)	(57.0, 1348381.5)	(58.0, 1193800.0)	(59.0, 1039520.5)	(60.0, 955756.0)	(61.0, 853217.0)	(62.0, 820473.5)	(63.0, 676782.5)	(64.0, 475539.0)	(65.0, 404845.0)	(66.0, 361487.5)	(67.0, 345719.5)	(68.0, 366950.0)	(69.0, 356659.5)	(70.0, 335923.5)	(71.0, 267951.0)	(72.0, 222038.0)	(73.0, 232789.5)	(74.0, 234518.0)	(75.0, 311554.5)	(76.0, 389514.5)	(77.0, 378213.5)	(78.0, 365433.0)	(79.0, 321117.0)	(80.0, 321523.0)	(81.0, 382034.0)	(82.0, 353979.0)	(83.0, 277854.0)	(84.0, 245615.0)	(85.0, 295439.0)	(86.0, 326631.5)	(87.0, 260852.5)	(88.0, 305284.5)	(89.0, 396903.5)	(90.0, 279327.0)	(91.0, 116320.5)	(92.0, 64501.0)	(93.0, 51461.0)	(94.0, 33561.0)	(95.0, 18030.0)	(96.0, 9563.5)	(97.0, 6446.0)	(98.0, 4427.5)	(99.0, 2384.0)	(100.0, 1667.0)
SRR6984611	(0.0, 3258.0)	(1.0, 2409.5)	(2.0, 1383.5)	(3.0, 1234.0)	(4.0, 1349.0)	(5.0, 1609.0)	(6.0, 2074.5)	(7.0, 2484.0)	(8.0, 2756.5)	(9.0, 3245.0)	(10.0, 4173.0)	(11.0, 5064.5)	(12.0, 6139.5)	(13.0, 8034.0)	(14.0, 9614.0)	(15.0, 12195.0)	(16.0, 14703.0)	(17.0, 20261.0)	(18.0, 30245.0)	(19.0, 35785.0)	(20.0, 51217.5)	(21.0, 74135.5)	(22.0, 84197.5)	(23.0, 98004.5)	(24.0, 110957.0)	(25.0, 138470.0)	(26.0, 199798.5)	(27.0, 236954.5)	(28.0, 272825.5)	(29.0, 363690.0)	(30.0, 425234.0)	(31.0, 481287.5)	(32.0, 534525.5)	(33.0, 584839.0)	(34.0, 698954.5)	(35.0, 769106.5)	(36.0, 821123.0)	(37.0, 935643.0)	(38.0, 1008946.5)	(39.0, 1056862.5)	(40.0, 1174471.5)	(41.0, 1256010.5)	(42.0, 1326148.5)	(43.0, 1396117.0)	(44.0, 1459237.0)	(45.0, 1529185.5)	(46.0, 1547923.5)	(47.0, 1590042.5)	(48.0, 1632167.0)	(49.0, 1639820.5)	(50.0, 1619571.5)	(51.0, 1596794.5)	(52.0, 1578909.0)	(53.0, 1517923.5)	(54.0, 1470038.5)	(55.0, 1413168.0)	(56.0, 1335465.5)	(57.0, 1304295.0)	(58.0, 1178012.0)	(59.0, 1049485.5)	(60.0, 942480.0)	(61.0, 792893.5)	(62.0, 734272.5)	(63.0, 624324.5)	(64.0, 458339.5)	(65.0, 388835.0)	(66.0, 341431.0)	(67.0, 299130.5)	(68.0, 297225.5)	(69.0, 291362.0)	(70.0, 277623.0)	(71.0, 222417.5)	(72.0, 182598.5)	(73.0, 188720.0)	(74.0, 192689.0)	(75.0, 255584.0)	(76.0, 316194.0)	(77.0, 297075.5)	(78.0, 276571.0)	(79.0, 245084.5)	(80.0, 256446.0)	(81.0, 312741.0)	(82.0, 297678.5)	(83.0, 238006.0)	(84.0, 207294.5)	(85.0, 231737.0)	(86.0, 241002.0)	(87.0, 187414.0)	(88.0, 240252.0)	(89.0, 331594.0)	(90.0, 229143.0)	(91.0, 89951.5)	(92.0, 49635.0)	(93.0, 40678.0)	(94.0, 26487.5)	(95.0, 13818.5)	(96.0, 6989.5)	(97.0, 4692.0)	(98.0, 3168.0)	(99.0, 1709.5)	(100.0, 1229.0)
SRR6984612	(0.0, 1596.0)	(1.0, 1417.0)	(2.0, 1265.5)	(3.0, 1312.5)	(4.0, 1431.0)	(5.0, 1691.5)	(6.0, 2079.5)	(7.0, 2421.0)	(8.0, 2737.5)	(9.0, 3349.5)	(10.0, 4379.0)	(11.0, 5335.0)	(12.0, 6481.5)	(13.0, 8512.0)	(14.0, 10109.5)	(15.0, 12813.5)	(16.0, 15551.5)	(17.0, 21670.0)	(18.0, 33388.5)	(19.0, 40263.0)	(20.0, 57616.0)	(21.0, 84789.0)	(22.0, 97446.5)	(23.0, 112751.5)	(24.0, 127052.5)	(25.0, 156619.5)	(26.0, 219384.5)	(27.0, 255578.5)	(28.0, 293396.0)	(29.0, 379501.5)	(30.0, 433781.0)	(31.0, 485269.5)	(32.0, 534409.0)	(33.0, 584747.5)	(34.0, 689346.5)	(35.0, 749537.5)	(36.0, 797543.5)	(37.0, 902227.5)	(38.0, 967513.5)	(39.0, 1004851.0)	(40.0, 1120315.5)	(41.0, 1208598.5)	(42.0, 1284723.0)	(43.0, 1360263.5)	(44.0, 1401590.5)	(45.0, 1409402.5)	(46.0, 1386035.5)	(47.0, 1412991.0)	(48.0, 1432231.5)	(49.0, 1430824.0)	(50.0, 1417352.0)	(51.0, 1402524.0)	(52.0, 1396922.5)	(53.0, 1350244.0)	(54.0, 1306216.5)	(55.0, 1265882.0)	(56.0, 1228219.5)	(57.0, 1221691.5)	(58.0, 1100411.0)	(59.0, 978024.0)	(60.0, 890583.5)	(61.0, 765934.5)	(62.0, 714154.5)	(63.0, 620232.5)	(64.0, 472954.0)	(65.0, 405767.5)	(66.0, 360665.0)	(67.0, 330983.5)	(68.0, 339366.0)	(69.0, 348057.0)	(70.0, 347545.0)	(71.0, 278093.5)	(72.0, 222689.0)	(73.0, 228407.5)	(74.0, 228526.5)	(75.0, 276757.5)	(76.0, 328227.5)	(77.0, 322839.0)	(78.0, 317042.0)	(79.0, 282923.0)	(80.0, 299569.5)	(81.0, 367277.5)	(82.0, 341622.5)	(83.0, 273720.0)	(84.0, 250755.5)	(85.0, 284944.0)	(86.0, 301316.0)	(87.0, 249424.0)	(88.0, 276474.0)	(89.0, 340032.5)	(90.0, 240410.5)	(91.0, 102670.0)	(92.0, 59425.0)	(93.0, 48134.5)	(94.0, 31328.5)	(95.0, 16669.5)	(96.0, 8849.0)	(97.0, 5864.0)	(98.0, 3899.0)	(99.0, 1894.0)	(100.0, 1196.0)
SRR6984613	(0.0, 6275.0)	(1.0, 3915.0)	(2.0, 1323.0)	(3.0, 1094.0)	(4.0, 1151.0)	(5.0, 1351.0)	(6.0, 1723.5)	(7.0, 2069.5)	(8.0, 2310.5)	(9.0, 2780.5)	(10.0, 3609.0)	(11.0, 4386.0)	(12.0, 5407.5)	(13.0, 7112.5)	(14.0, 8496.5)	(15.0, 10760.5)	(16.0, 13018.5)	(17.0, 19335.0)	(18.0, 30178.5)	(19.0, 35907.5)	(20.0, 55916.5)	(21.0, 81615.0)	(22.0, 89820.5)	(23.0, 101449.0)	(24.0, 112351.0)	(25.0, 141135.5)	(26.0, 208056.5)	(27.0, 249126.0)	(28.0, 284147.0)	(29.0, 372735.5)	(30.0, 432065.0)	(31.0, 478271.5)	(32.0, 521841.0)	(33.0, 561937.5)	(34.0, 651977.0)	(35.0, 706443.0)	(36.0, 737259.5)	(37.0, 827093.0)	(38.0, 893152.5)	(39.0, 910903.5)	(40.0, 1004962.5)	(41.0, 1091095.5)	(42.0, 1181384.5)	(43.0, 1271045.5)	(44.0, 1320720.0)	(45.0, 1332987.5)	(46.0, 1305690.5)	(47.0, 1333379.0)	(48.0, 1365034.0)	(49.0, 1375728.5)	(50.0, 1388542.5)	(51.0, 1400808.5)	(52.0, 1407826.5)	(53.0, 1377943.5)	(54.0, 1339207.5)	(55.0, 1290882.0)	(56.0, 1248139.0)	(57.0, 1244897.0)	(58.0, 1139359.5)	(59.0, 1033300.5)	(60.0, 946163.5)	(61.0, 809687.5)	(62.0, 746539.5)	(63.0, 651406.0)	(64.0, 515422.0)	(65.0, 460629.0)	(66.0, 410883.0)	(67.0, 386827.0)	(68.0, 406571.5)	(69.0, 428922.0)	(70.0, 440527.5)	(71.0, 355091.5)	(72.0, 287936.5)	(73.0, 295821.0)	(74.0, 295889.0)	(75.0, 377371.0)	(76.0, 461551.0)	(77.0, 432910.5)	(78.0, 401278.0)	(79.0, 342207.0)	(80.0, 360277.5)	(81.0, 453060.0)	(82.0, 409601.5)	(83.0, 306003.0)	(84.0, 263999.0)	(85.0, 311927.5)	(86.0, 338964.0)	(87.0, 269753.5)	(88.0, 322459.5)	(89.0, 423649.5)	(90.0, 295322.5)	(91.0, 120834.5)	(92.0, 67591.0)	(93.0, 53709.0)	(94.0, 35340.5)	(95.0, 18807.0)	(96.0, 9487.0)	(97.0, 6333.5)	(98.0, 4408.0)	(99.0, 2498.5)	(100.0, 1833.0)
SRR6984614	(0.0, 3664.0)	(1.0, 2661.5)	(2.0, 1542.0)	(3.0, 1449.5)	(4.0, 1557.5)	(5.0, 1792.5)	(6.0, 2194.0)	(7.0, 2601.5)	(8.0, 2942.0)	(9.0, 3526.0)	(10.0, 4566.0)	(11.0, 5479.5)	(12.0, 6598.5)	(13.0, 8762.0)	(14.0, 10534.0)	(15.0, 13466.5)	(16.0, 16336.0)	(17.0, 22171.5)	(18.0, 33290.0)	(19.0, 39922.5)	(20.0, 55967.5)	(21.0, 82320.5)	(22.0, 95559.0)	(23.0, 111820.0)	(24.0, 127114.5)	(25.0, 155717.5)	(26.0, 219205.5)	(27.0, 257461.5)	(28.0, 296591.5)	(29.0, 387684.0)	(30.0, 446304.5)	(31.0, 503778.5)	(32.0, 558695.0)	(33.0, 615144.5)	(34.0, 734311.5)	(35.0, 803983.5)	(36.0, 856742.0)	(37.0, 972350.0)	(38.0, 1046119.0)	(39.0, 1092626.0)	(40.0, 1202402.5)	(41.0, 1277241.5)	(42.0, 1348773.0)	(43.0, 1419747.0)	(44.0, 1472056.5)	(45.0, 1532703.5)	(46.0, 1552261.5)	(47.0, 1584358.0)	(48.0, 1609611.5)	(49.0, 1610603.5)	(50.0, 1597267.5)	(51.0, 1580786.5)	(52.0, 1554520.5)	(53.0, 1482514.5)	(54.0, 1432228.5)	(55.0, 1379385.5)	(56.0, 1299296.5)	(57.0, 1261425.5)	(58.0, 1151463.5)	(59.0, 1041273.5)	(60.0, 938232.0)	(61.0, 775166.0)	(62.0, 698922.0)	(63.0, 606981.0)	(64.0, 461925.0)	(65.0, 393230.0)	(66.0, 339227.5)	(67.0, 283604.5)	(68.0, 273725.5)	(69.0, 262289.0)	(70.0, 245387.5)	(71.0, 200265.5)	(72.0, 155923.0)	(73.0, 146851.0)	(74.0, 143045.0)	(75.0, 180914.5)	(76.0, 220957.0)	(77.0, 220012.0)	(78.0, 215819.0)	(79.0, 172188.0)	(80.0, 159358.5)	(81.0, 194452.0)	(82.0, 184083.5)	(83.0, 153487.5)	(84.0, 140415.5)	(85.0, 163488.5)	(86.0, 174902.0)	(87.0, 136876.0)	(88.0, 170448.5)	(89.0, 230291.5)	(90.0, 158668.0)	(91.0, 63444.5)	(92.0, 36551.0)	(93.0, 29630.0)	(94.0, 19805.5)	(95.0, 10615.5)	(96.0, 5175.0)	(97.0, 3421.0)	(98.0, 2350.5)	(99.0, 1315.5)	(100.0, 953.0)
SRR6984615	(0.0, 6077.0)	(1.0, 3937.5)	(2.0, 1620.0)	(3.0, 1473.0)	(4.0, 1595.0)	(5.0, 1866.5)	(6.0, 2264.5)	(7.0, 2576.5)	(8.0, 2762.5)	(9.0, 3262.5)	(10.0, 4209.5)	(11.0, 5110.5)	(12.0, 6229.5)	(13.0, 8077.0)	(14.0, 9587.5)	(15.0, 12074.5)	(16.0, 14474.5)	(17.0, 20928.5)	(18.0, 32421.5)	(19.0, 38661.5)	(20.0, 56983.5)	(21.0, 81879.0)	(22.0, 91229.5)	(23.0, 105925.0)	(24.0, 119598.0)	(25.0, 149450.5)	(26.0, 216961.5)	(27.0, 257971.0)	(28.0, 296467.5)	(29.0, 387592.0)	(30.0, 446516.0)	(31.0, 497541.5)	(32.0, 546102.0)	(33.0, 594708.0)	(34.0, 696529.0)	(35.0, 754648.0)	(36.0, 792083.5)	(37.0, 887037.5)	(38.0, 951872.0)	(39.0, 980402.0)	(40.0, 1078180.5)	(41.0, 1156437.5)	(42.0, 1232580.5)	(43.0, 1308757.5)	(44.0, 1352628.5)	(45.0, 1378445.0)	(46.0, 1371530.5)	(47.0, 1412975.5)	(48.0, 1453014.5)	(49.0, 1457938.5)	(50.0, 1447091.0)	(51.0, 1436885.0)	(52.0, 1439157.5)	(53.0, 1406730.5)	(54.0, 1369728.5)	(55.0, 1330281.5)	(56.0, 1317067.0)	(57.0, 1334522.0)	(58.0, 1201490.5)	(59.0, 1066975.5)	(60.0, 981792.0)	(61.0, 868016.0)	(62.0, 825451.0)	(63.0, 707082.0)	(64.0, 533058.5)	(65.0, 464629.5)	(66.0, 425742.5)	(67.0, 417680.0)	(68.0, 443249.5)	(69.0, 450153.5)	(70.0, 443960.5)	(71.0, 356402.5)	(72.0, 295366.0)	(73.0, 309679.0)	(74.0, 314329.0)	(75.0, 401917.5)	(76.0, 488968.0)	(77.0, 472009.0)	(78.0, 451985.0)	(79.0, 394737.5)	(80.0, 403720.0)	(81.0, 488996.5)	(82.0, 440723.0)	(83.0, 331535.0)	(84.0, 290876.0)	(85.0, 334189.5)	(86.0, 357693.5)	(87.0, 287782.5)	(88.0, 343841.0)	(89.0, 448911.0)	(90.0, 315461.5)	(91.0, 130702.0)	(92.0, 72022.5)	(93.0, 58594.0)	(94.0, 39003.5)	(95.0, 20854.5)	(96.0, 10594.5)	(97.0, 7034.5)	(98.0, 4785.5)	(99.0, 2505.0)	(100.0, 1689.0)
SRR6984616	(0.0, 6492.0)	(1.0, 4410.5)	(2.0, 2095.5)	(3.0, 1905.0)	(4.0, 2143.5)	(5.0, 2595.0)	(6.0, 3209.5)	(7.0, 3739.5)	(8.0, 4113.5)	(9.0, 4955.5)	(10.0, 6493.0)	(11.0, 7839.0)	(12.0, 9457.5)	(13.0, 12460.0)	(14.0, 14866.5)	(15.0, 18687.0)	(16.0, 22480.5)	(17.0, 31788.0)	(18.0, 48976.0)	(19.0, 58769.0)	(20.0, 85415.5)	(21.0, 126275.5)	(22.0, 144630.0)	(23.0, 167365.5)	(24.0, 188653.0)	(25.0, 230925.0)	(26.0, 327699.5)	(27.0, 386956.5)	(28.0, 442588.5)	(29.0, 567769.5)	(30.0, 646633.0)	(31.0, 723264.0)	(32.0, 795985.5)	(33.0, 866101.0)	(34.0, 1013943.0)	(35.0, 1098920.5)	(36.0, 1152823.0)	(37.0, 1285489.5)	(38.0, 1375680.0)	(39.0, 1413373.0)	(40.0, 1526723.0)	(41.0, 1615184.0)	(42.0, 1702038.5)	(43.0, 1788484.0)	(44.0, 1843303.5)	(45.0, 1891688.0)	(46.0, 1898765.5)	(47.0, 1940768.5)	(48.0, 1970837.0)	(49.0, 1967849.0)	(50.0, 1946922.5)	(51.0, 1923714.0)	(52.0, 1896871.0)	(53.0, 1811489.5)	(54.0, 1747649.5)	(55.0, 1684304.5)	(56.0, 1612855.0)	(57.0, 1591639.5)	(58.0, 1435912.5)	(59.0, 1279897.5)	(60.0, 1165531.0)	(61.0, 987915.0)	(62.0, 905312.5)	(63.0, 775889.0)	(64.0, 583785.0)	(65.0, 502542.5)	(66.0, 444602.0)	(67.0, 398830.0)	(68.0, 402397.0)	(69.0, 399189.5)	(70.0, 385938.5)	(71.0, 313314.0)	(72.0, 251205.0)	(73.0, 249580.5)	(74.0, 248543.5)	(75.0, 318527.0)	(76.0, 390611.0)	(77.0, 375228.0)	(78.0, 355496.5)	(79.0, 292108.5)	(80.0, 289655.0)	(81.0, 363998.0)	(82.0, 335696.0)	(83.0, 263581.0)	(84.0, 235455.5)	(85.0, 271451.0)	(86.0, 289855.0)	(87.0, 227385.0)	(88.0, 293237.0)	(89.0, 401985.0)	(90.0, 274290.5)	(91.0, 104817.0)	(92.0, 57542.5)	(93.0, 47241.5)	(94.0, 31573.5)	(95.0, 16658.5)	(96.0, 8030.0)	(97.0, 5255.0)	(98.0, 3612.5)	(99.0, 2030.0)	(100.0, 1506.0)
SRR6984617	(0.0, 2914.0)	(1.0, 2308.5)	(2.0, 1596.0)	(3.0, 1514.0)	(4.0, 1694.5)	(5.0, 2108.0)	(6.0, 2703.0)	(7.0, 3166.0)	(8.0, 3487.0)	(9.0, 4120.5)	(10.0, 5221.0)	(11.0, 6275.5)	(12.0, 7677.0)	(13.0, 10225.5)	(14.0, 12252.0)	(15.0, 15884.0)	(16.0, 19510.5)	(17.0, 28679.5)	(18.0, 45443.0)	(19.0, 54666.5)	(20.0, 84508.5)	(21.0, 128231.0)	(22.0, 145859.0)	(23.0, 159123.5)	(24.0, 171177.5)	(25.0, 214172.0)	(26.0, 310393.5)	(27.0, 367808.5)	(28.0, 416337.0)	(29.0, 539446.0)	(30.0, 622772.5)	(31.0, 693907.0)	(32.0, 760918.0)	(33.0, 817465.5)	(34.0, 945504.0)	(35.0, 1021835.0)	(36.0, 1046132.5)	(37.0, 1143524.5)	(38.0, 1224073.5)	(39.0, 1225713.0)	(40.0, 1292460.0)	(41.0, 1367168.0)	(42.0, 1438548.0)	(43.0, 1509240.0)	(44.0, 1537655.0)	(45.0, 1536295.5)	(46.0, 1516407.5)	(47.0, 1535491.5)	(48.0, 1543165.5)	(49.0, 1537972.5)	(50.0, 1517006.0)	(51.0, 1494311.5)	(52.0, 1483523.5)	(53.0, 1428256.0)	(54.0, 1378582.5)	(55.0, 1332394.5)	(56.0, 1296471.0)	(57.0, 1297214.0)	(58.0, 1167503.0)	(59.0, 1034313.5)	(60.0, 942307.0)	(61.0, 807479.5)	(62.0, 748260.5)	(63.0, 646600.0)	(64.0, 497531.5)	(65.0, 435988.5)	(66.0, 383857.0)	(67.0, 348492.0)	(68.0, 358883.0)	(69.0, 379629.5)	(70.0, 390373.0)	(71.0, 316199.5)	(72.0, 260660.0)	(73.0, 269256.5)	(74.0, 274075.5)	(75.0, 365315.0)	(76.0, 456019.0)	(77.0, 437807.5)	(78.0, 416524.0)	(79.0, 362065.5)	(80.0, 373940.0)	(81.0, 459741.0)	(82.0, 445283.0)	(83.0, 374780.5)	(84.0, 339386.5)	(85.0, 385887.5)	(86.0, 406083.0)	(87.0, 322032.5)	(88.0, 436734.5)	(89.0, 608847.5)	(90.0, 421478.5)	(91.0, 161845.0)	(92.0, 82803.0)	(93.0, 67902.0)	(94.0, 44338.0)	(95.0, 23238.0)	(96.0, 11700.5)	(97.0, 7798.0)	(98.0, 5346.5)	(99.0, 2872.0)	(100.0, 1971.0)
SRR6984618	(0.0, 1506.0)	(1.0, 1310.0)	(2.0, 1063.0)	(3.0, 1023.0)	(4.0, 1147.0)	(5.0, 1526.0)	(6.0, 2039.0)	(7.0, 2381.5)	(8.0, 2567.5)	(9.0, 2930.5)	(10.0, 3762.0)	(11.0, 4839.5)	(12.0, 6041.5)	(13.0, 7748.5)	(14.0, 9150.0)	(15.0, 11580.0)	(16.0, 13950.5)	(17.0, 20664.0)	(18.0, 32581.0)	(19.0, 38982.0)	(20.0, 62098.5)	(21.0, 92700.5)	(22.0, 103103.5)	(23.0, 113717.5)	(24.0, 123247.5)	(25.0, 156006.0)	(26.0, 226970.0)	(27.0, 267808.5)	(28.0, 301561.0)	(29.0, 387475.0)	(30.0, 445115.0)	(31.0, 492817.5)	(32.0, 538061.0)	(33.0, 575455.5)	(34.0, 667103.5)	(35.0, 725974.5)	(36.0, 745424.0)	(37.0, 828871.5)	(38.0, 899628.5)	(39.0, 891451.0)	(40.0, 956178.0)	(41.0, 1039266.0)	(42.0, 1124510.5)	(43.0, 1207544.5)	(44.0, 1236283.5)	(45.0, 1218932.0)	(46.0, 1181514.0)	(47.0, 1204041.5)	(48.0, 1223546.0)	(49.0, 1227181.5)	(50.0, 1234187.0)	(51.0, 1240612.0)	(52.0, 1259877.0)	(53.0, 1253111.0)	(54.0, 1227338.5)	(55.0, 1208586.5)	(56.0, 1223696.5)	(57.0, 1251562.5)	(58.0, 1123374.5)	(59.0, 991729.0)	(60.0, 911411.0)	(61.0, 809653.0)	(62.0, 772263.5)	(63.0, 665673.5)	(64.0, 503914.5)	(65.0, 433531.0)	(66.0, 380517.0)	(67.0, 344660.0)	(68.0, 354838.5)	(69.0, 390602.0)	(70.0, 414968.5)	(71.0, 326025.0)	(72.0, 251363.5)	(73.0, 256245.0)	(74.0, 260480.5)	(75.0, 326402.5)	(76.0, 392420.5)	(77.0, 374451.5)	(78.0, 355318.0)	(79.0, 313669.0)	(80.0, 334931.0)	(81.0, 417392.5)	(82.0, 385785.0)	(83.0, 294439.0)	(84.0, 254884.5)	(85.0, 285879.0)	(86.0, 301361.5)	(87.0, 245440.5)	(88.0, 299849.5)	(89.0, 393660.5)	(90.0, 272336.0)	(91.0, 109557.5)	(92.0, 62227.0)	(93.0, 51185.0)	(94.0, 33640.5)	(95.0, 17589.0)	(96.0, 8753.5)	(97.0, 5852.5)	(98.0, 3978.5)	(99.0, 2096.0)	(100.0, 1436.0)
