Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13
SRR6984609	(24.0, 31.0)	(25.0, 463.0)	(26.0, 3972.0)	(27.0, 21189.0)	(28.0, 77154.0)	(29.0, 208673.0)	(30.0, 440878.0)	(31.0, 775992.0)	(32.0, 1245877.0)	(33.0, 1988849.0)	(34.0, 3813452.0)	(35.0, 15721165.0)	(36.0, 3212655.0)	
SRR6984610	(23.0, 1.0)	(24.0, 30.0)	(25.0, 391.0)	(26.0, 3752.0)	(27.0, 21038.0)	(28.0, 77586.0)	(29.0, 208325.0)	(30.0, 440818.0)	(31.0, 778156.0)	(32.0, 1245407.0)	(33.0, 1975747.0)	(34.0, 3790150.0)	(35.0, 16627857.0)	(36.0, 3509900.0)
SRR6984611	(24.0, 29.0)	(25.0, 442.0)	(26.0, 3988.0)	(27.0, 21766.0)	(28.0, 80384.0)	(29.0, 216020.0)	(30.0, 448855.0)	(31.0, 779022.0)	(32.0, 1228544.0)	(33.0, 1930964.0)	(34.0, 3715414.0)	(35.0, 16978802.0)	(36.0, 3777572.0)	
SRR6984612	(24.0, 29.0)	(25.0, 418.0)	(26.0, 3636.0)	(27.0, 20560.0)	(28.0, 76578.0)	(29.0, 209491.0)	(30.0, 445056.0)	(31.0, 788362.0)	(32.0, 1264881.0)	(33.0, 2002461.0)	(34.0, 3820791.0)	(35.0, 16240957.0)	(36.0, 3333867.0)	
SRR6984613	(23.0, 1.0)	(24.0, 24.0)	(25.0, 478.0)	(26.0, 4231.0)	(27.0, 22621.0)	(28.0, 82576.0)	(29.0, 220707.0)	(30.0, 460362.0)	(31.0, 806625.0)	(32.0, 1282137.0)	(33.0, 2015527.0)	(34.0, 3816424.0)	(35.0, 16446770.0)	(36.0, 3388495.0)
SRR6984614	(24.0, 16.0)	(25.0, 384.0)	(26.0, 3406.0)	(27.0, 19139.0)	(28.0, 71087.0)	(29.0, 195896.0)	(30.0, 419937.0)	(31.0, 741531.0)	(32.0, 1184231.0)	(33.0, 1882213.0)	(34.0, 3646077.0)	(35.0, 16668940.0)	(36.0, 3565864.0)	
SRR6984615	(23.0, 2.0)	(24.0, 30.0)	(25.0, 463.0)	(26.0, 4210.0)	(27.0, 22468.0)	(28.0, 82975.0)	(29.0, 225447.0)	(30.0, 474331.0)	(31.0, 835922.0)	(32.0, 1335343.0)	(33.0, 2113748.0)	(34.0, 4037961.0)	(35.0, 17327135.0)	(36.0, 3617665.0)
SRR6984616	(23.0, 3.0)	(24.0, 28.0)	(25.0, 506.0)	(26.0, 4539.0)	(27.0, 24510.0)	(28.0, 92897.0)	(29.0, 256001.0)	(30.0, 543831.0)	(31.0, 963385.0)	(32.0, 1541896.0)	(33.0, 2450695.0)	(34.0, 4740292.0)	(35.0, 21784792.0)	(36.0, 4810088.0)
SRR6984617	(24.0, 31.0)	(25.0, 524.0)	(26.0, 4554.0)	(27.0, 24293.0)	(28.0, 90153.0)	(29.0, 244602.0)	(30.0, 515449.0)	(31.0, 910401.0)	(32.0, 1464081.0)	(33.0, 2333189.0)	(34.0, 4460656.0)	(35.0, 18860806.0)	(36.0, 3882044.0)	
SRR6984618	(24.0, 17.0)	(25.0, 379.0)	(26.0, 3749.0)	(27.0, 20318.0)	(28.0, 76959.0)	(29.0, 210937.0)	(30.0, 447358.0)	(31.0, 793509.0)	(32.0, 1277578.0)	(33.0, 2036657.0)	(34.0, 3905409.0)	(35.0, 15462251.0)	(36.0, 2797112.0)	
SRR6984619	(24.0, 22.0)	(25.0, 420.0)	(26.0, 3636.0)	(27.0, 20395.0)	(28.0, 76706.0)	(29.0, 209871.0)	(30.0, 449201.0)	(31.0, 800990.0)	(32.0, 1286499.0)	(33.0, 2023996.0)	(34.0, 3807652.0)	(35.0, 15893935.0)	(36.0, 3022118.0)	
SRR6984620	(24.0, 24.0)	(25.0, 437.0)	(26.0, 4116.0)	(27.0, 22389.0)	(28.0, 81090.0)	(29.0, 219305.0)	(30.0, 459416.0)	(31.0, 811416.0)	(32.0, 1304118.0)	(33.0, 2065532.0)	(34.0, 3906505.0)	(35.0, 16028694.0)	(36.0, 3019003.0)	
SRR6984621	(23.0, 2.0)	(24.0, 19.0)	(25.0, 447.0)	(26.0, 4060.0)	(27.0, 22010.0)	(28.0, 82141.0)	(29.0, 222958.0)	(30.0, 472946.0)	(31.0, 833671.0)	(32.0, 1341235.0)	(33.0, 2134955.0)	(34.0, 4049513.0)	(35.0, 16198290.0)	(36.0, 3246260.0)
SRR6984622	(24.0, 27.0)	(25.0, 432.0)	(26.0, 3651.0)	(27.0, 20145.0)	(28.0, 76077.0)	(29.0, 210769.0)	(30.0, 450400.0)	(31.0, 802336.0)	(32.0, 1286421.0)	(33.0, 2053172.0)	(34.0, 3971778.0)	(35.0, 17441213.0)	(36.0, 3769105.0)	
