Sample	Unique Reads	Duplicate Reads
SRR6984609	10813537.0	16696813.0
SRR6984610	12924190.0	15754968.0
SRR6984611	13412957.0	15768845.0
SRR6984612	13066917.0	15140170.0
SRR6984613	10515561.0	18031417.0
SRR6984614	14166372.0	14232349.0
SRR6984615	12517277.0	17560423.0
SRR6984616	17447282.0	19766181.0
SRR6984617	13323950.0	19466833.0
SRR6984618	9064472.0	17967761.0
SRR6984619	8416234.0	19179207.0
SRR6984620	8964128.0	18957917.0
SRR6984621	11042944.0	17565563.0
SRR6984622	15358071.0	14727455.0
SRR6984623	14910556.0	23816185.0
SRR6984624	14519199.0	19044473.0
SRR6984625	10687284.0	17354836.0
SRR6984626	10565561.0	15954265.0
