Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR6984609	(1.0, 30.449305558592965)	(2.0, 9.454648061582576)	(3.0, 4.723120957050715)	(4.0, 3.0558095288648683)	(5.0, 2.150502613241877)	(6.0, 1.580401814500837)	(7.0, 1.3397724761071939)	(8.0, 1.1174896241207135)	(9.0, 0.9046490487164685)	('>10', 10.537690463813886)	('>50', 3.385714228746835)	('>100', 7.510105397392753)	('>500', 3.2448165120379313)	('>1k', 8.933389188781835)	('>5k', 3.1725003608498685)	('>10k+', 8.440084165598744)
SRR6984610	(1.0, 35.854236771928235)	(2.0, 10.691246006353339)	(3.0, 4.637118317067737)	(4.0, 2.832245203628519)	(5.0, 1.8848085241032146)	(6.0, 1.528296514683536)	(7.0, 1.2247578095864595)	(8.0, 0.9539401761342221)	(9.0, 0.7939561416755904)	('>10', 9.402662181767827)	('>50', 3.06225598265107)	('>100', 6.906447175362832)	('>500', 3.0684566778555915)	('>1k', 7.902983697306771)	('>5k', 2.9021546289542623)	('>10k+', 6.354434190941023)
SRR6984611	(1.0, 36.05790606937171)	(2.0, 10.850953042496178)	(3.0, 5.263938856474805)	(4.0, 3.2706680442728002)	(5.0, 2.3956759042235825)	(6.0, 1.7364667540523626)	(7.0, 1.408963856479994)	(8.0, 1.1496323555968953)	(9.0, 0.9521869079466051)	('>10', 10.848402977581497)	('>50', 3.2766537992187024)	('>100', 7.1168263842236055)	('>500', 3.026252606275988)	('>1k', 6.477094404599186)	('>5k', 2.1929856670380925)	('>10k+', 3.975392370147981)
SRR6984612	(1.0, 37.07756442720821)	(2.0, 10.4318916160388)	(3.0, 4.773402159501981)	(4.0, 3.01337733608439)	(5.0, 2.0201487529264233)	(6.0, 1.548738120905144)	(7.0, 1.2323063091522355)	(8.0, 1.040082431970077)	(9.0, 0.8764283516584384)	('>10', 9.78540391225155)	('>50', 3.0971606716781768)	('>100', 7.430876460511011)	('>500', 2.913849138548754)	('>1k', 7.053451877010717)	('>5k', 2.7832642808318693)	('>10k+', 4.92205415372219)
SRR6984613	(1.0, 28.024028867063777)	(2.0, 9.497375118915334)	(3.0, 4.62768751824272)	(4.0, 3.008652155761233)	(5.0, 2.059354555326939)	(6.0, 1.6171002776375403)	(7.0, 1.3187050321315583)	(8.0, 1.0320832719738318)	(9.0, 0.8701531329825765)	('>10', 10.49267567969258)	('>50', 3.514694692419188)	('>100', 8.556840172049945)	('>500', 4.20369802560474)	('>1k', 10.448274456177376)	('>5k', 4.004430296080026)	('>10k+', 6.724246747940573)
SRR6984614	(1.0, 39.75469030395877)	(2.0, 11.585467973596199)	(3.0, 5.237029410524518)	(4.0, 3.1720653847605975)	(5.0, 2.2421061301125125)	(6.0, 1.7241219912251602)	(7.0, 1.2761892795162897)	(8.0, 1.06350715950768)	(9.0, 0.920695848976245)	('>10', 10.15234885682067)	('>50', 3.3128001722551157)	('>100', 7.352349300460424)	('>500', 3.0242055130738508)	('>1k', 5.695900819287625)	('>5k', 1.606796943316067)	('>10k+', 1.8797249126081783)
SRR6984615	(1.0, 32.59428990476012)	(2.0, 10.182728785698185)	(3.0, 4.59139519888614)	(4.0, 2.9216508571451842)	(5.0, 1.9917450418171851)	(6.0, 1.5697257224967434)	(7.0, 1.208627247700596)	(8.0, 0.9718078812846263)	(9.0, 0.8208650072942967)	('>10', 9.820331664317552)	('>50', 3.2506521251705958)	('>100', 7.252886106517748)	('>500', 3.376037440191091)	('>1k', 8.91181196133893)	('>5k', 3.299500759557661)	('>10k+', 7.235944295823601)
SRR6984616	(1.0, 36.80426782761984)	(2.0, 11.5439152912909)	(3.0, 5.1815931151582015)	(4.0, 3.1890195173520075)	(5.0, 2.1249903716139333)	(6.0, 1.6513443262935)	(7.0, 1.3141306400615886)	(8.0, 1.2193518659819353)	(9.0, 0.9309763539979973)	('>10', 10.096933071280322)	('>50', 3.0615891725484676)	('>100', 6.712285366206307)	('>500', 2.7690200163453844)	('>1k', 6.737675592738757)	('>5k', 2.3281011907003797)	('>10k+', 4.334806280810352)
SRR6984617	(1.0, 31.765265598302317)	(2.0, 9.769973874554102)	(3.0, 4.640631878805674)	(4.0, 2.9118132227100944)	(5.0, 2.0547662434747984)	(6.0, 1.5826627922138448)	(7.0, 1.203465292140241)	(8.0, 1.042450665887022)	(9.0, 0.8594373319056988)	('>10', 10.05685145809559)	('>50', 3.0942949658569865)	('>100', 7.2013956257187415)	('>500', 3.2067251110572554)	('>1k', 9.091255806154123)	('>5k', 3.7965106475835704)	('>10k+', 7.722499485540084)
SRR6984618	(1.0, 25.363737562435702)	(2.0, 8.20798044656533)	(3.0, 4.368288713136767)	(4.0, 2.8695979783055976)	(5.0, 2.103363781916635)	(6.0, 1.6750342320139542)	(7.0, 1.3658603601413297)	(8.0, 1.0937140310341376)	(9.0, 0.9558464100634982)	('>10', 11.975662569740862)	('>50', 4.073828029535373)	('>100', 9.554153981052078)	('>500', 4.286884202054967)	('>1k', 10.502120812951656)	('>5k', 3.8086521990008415)	('>10k+', 7.795274690051487)
