Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR6984609	(24, 43432.0)	(25, 43473.0)	(26, 42547.0)	(27, 43144.0)	(28, 44680.0)	(29, 45310.0)	(30, 45233.0)	(31, 45944.0)	(32, 49903.0)	(33, 48651.0)	(34, 46138.0)	(35, 50625.0)	(36, 47712.0)	(37, 46963.0)	(38, 48801.0)	(39, 45795.0)	(40, 48296.0)	(41, 47104.0)	(42, 46022.0)	(43, 46786.0)	(44, 46470.0)	(45, 45474.0)	(46, 44239.0)	(47, 45332.0)	(48, 43425.0)	(49, 45283.0)	(50, 47108.0)	(51, 46136.0)	(52, 47306.0)	(53, 49788.0)	(54, 50406.0)	(55, 52972.0)	(56, 52565.0)	(57, 52692.0)	(58, 58500.0)	(59, 56270.0)	(60, 58840.0)	(61, 163724.0)	(62, 2024587.0)	(63, 23552674.0)
SRR6984610	(24, 44161.0)	(25, 44239.0)	(26, 44129.0)	(27, 43849.0)	(28, 45697.0)	(29, 45498.0)	(30, 44834.0)	(31, 46136.0)	(32, 49003.0)	(33, 48161.0)	(34, 46009.0)	(35, 49600.0)	(36, 46885.0)	(37, 46587.0)	(38, 47917.0)	(39, 45613.0)	(40, 47606.0)	(41, 47305.0)	(42, 45436.0)	(43, 46016.0)	(44, 46532.0)	(45, 44492.0)	(46, 43436.0)	(47, 44204.0)	(48, 43234.0)	(49, 44627.0)	(50, 45528.0)	(51, 45632.0)	(52, 46529.0)	(53, 48142.0)	(54, 49363.0)	(55, 51631.0)	(56, 50817.0)	(57, 51440.0)	(58, 55964.0)	(59, 53927.0)	(60, 57000.0)	(61, 158910.0)	(62, 2016772.0)	(63, 24756297.0)
SRR6984611	(24, 43567.0)	(25, 43799.0)	(26, 43688.0)	(27, 43295.0)	(28, 44879.0)	(29, 45037.0)	(30, 44731.0)	(31, 45215.0)	(32, 48280.0)	(33, 46284.0)	(34, 44616.0)	(35, 47697.0)	(36, 45771.0)	(37, 45249.0)	(38, 46774.0)	(39, 45138.0)	(40, 46397.0)	(41, 47175.0)	(42, 44867.0)	(43, 45288.0)	(44, 45693.0)	(45, 44998.0)	(46, 43946.0)	(47, 43520.0)	(48, 42138.0)	(49, 42863.0)	(50, 43896.0)	(51, 44947.0)	(52, 44150.0)	(53, 45333.0)	(54, 45948.0)	(55, 48231.0)	(56, 48071.0)	(57, 48580.0)	(58, 50885.0)	(59, 51037.0)	(60, 54240.0)	(61, 156458.0)	(62, 1990154.0)	(63, 25338967.0)
SRR6984612	(24, 44336.0)	(25, 44278.0)	(26, 43388.0)	(27, 43587.0)	(28, 44364.0)	(29, 44403.0)	(30, 44154.0)	(31, 44459.0)	(32, 46615.0)	(33, 46255.0)	(34, 44553.0)	(35, 46634.0)	(36, 45694.0)	(37, 45213.0)	(38, 46622.0)	(39, 45548.0)	(40, 46529.0)	(41, 47121.0)	(42, 44824.0)	(43, 45627.0)	(44, 46250.0)	(45, 44919.0)	(46, 43761.0)	(47, 44053.0)	(48, 42985.0)	(49, 44463.0)	(50, 45661.0)	(51, 44766.0)	(52, 46087.0)	(53, 47757.0)	(54, 49419.0)	(55, 52131.0)	(56, 50925.0)	(57, 51479.0)	(58, 56120.0)	(59, 54690.0)	(60, 57840.0)	(61, 165374.0)	(62, 2019588.0)	(63, 24294615.0)
SRR6984613	(24, 45812.0)	(25, 45809.0)	(26, 45342.0)	(27, 45576.0)	(28, 47689.0)	(29, 47204.0)	(30, 46971.0)	(31, 47833.0)	(32, 50622.0)	(33, 50477.0)	(34, 47747.0)	(35, 51243.0)	(36, 48501.0)	(37, 47808.0)	(38, 49678.0)	(39, 47012.0)	(40, 48830.0)	(41, 48907.0)	(42, 46527.0)	(43, 46638.0)	(44, 47844.0)	(45, 45333.0)	(46, 44386.0)	(47, 45732.0)	(48, 44103.0)	(49, 46415.0)	(50, 47132.0)	(51, 47066.0)	(52, 48444.0)	(53, 50446.0)	(54, 51639.0)	(55, 55155.0)	(56, 53711.0)	(57, 53938.0)	(58, 60369.0)	(59, 57511.0)	(60, 60835.0)	(61, 166837.0)	(62, 2078595.0)	(63, 24485261.0)
SRR6984614	(24, 42318.0)	(25, 42228.0)	(26, 42044.0)	(27, 42242.0)	(28, 43811.0)	(29, 43137.0)	(30, 42875.0)	(31, 43201.0)	(32, 45915.0)	(33, 44188.0)	(34, 42995.0)	(35, 45927.0)	(36, 43852.0)	(37, 44116.0)	(38, 44326.0)	(39, 43286.0)	(40, 44774.0)	(41, 44543.0)	(42, 43018.0)	(43, 43256.0)	(44, 43118.0)	(45, 42087.0)	(46, 41584.0)	(47, 41637.0)	(48, 40003.0)	(49, 41118.0)	(50, 42273.0)	(51, 42558.0)	(52, 42080.0)	(53, 43432.0)	(54, 43691.0)	(55, 45507.0)	(56, 45078.0)	(57, 45777.0)	(58, 47985.0)	(59, 47402.0)	(60, 50813.0)	(61, 149355.0)	(62, 1919471.0)	(63, 24711700.0)
SRR6984615	(24, 47208.0)	(25, 47465.0)	(26, 46668.0)	(27, 47198.0)	(28, 48665.0)	(29, 48707.0)	(30, 48514.0)	(31, 49583.0)	(32, 52947.0)	(33, 52131.0)	(34, 49517.0)	(35, 53830.0)	(36, 50563.0)	(37, 50739.0)	(38, 52351.0)	(39, 49740.0)	(40, 51540.0)	(41, 51391.0)	(42, 49192.0)	(43, 50393.0)	(44, 49663.0)	(45, 48141.0)	(46, 47407.0)	(47, 48359.0)	(48, 45950.0)	(49, 48139.0)	(50, 49245.0)	(51, 48963.0)	(52, 50525.0)	(53, 52480.0)	(54, 53787.0)	(55, 57033.0)	(56, 55779.0)	(57, 56958.0)	(58, 62828.0)	(59, 60285.0)	(60, 62967.0)	(61, 174678.0)	(62, 2172770.0)	(63, 25833401.0)
SRR6984616	(24, 55620.0)	(25, 55727.0)	(26, 55508.0)	(27, 55547.0)	(28, 57295.0)	(29, 56762.0)	(30, 56207.0)	(31, 56920.0)	(32, 60400.0)	(33, 58946.0)	(34, 56672.0)	(35, 61094.0)	(36, 57368.0)	(37, 58076.0)	(38, 58933.0)	(39, 57301.0)	(40, 58843.0)	(41, 58048.0)	(42, 56292.0)	(43, 56862.0)	(44, 56673.0)	(45, 54779.0)	(46, 54082.0)	(47, 54446.0)	(48, 53278.0)	(49, 54031.0)	(50, 55420.0)	(51, 55987.0)	(52, 55677.0)	(53, 57089.0)	(54, 58783.0)	(55, 61486.0)	(56, 61016.0)	(57, 61724.0)	(58, 65472.0)	(59, 63976.0)	(60, 68201.0)	(61, 197320.0)	(62, 2525383.0)	(63, 32350219.0)
SRR6984617	(24, 51369.0)	(25, 51380.0)	(26, 50664.0)	(27, 51278.0)	(28, 52996.0)	(29, 53035.0)	(30, 53169.0)	(31, 54628.0)	(32, 58725.0)	(33, 56947.0)	(34, 54194.0)	(35, 59985.0)	(36, 55043.0)	(37, 55414.0)	(38, 56463.0)	(39, 54182.0)	(40, 56381.0)	(41, 55754.0)	(42, 53574.0)	(43, 55196.0)	(44, 54617.0)	(45, 53673.0)	(46, 51296.0)	(47, 52729.0)	(48, 51167.0)	(49, 52217.0)	(50, 53962.0)	(51, 55417.0)	(52, 54800.0)	(53, 56741.0)	(54, 58416.0)	(55, 62535.0)	(56, 61359.0)	(57, 61609.0)	(58, 66130.0)	(59, 63824.0)	(60, 68418.0)	(61, 193262.0)	(62, 2403224.0)	(63, 28125010.0)
SRR6984618	(24, 43306.0)	(25, 43747.0)	(26, 42903.0)	(27, 43200.0)	(28, 44985.0)	(29, 45495.0)	(30, 44998.0)	(31, 45204.0)	(32, 48654.0)	(33, 47481.0)	(34, 44905.0)	(35, 48459.0)	(36, 46668.0)	(37, 45819.0)	(38, 47191.0)	(39, 45340.0)	(40, 47056.0)	(41, 47247.0)	(42, 44914.0)	(43, 45595.0)	(44, 45554.0)	(45, 44639.0)	(46, 44220.0)	(47, 44159.0)	(48, 43000.0)	(49, 44081.0)	(50, 45781.0)	(51, 45478.0)	(52, 45970.0)	(53, 47635.0)	(54, 49413.0)	(55, 51590.0)	(56, 51262.0)	(57, 52074.0)	(58, 55099.0)	(59, 54773.0)	(60, 57943.0)	(61, 166157.0)	(62, 2028541.0)	(63, 23101697.0)
