Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR6984609	60.69284457479955	53.0	61.602842930024515	63	20.0	27.51035
SRR6984610	54.93525447426397	52.0	61.666515592961275	63	10.0	28.679157999999997
SRR6984611	54.03657147041037	50.0	61.716650363126995	63	10.0	29.181801999999998
SRR6984612	53.67505696388885	51.0	61.66499674354888	63	10.0	28.207086999999998
SRR6984613	63.16401528646661	52.0	61.6126369313067	63	10.0	28.546978
SRR6984614	50.116163291631125	49.0	61.73594455186908	63	10.0	28.398721
SRR6984615	58.38353104720744	52.0	61.626553692602826	63	10.0	30.0777
SRR6984616	53.11567424129939	50.0	61.7285558186294	63	10.0	37.213463
SRR6984617	59.366785912291334	51.0	61.62249861493091	63	20.0	32.790783
SRR6984618	66.46791497028349	52.0	61.59778801847409	63	10.0	27.032232999999998
SRR6984619	69.50136373466702	51.0	61.632253856714954	63	20.0	27.595440999999997
SRR6984620	67.89587788804386	52.0	61.57480632238792	63	20.0	27.922044999999997
SRR6984621	61.399789881649056	55.0	61.53509286590873	63	20.0	28.608507
SRR6984622	48.9519628462968	49.0	61.71717077507636	63	0.0	30.085525999999998
SRR6984623	61.49803686461666	53.0	61.664662409883654	63	10.0	38.726741
SRR6984624	56.741328738268756	49.0	61.71453478034227	63	10.0	33.563672
SRR6984625	61.88846201483497	52.0	61.59252403170659	63	10.0	28.042119999999997
SRR6984626	60.15976643115808	48.0	61.77813289574374	63	10.0	26.519826
